,Motif_ID,x,N,n,M,pvalues,FoldEn,SScore,FDR,clasification,speciesOrigin,Bibliography,tf,tffamily,tfsubfamily
0,M06945_2.00,92,500,1688,27655,8.384687222497677e-22,1.5919312042910283,33.55235893474869,1.346580767933127e-18,True,A. thaliana,OMalley2016,HSFB2B,HSF,.
1,M06948_2.00,116,500,2531,27655,2.044058011465445e-21,1.3419576399580886,27.764441694212273,1.6413785832067523e-18,True,A. thaliana,OMalley2016,HSFA1B,HSF,.
2,M06939_2.00,91,500,1693,27655,3.6764723478692724e-21,1.571896819244255,32.12103353614104,1.9612968733160396e-18,True,A. thaliana,OMalley2016,HSFA1E,HSF,.
3,M07324_2.00,119,500,2668,27655,4.884923719342564e-21,1.3027432490645587,26.460203399595873,1.9612968733160396e-18,True,A. thaliana,OMalley2016,AGL95,MADS box,.
4,M06946_2.00,90,500,1713,27655,2.801240014123751e-20,1.5390120971868761,30.091764387467965,8.997582925365489e-18,True,A. thaliana,OMalley2016,HSFB2B,HSF,.
5,M06942_2.00,108,500,2396,27655,2.3539146103908393e-19,1.3179437463158834,24.550931946053765,6.300644773812813e-17,True,A. thaliana,OMalley2016,HSFA6B,HSF,.
6,M07247_2.00,88,500,1727,27655,5.455294245950683e-19,1.4948476880495736,27.300675119464447,1.251600365570971e-16,True,A. thaliana,OMalley2016,AT2G01818,PLATZ,.
7,M06937_2.00,103,500,2297,27655,2.7727656380013295e-18,1.3104338227464951,23.00740041966907,5.566327018287669e-16,True,A. thaliana,OMalley2016,HSFB3,HSF,.
8,M06947_2.00,84,500,1658,27655,5.491340576993811e-18,1.4865575682242105,25.65846173447912,8.819092966652061e-16,True,A. thaliana,OMalley2016,HSFA4A,HSF,.
9,1.HSF1b-HS,130,500,3344,27655,5.052600695609761e-18,1.1044771178887722,19.103571927225484,8.819092966652061e-16,True,.,.,1.HSF1b-HS,.,.
10,M06940_2.00,87,500,1765,27655,6.846104182289102e-18,1.4469594646313861,24.836417478324375,9.99531210614209e-16,True,A. thaliana,OMalley2016,HSFA1E,HSF,.
11,M01156_2.00,204,500,6607,27655,1.3579558756595704e-17,0.7721141495354213,13.02333764486264,1.8173976135910585e-15,True,C. sativa,TF_Evolution,PK09653.1,bZIP,.
12,M07252_2.00,75,500,1397,27655,1.869032031554904e-17,1.5701708220276183,26.26641928763701,2.3089734174439813e-15,True,A. thaliana,OMalley2016,S1FA3,S1FA,.
13,M01783_2.00,218,500,7365,27655,6.422436011138319e-17,0.7111829517949151,11.51568786258472,7.367451595634386e-15,True,A. thaliana,Zoo_01,GBF1,bZIP,.
14,M08404_2.00,172,500,5252,27655,8.874275013988407e-17,0.8570819907504114,13.757766223569325,9.501390448310255e-15,True,A. thaliana,JASPAR,PIF1,bHLH,.
15,M00722_2.00,227,500,7839,27655,1.1561908582125108e-16,0.6795630141909386,10.830175688872504,1.1605265739308077e-14,True,A. thaliana,Chang2013,PIF3,bHLH,.
16,M07160_2.00,243,500,8648,27655,1.4862029143127743e-16,0.6361301328123312,10.068618054929999,1.404024635521362e-14,True,A. thaliana,OMalley2016,NAC002,NAC/NAM,.
