,Motif_ID,x,N,n,M,pvalues,FoldEn,SScore,FDR,clasification,speciesOrigin,Bibliography,tf,tffamily,tfsubfamily
0,M07247_2.00,177,500,5555,27655,3.689999031829277e-16,0.8175027907477436,12.616499108354816,2.9206342336928726e-13,True,A. thaliana,OMalley2016,AT2G01818,PLATZ,.
1,M06945_2.00,188,500,6036,27655,2.566975310864238e-16,0.7846801980921546,12.23361807536517,2.9206342336928726e-13,True,A. thaliana,OMalley2016,HSFB2B,HSF,.
2,M06950_2.00,181,500,5798,27655,1.062822128960567e-15,0.787974705963009,11.79877031519633,5.608158100481926e-13,True,A. thaliana,OMalley2016,HSFA6A,HSF,.
3,M06942_2.00,174,500,5506,27655,1.6794126178828767e-15,0.8056230381943675,11.902953574721508,6.646275435271485e-13,True,A. thaliana,OMalley2016,HSFA6B,HSF,.
4,M07303_2.00,183,500,6095,27655,3.003003409818476e-14,0.7317577697176685,9.895153590390132,9.507508795485295e-12,True,A. thaliana,OMalley2016,AT1G10720,Unknown,.
5,M06941_2.00,166,500,5331,27655,4.0132709378200554e-14,0.784317401538291,10.507109261752875,1.058834649094858e-11,True,A. thaliana,OMalley2016,HSFA6B,HSF,.
6,M07252_2.00,168,500,5464,27655,7.970702882416626e-14,0.7660440914298705,10.034031120378915,1.8025175232665025e-11,True,A. thaliana,OMalley2016,S1FA3,S1FA,.
7,M06939_2.00,167,500,5484,27655,2.278587552424509e-13,0.7521598736360268,9.509056554083678,4.1597366427827715e-11,True,A. thaliana,OMalley2016,HSFA1E,HSF,.
8,M06946_2.00,181,500,6136,27655,2.364979771638973e-13,0.7062315565214723,8.917001506707324,4.1597366427827715e-11,True,A. thaliana,OMalley2016,HSFB2B,HSF,.
9,M06944_2.00,189,500,6522,27655,2.6650786581427146e-13,0.6806121354138078,8.558214346784185,4.218819515839917e-11,True,A. thaliana,OMalley2016,HSFC1,HSF,.
10,M06951_2.00,178,500,6079,27655,8.214169209386076e-13,0.695583564460957,8.406430897915925,1.1820936234961963e-10,True,A. thaliana,OMalley2016,HSFA6A,HSF,.
11,M06948_2.00,152,500,4905,27655,1.1726584574139222e-12,0.7773585292781847,9.27453126464829,1.5469319484051991e-10,True,A. thaliana,OMalley2016,HSFA1B,HSF,.
12,M07324_2.00,188,500,6614,27655,1.9478933822533267e-12,0.652749958427723,7.64398584053604,2.3719347877746276e-10,True,A. thaliana,OMalley2016,AGL95,MADS box,.
13,M07308_2.00,175,500,6010,27655,2.342238602341633e-12,0.6875302731749814,7.9962306833675525,2.629449545015666e-10,True,A. thaliana,OMalley2016,AT1G23810,Unknown,.
14,M06936_2.00,186,500,6536,27655,2.491582007279532e-12,0.6544349799035484,7.593752528462061,2.629449545015666e-10,True,A. thaliana,OMalley2016,HSFB4,HSF,.
15,M06940_2.00,183,500,6672,27655,1.0190325760424153e-10,0.6012647017805794,6.007723821789511,1.0082053549219648e-08,True,A. thaliana,OMalley2016,HSFA1E,HSF,.
16,M06947_2.00,154,500,5559,27655,3.245121622723849e-09,0.6156453108876798,5.226070843476618,3.0217808992775606e-07,True,A. thaliana,OMalley2016,HSFA4A,HSF,.
17,M06952_2.00,168,500,6253,27655,4.227406023069624e-09,0.5714530578088267,4.785305640373385,3.7177687413995637e-07,True,A. thaliana,OMalley2016,HSFB2A,HSF,.
18,M06937_2.00,152,500,5548,27655,8.991936164759659e-09,0.5996438780611832,4.824822661542367,7.491702604639232e-07,True,A. thaliana,OMalley2016,HSFB3,HSF,.
19,M06766_2.00,111,500,3665,27655,1.046827823857408e-08,0.7442868202701324,5.939501670083962,8.285642225831384e-07,True,A. thaliana,OMalley2016,ABI5,bZIP,.
20,2.HSF6A-MEME,172,500,6536,27655,1.1434787027767745e-08,0.5415409234976148,4.300794499596865,8.619651364264923e-07,True,.,.,2.HSF6A-MEME,.,.
21,M06943_2.00,124,500,4272,27655,1.366003565532329e-08,0.6829688156405218,5.371241147205342,9.829016564716714e-07,True,A. thaliana,OMalley2016,HSFC1,HSF,.
22,1.HSF1b-HS,184,500,7183,27655,2.0341411501697736e-08,0.5026595928144854,3.866266031614302,1.4000197568342398e-06,True,.,.,1.HSF1b-HS,.,.
23,1.FDP-MEME,101,500,3275,27655,2.2690698741986437e-08,0.7704007283808204,5.889060368926479,1.4966406711901888e-06,True,.,.,1.FDP-MEME,.,.
24,M06770_2.00,113,500,3845,27655,3.667346289238628e-08,0.7008795165071993,5.211493431115235,2.3221636703458996e-06,True,A. thaliana,OMalley2016,GBF3,bZIP,.
25,M06752_2.00,110,500,3780,27655,9.411639174358645e-08,0.6866576313574252,4.824686363692146,5.640437662171813e-06,True,A. thaliana,OMalley2016,BZIP68,bZIP,.
26,M08431_2.00,86,500,2717,27655,9.62045589884011e-08,0.8079343414213235,5.669117198908292,5.640437662171813e-06,True,A. thaliana,JASPAR,BZR2,BES1,.
27,M01160_2.00,104,500,3517,27655,1.0514871401291142e-07,0.7097785354569859,4.952973761458234,5.944657652944242e-06,True,C. sativa,TF_Evolution,PK23964.1,bZIP,.
28,2.ABF1-MEME,99,500,3303,27655,1.2046613420362336e-07,0.729263802735285,5.045874720759436,6.356596348144525e-06,True,.,.,2.ABF1-MEME,.,.
29,M06771_2.00,106,500,3615,27655,1.1668173941299779e-07,0.6976089596659194,4.8365208980172225,6.356596348144525e-06,True,A. thaliana,OMalley2016,GBF3,bZIP,.
30,M06765_2.00,103,500,3514,27655,1.8414836413961198e-07,0.6970704881160427,4.694652723581864,9.403447110742122e-06,True,A. thaliana,OMalley2016,BZIP16,bZIP,.
31,GBF2-MEME,104,500,3601,27655,3.1558255832392693e-07,0.6757262708920123,4.392820135046887,1.5611474682086762e-05,True,.,.,GBF2-MEME,.,.
32,M06767_2.00,107,500,3741,27655,3.278582350068068e-07,0.6617271727915213,4.290846706810991,1.5727260182296217e-05,True,A. thaliana,OMalley2016,ABI5,bZIP,.
33,M06772_2.00,110,500,3882,27655,3.4117590782346e-07,0.6482437477521965,4.192206347416049,1.588474888483933e-05,True,A. thaliana,OMalley2016,BZIP28,bZIP,.
34,M01827_2.00,98,500,3380,27655,6.075283171470351e-07,0.6813707498868623,4.235695938218041,2.5589315654052726e-05,True,Oryza sativa,Zoo_01,OS02G0728001,bZIP,.
35,M01832_2.00,98,500,3379,27655,5.99846792766399e-07,0.6817976458926073,4.242117448256751,2.5589315654052726e-05,True,P. patens,Zoo_01,estExt_Genewise1.C_2060077,bZIP,.
36,M06778_2.00,108,500,3836,27655,5.962821132424437e-07,0.6389689340865382,3.9772929400582435,2.5589315654052726e-05,True,A. thaliana,OMalley2016,DPBF3,bZIP,.
37,M06755_2.00,110,500,3931,27655,6.142728963070143e-07,0.6301475020417661,3.914248576819866,2.5589315654052726e-05,True,A. thaliana,OMalley2016,ABF2,bZIP,.
38,1.GBF3-MEME1,104,500,3666,27655,7.072398849123479e-07,0.6499170845424068,3.9972716498883063,2.870668558503197e-05,True,.,.,1.GBF3-MEME1,.,.
39,M01126_2.00,77,500,2465,27655,7.619116822369633e-07,0.7888830463708278,4.826461711442997,3.015265482452782e-05,True,C. sativa,TF_Evolution,PK18401.1,bHLH,.
40,M08046_2.00,89,500,2995,27655,7.863423903844815e-07,0.7168615802314501,4.376001451417022,3.036048790191791e-05,True,A. thaliana,JASPAR,PIF4,bHLH,.
41,M06809_2.00,271,500,12174,27655,8.941660589491334e-07,0.300101827817257,1.815190459658746,3.370154455515424e-05,True,A. thaliana,OMalley2016,IDD4,C2H2 ZF,.
42,M01156_2.00,91,500,3102,27655,9.89162738749262e-07,0.6982801061038058,4.192985073808501,3.552607148779993e-05,True,C. sativa,TF_Evolution,PK09653.1,bZIP,.
43,M01057_2.00,99,500,3468,27655,1.0323432017933018e-06,0.6589368737989753,3.944512032106798,3.552607148779993e-05,True,A. thaliana,Stam_Arabidopsis,ABF4,bZIP,.
44,M06781_2.00,108,500,3881,27655,1.012965994538165e-06,0.622143221319221,3.7293785197997704,3.552607148779993e-05,True,A. thaliana,OMalley2016,BZIP11,bZIP,.
45,M08407_2.00,70,500,2180,27655,9.657437694671988e-07,0.8286390342218785,4.984378213500057,3.552607148779993e-05,True,A. thaliana,JASPAR,HY5,bZIP,.
46,M01058_2.00,103,500,3655,27655,1.076827939354092e-06,0.6403132732846192,3.821295927384398,3.626848144675591e-05,True,A. thaliana,Stam_Arabidopsis,DPBF3,bZIP,.
47,M06777_2.00,105,500,3760,27655,1.2497958431516267e-06,0.6271970080423234,3.702444869612448,4.116223047407428e-05,True,A. thaliana,OMalley2016,DPBF3,bZIP,.
48,M06764_2.00,106,500,3808,27655,1.274130949608111e-06,0.622571128196456,3.6699235299167654,4.116223047407428e-05,True,A. thaliana,OMalley2016,BZIP16,bZIP,.
49,M01059_2.00,98,500,3464,27655,1.7108758724022802e-06,0.6459550663296839,3.7250817252318966,5.41663301202562e-05,True,A. thaliana,Stam_Arabidopsis,DPBF3,bZIP,.
50,M01161_2.00,93,500,3241,27655,1.826939332796242e-06,0.6664039427313915,3.8240096669352477,5.6706763996401e-05,True,C. sativa,TF_Evolution,PK24205.1,bZIP,.
51,M01158_2.00,89,500,3062,27655,1.8780975516972747e-06,0.6849433004078103,3.922178391776392,5.7173623544938186e-05,True,C. sativa,TF_Evolution,PK18009.1,bZIP,.
52,M01771_2.00,85,500,2900,27655,2.3619514261151065e-06,0.6970221881766057,3.9219549863169427,7.0546586934721e-05,True,A. thaliana,Zoo_01,ABF2,bZIP,.
53,M01783_2.00,95,500,3372,27655,2.9406271741528123e-06,0.6399352243300661,3.53984011112304,8.62039410497019e-05,True,A. thaliana,Zoo_01,GBF1,bZIP,.
54,M07356_2.00,76,500,2519,27655,3.0507088981287606e-06,0.7387605436505447,4.074707086614301,8.780494883159687e-05,True,A. thaliana,OMalley2016,BMY2,BES1,.
55,M06726_2.00,87,500,3029,27655,3.838204262120284e-06,0.6677860699945563,3.6166438228054156,0.0001084978097667216,True,A. thaliana,OMalley2016,BPE,bHLH,.
56,M01133_2.00,96,500,3450,27655,4.254099417293139e-06,0.622050291109463,3.3411517742256716,0.00011814455048377262,True,A. thaliana,TF_Evolution,DPBF3,bZIP,.
