,Motif_ID,x,N,n,M,pvalues,FoldEn,SScore,FDR,clasification,speciesOrigin,Bibliography,tf,tffamily,tfsubfamily
0,CCACSK-bZIP60-1DREME,186,500,5755,27655,8.849679399956578e-18,0.8380270350296392,14.290935753757255,1.4106388963530786e-14,True,.,.,CCACSK-bZIP60-1DREME,.,.
1,M01773_2.00,182,500,5651,27655,3.6001640705201424e-17,0.8329726032891305,13.697133026955665,1.4346653821022767e-14,True,A. thaliana,Zoo_01,ABF1,bZIP,.
2,M01160_2.00,182,500,5640,27655,2.946559018358428e-17,0.8357836298537409,13.816075792701039,1.4346653821022767e-14,True,C. sativa,TF_Evolution,PK23964.1,bZIP,.
3,M01162_2.00,164,500,4847,27655,3.2429813684234325e-17,0.9041440743928842,14.908481864638466,1.4346653821022767e-14,True,C. sativa,TF_Evolution,PK24978.1,bZIP,.
4,M01158_2.00,170,500,5197,27655,1.6621676074009085e-16,0.855396029411,13.497572110501348,4.41582527699508e-14,True,C. sativa,TF_Evolution,PK18009.1,bZIP,.
5,1-MYC3-1MEME,169,500,5170,27655,2.2919418589096023e-16,0.8543993080210879,13.362631224808217,5.2190790330027236e-14,True,.,.,1-MYC3-1MEME,.,.
6,1-MYC2-1MEME,180,500,5677,27655,2.887634532364905e-16,0.8104085069959981,12.593308773529664,5.753611805737074e-14,True,.,.,1-MYC2-1MEME,.,.
7,M00722_2.00,195,500,6402,27655,5.133757105370097e-16,0.7524917891452302,11.505271883602383,9.092454251066593e-14,True,A. thaliana,Chang2013,PIF3,bHLH,.
8,M01058_2.00,172,500,5383,27655,9.487295529667741e-16,0.8215384816238676,12.341855598462478,1.375423429225784e-13,True,A. thaliana,Stam_Arabidopsis,DPBF3,bZIP,.
9,ACGTGB-ANAC102-DREME,183,500,5883,27655,9.491629687254468e-16,0.7828319543119377,11.760217671440307,1.375423429225784e-13,True,.,.,ACGTGB-ANAC102-DREME,.,.
10,M01161_2.00,165,500,5079,27655,1.1146164677428027e-15,0.8454618925702184,12.642085612020304,1.480582207985023e-13,True,C. sativa,TF_Evolution,PK24205.1,bZIP,.
