,Motif_ID,x,N,n,M,pvalues,FoldEn,SScore,FDR,clasification,speciesOrigin,Bibliography,tf,tffamily,tfsubfamily
0,M00722_2.00,169,500,5074,27655,3.7881904123825616e-17,0.8814400691594458,14.474628209406495,6.045951898162568e-14,True,A. thaliana,Chang2013,PIF3,bHLH,.
1,M06758_2.00,127,500,3626,27655,3.825288215193244e-14,0.9539899139692084,12.800003061303173,7.8208892815073e-12,True,A. thaliana,OMalley2016,TGA7,bZIP,.
2,1-MYC2-1MEME,148,500,4512,27655,3.0035426313373796e-14,0.8593704501713567,11.620721928189445,7.8208892815073e-12,True,.,.,1-MYC2-1MEME,.,.
3,M07334_2.00,127,500,3606,27655,2.5585029084828274e-14,0.9619694422810248,13.075102208813249,7.8208892815073e-12,True,A. thaliana,OMalley2016,AtIDD11,C2H2 ZF,.
4,1-MYC3-1MEME,140,500,4121,27655,1.3069783908553733e-14,0.9099727056056676,12.633816801439638,7.8208892815073e-12,True,.,.,1-MYC3-1MEME,.,.
5,M01071_2.00,111,500,2972,27655,3.920245253888371e-14,1.0466659027527103,14.0323219029816,7.8208892815073e-12,True,A. thaliana,Stam_Arabidopsis,AtMYB70,Myb/SANT,R2R3-MYB
6,M07114_2.00,103,500,2629,27655,2.0916645766418297e-14,1.1156705375063731,15.261823996905154,7.8208892815073e-12,True,A. thaliana,OMalley2016,MYB73,Myb/SANT,R2R3-MYB
7,M01700_2.00,150,500,4605,27655,3.302615623741816e-14,0.8493016864583836,11.449556609577408,7.8208892815073e-12,True,A. thaliana,Zoo_01,BPE,bHLH,.
8,M02357_2.00,105,500,2748,27655,5.4346517508729644e-14,1.079547665789223,14.32001440677773,8.424942385598147e-12,True,C. sativa,Zoo_01,PK28565.1,Myb/SANT,R2R3-MYB
9,M07095_2.00,104,500,2712,27655,5.875281802207363e-14,1.0847666919459487,14.35251696620882,8.424942385598147e-12,True,A. thaliana,OMalley2016,F3A4.140,Myb/SANT,R2R3-MYB
10,M00854_2.00,136,500,4033,27655,6.334543147066276e-14,0.8992935877856638,11.869132801701511,8.424942385598147e-12,True,A. thaliana,Franco_Zorrilla2014,PIF3,bHLH,.
11,M01279_2.00,121,500,3388,27655,4.796696155740724e-14,0.9821135148835963,13.080826661884078,8.424942385598147e-12,True,C. sativa,TF_Evolution,PK12011.1,Myb/SANT,MYB3R
12,M02703_2.00,120,500,3372,27655,8.059840676943167e-14,0.9769702116076368,12.792129012059876,9.18821837171521e-12,True,Hordeum vulgare,JASPAR,Gam1,Myb/SANT,R2R3-MYB
13,M01258_2.00,107,500,2843,27655,7.77000760927516e-14,1.05773703966482,13.866486812958724,9.18821837171521e-12,True,A. thaliana,TF_Evolution,AT3G10030,Trihelix,MADF
14,M01076_2.00,111,500,3011,27655,9.212358825061345e-14,1.0278573105666289,13.398766724221046,9.801949789865272e-12,True,A. thaliana,Stam_Arabidopsis,ATMYB65,Myb/SANT,R2R3-MYB
15,M01709_2.00,147,500,4548,27655,1.2391161295435215e-13,0.8381242428853168,10.817575724444094,1.0011845450280413e-11,True,A. thaliana,Zoo_01,SPT,bHLH,.
16,M07086_2.00,88,500,2124,27655,1.1146643929755949e-13,1.1963320047743442,15.495916032693701,1.0011845450280413e-11,True,A. thaliana,OMalley2016,AT3G24120,Myb/SANT,G2-like
17,M06861_2.00,155,500,4900,27655,1.176757642989192e-13,0.8070268083255052,10.434302181867638,1.0011845450280413e-11,True,A. thaliana,OMalley2016,DOF4.7,Dof,.
18,M07032_2.00,77,500,1722,27655,1.1044446564280136e-13,1.3063855502392578,16.926649509387396,1.0011845450280413e-11,True,A. thaliana,OMalley2016,MYB105,Myb/SANT,R2R3-MYB
19,M01611_2.00,138,500,4156,27655,1.2546172243459163e-13,0.877012954815158,11.314772774037687,1.0011845450280413e-11,True,A. thaliana,Zoo_01,DREB2D,AP2,DREB
20,M06839_2.00,152,500,4776,27655,1.38967756742301e-13,0.8158088291199808,10.488924237158745,1.0048318097498495e-11,True,A. thaliana,OMalley2016,DOF2.2,Dof,.
21,M01711_2.00,124,500,3564,27655,1.3487178604020137e-13,0.9443831258061536,12.154285332748051,1.0048318097498495e-11,True,A. thaliana,Zoo_01,BIM3,bHLH,.
22,M02299_2.00,98,500,2516,27655,1.4480658912435173e-13,1.1072620741771197,14.216372151185736,1.0048318097498495e-11,True,A. thaliana,Zoo_01,F3A4.140,Myb/SANT,R2R3-MYB
23,M07077_2.00,100,500,2603,27655,1.7828150718762536e-13,1.0873650303118132,13.862701187864605,1.0802001576001672e-11,True,A. thaliana,OMalley2016,ATMYB65,Myb/SANT,R2R3-MYB
24,1.PIF3.MEME,137,500,4130,27655,1.7167276669589927e-13,0.8755744535949195,11.176969341125986,1.0802001576001672e-11,True,.,.,1.PIF3.MEME,.,.
25,M07155_2.00,97,500,2487,27655,1.8274062816544183e-13,1.1091904869114217,14.12905131286748,1.0802001576001672e-11,True,A. thaliana,OMalley2016,MYB44,Myb/SANT,R2R3-MYB
26,M01610_2.00,140,500,4258,27655,1.6541557888614317e-13,0.8627912194338732,11.02770004607603,1.0802001576001672e-11,True,A. thaliana,Zoo_01,ERF018,AP2,DREB
27,MACCR-TCP4-1DREME,157,500,5029,27655,2.261614076036662e-13,0.7880333477540432,9.965139924930858,1.1494781455293943e-11,True,.,.,MACCR-TCP4-1DREME,.,.
28,M06806_2.00,113,500,3133,27655,2.1916215977036025e-13,0.9963183449853344,12.612627494473129,1.1494781455293943e-11,True,A. thaliana,OMalley2016,SGR5,C2H2 ZF,.
29,M01707_2.00,127,500,3718,27655,2.3047180862744745e-13,0.9178420687938849,11.599121013446606,1.1494781455293943e-11,True,A. thaliana,Zoo_01,MYC4,bHLH,.
30,M01156_2.00,139,500,4230,27655,2.1822541011909624e-13,0.861967561657396,10.913452910654145,1.1494781455293943e-11,True,C. sativa,TF_Evolution,PK09653.1,bZIP,.
31,M00840_2.00,129,500,3800,27655,2.1830841365552224e-13,0.9089119891461447,11.507670640062136,1.1494781455293943e-11,True,A. thaliana,Franco_Zorrilla2014,DREB1F,AP2,DREB
