,Motif_ID,x,N,n,M,pvalues,FoldEn,SScore,FDR,clasification,speciesOrigin,Bibliography,tf,tffamily,tfsubfamily
0,M01826_2.00,103,499,3242,27655,3.2105989892736162e-09,0.816188867931704,6.932229904778484,5.082378200020135e-06,True,Oryza sativa,Zoo_01,OS02G0728001,bZIP,.
1,M08404_2.00,97,499,3074,27655,1.3808825760359668e-08,0.8063681087623833,6.337926936893593,1.0929685589324678e-05,True,A. thaliana,JASPAR,PIF1,bHLH,.
2,M01158_2.00,95,499,3062,27655,4.3533241054443067e-08,0.781953757097187,5.7561015744390795,2.297104019639446e-05,True,C. sativa,TF_Evolution,PK18009.1,bZIP,.
3,M06755_2.00,113,499,3931,27655,1.0168146127588219e-07,0.6718550302571207,4.698119786227038,4.024043829993038e-05,True,A. thaliana,OMalley2016,ABF2,bZIP,.
4,GBF2-MEME,105,499,3601,27655,1.5951307179053953e-07,0.6924203497418692,4.706522178140979,4.9322263238862626e-05,True,.,.,GBF2-MEME,.,.
5,M01825_2.00,88,499,2854,27655,1.8694477538419187e-07,0.7730187154275611,5.20109151691785,4.9322263238862626e-05,True,Oryza sativa,Zoo_01,LOC_Os05g36160,bZIP,.
6,M01705_2.00,83,499,2661,27655,2.711483702657618e-07,0.7896433525907317,5.185424441507606,6.13182671615287e-05,True,A. thaliana,Zoo_01,UNE10,bHLH,.
7,M06934_2.00,257,499,11343,27655,4.259809137744075e-07,0.3284666307515146,2.092532756277013,8.429097331311089e-05,True,A. thaliana,OMalley2016,ATHB-53,Homeodomain,HD-ZIP
8,M01827_2.00,98,499,3380,27655,5.556012122381681e-07,0.6842590292116887,4.280202270773084,8.847530223759847e-05,True,Oryza sativa,Zoo_01,OS02G0728001,bZIP,.
9,M01160_2.00,101,499,3517,27655,5.589090476159095e-07,0.670438579392515,4.192023723505003,8.847530223759847e-05,True,C. sativa,TF_Evolution,PK23964.1,bZIP,.
10,M01126_2.00,77,499,2465,27655,7.067240270565592e-07,0.7917713256956542,4.869987595047325,0.0001017040122573212,True,C. sativa,TF_Evolution,PK18401.1,bHLH,.
11,M01059_2.00,99,499,3464,27655,8.998217802637412e-07,0.6634901216189117,4.011357438379285,0.00011870148984645854,True,A. thaliana,Stam_Arabidopsis,DPBF3,bZIP,.
12,M01771_2.00,86,499,2900,27655,1.2175883078528811e-06,0.7167842860658282,4.23942032373393,0.0001284961527554074,True,A. thaliana,Zoo_01,ABF2,bZIP,.
13,2.ABF1-MEME,95,499,3303,27655,1.1736651900477733e-06,0.6726510703114496,3.989127425192321,0.0001284961527554074,True,.,.,2.ABF1-MEME,.,.
14,M01776_2.00,88,499,2986,27655,1.162539436644159e-06,0.707789884768783,4.2004444041898426,0.0001284961527554074,True,A. thaliana,Zoo_01,ABI5,bZIP,.
15,1.GBF3-MEME1,102,499,3666,27655,1.9256273591171003e-06,0.6247909876976369,3.5709477504599385,0.00013400799216137894,True,.,.,1.GBF3-MEME1,.,.
16,M01698_2.00,79,499,2615,27655,1.7262043946686429e-06,0.7435422333088262,4.284965322635522,0.00013400799216137894,True,A. thaliana,Zoo_01,BHLH13,bHLH,.
17,M01216_2.00,271,499,12322,27655,2.2010156640529707e-06,0.2855569373052177,1.6155032112292114,0.00013400799216137894,True,C. sativa,TF_Evolution,PK07031.1,Dof,.
18,M01123_2.00,79,499,2615,27655,1.7262043946686429e-06,0.7435422333088262,4.284965322635522,0.00013400799216137894,True,C. sativa,TF_Evolution,PK07858.1,bHLH,.
19,M01213_2.00,271,499,12322,27655,2.2010156640529707e-06,0.2855569373052177,1.6155032112292114,0.00013400799216137894,True,C. sativa,TF_Evolution,PK01144.1,Dof,.
20,M01845_2.00,96,499,3375,27655,1.6222968770013088e-06,0.6566474301616277,3.80190303836617,0.00013400799216137894,True,O. tauri,Zoo_01,300010311,bZIP,.
21,1.ABF3-MEME,92,499,3181,27655,1.4029533874162485e-06,0.6806540157835266,3.9838385215387744,0.00013400799216137894,True,.,.,1.ABF3-MEME,.,.
22,M01058_2.00,102,499,3655,27655,1.6954466483332917e-06,0.6291263673977231,3.630509513762475,0.00013400799216137894,True,A. thaliana,Stam_Arabidopsis,DPBF3,bZIP,.
23,M01219_2.00,271,499,12322,27655,2.2010156640529707e-06,0.2855569373052177,1.6155032112292114,0.00013400799216137894,True,C. sativa,TF_Evolution,PK15337.1,Dof,.
24,M01940_2.00,271,499,12322,27655,2.2010156640529707e-06,0.2855569373052177,1.6155032112292114,0.00013400799216137894,True,A. thaliana,Zoo_01,DOF2.4,Dof,.
25,M01783_2.00,95,499,3372,27655,2.708785709205917e-06,0.6428235036548927,3.57874330540942,0.00014440476465004228,True,A. thaliana,Zoo_01,GBF1,bZIP,.
26,M06739_2.00,80,499,2696,27655,2.827888631807524e-06,0.717680029971531,3.9820747013751374,0.00014440476465004228,True,A. thaliana,OMalley2016,BIM1,bHLH,.
27,M06772_2.00,106,499,3882,27655,2.684434539702706e-06,0.5976927681155626,3.329834380729609,0.00014440476465004228,True,A. thaliana,OMalley2016,BZIP28,bZIP,.
28,M06767_2.00,103,499,3741,27655,2.66246149766162e-06,0.6096489928984192,3.398620399852271,0.00014440476465004228,True,A. thaliana,OMalley2016,ABI5,bZIP,.
29,M06736_2.00,85,499,2919,27655,2.7878968974638883e-06,0.6904891569014611,3.8354762023263578,0.00014440476465004228,True,A. thaliana,OMalley2016,BHLH77,bHLH,.
30,M01217_2.00,270,499,12318,27655,3.172939749876911e-06,0.28069190048709963,1.5433951301084656,0.00015491522771541918,True,C. sativa,TF_Evolution,PK10955.1,Dof,.
31,M06766_2.00,101,499,3665,27655,3.229439364882396e-06,0.6109707159966478,3.3547625259253397,0.00015491522771541918,True,A. thaliana,OMalley2016,ABI5,bZIP,.
32,M01056_2.00,77,499,2576,27655,3.377696519789957e-06,0.7282263788463115,3.9844027885476865,0.0001572615762008089,True,A. thaliana,Stam_Arabidopsis,ABF4,bZIP,.
33,M06770_2.00,104,499,3845,27655,4.97861336898762e-06,0.5840285515579302,3.097040099643056,0.00018118133314246895,True,A. thaliana,OMalley2016,GBF3,bZIP,.
34,M01161_2.00,91,499,3241,27655,5.035994098716761e-06,0.6379280511468828,3.3796884555188806,0.00018118133314246895,True,C. sativa,TF_Evolution,PK24205.1,bZIP,.
