,Motif_ID,x,N,n,M,pvalues,FoldEn,SScore,FDR,clasification,speciesOrigin,Bibliography,tf,tffamily,tfsubfamily
0,M06908_2.00,70,499,2309,27655,5.967008270520406e-06,0.7485872754368781,3.910802103235331,0.008252372438129723,True,A. thaliana,OMalley2016,ATHB-21,Homeodomain,HD-ZIP
1,M08101_2.00,129,499,5494,27655,0.00019514206556985918,0.37994277661342474,1.4094543802024553,0.019609394697906665,True,Zea mays,JASPAR,RAMOSA1,C2H2 ZF,.
2,M06824_2.00,77,499,2946,27655,0.00021503688494032842,0.5346015419250789,1.9606442264897619,0.019609394697906665,True,A. thaliana,OMalley2016,IDD1,C2H2 ZF,.
3,M02697_2.00,67,499,2447,27655,0.0001609689593381393,0.6016475206444099,2.2822041888265407,0.019609394697906665,True,Antirrhinum majus,JASPAR,squamosa,MADS box,.
4,M06737_2.00,19,499,433,27655,0.00024104100496342247,1.282061014982888,4.638380175224192,0.019609394697906665,True,A. thaliana,OMalley2016,BHLH104,bHLH,.
5,M06855_2.00,238,499,11170,27655,0.00014082352820904764,0.23983291420329325,0.9236744452950054,0.019609394697906665,True,A. thaliana,OMalley2016,OBP3,Dof,.
6,M01056_2.00,31,499,870,27655,0.00015565379548851543,0.9816814359168117,3.73808611866388,0.019609394697906665,True,A. thaliana,Stam_Arabidopsis,ABF4,bZIP,.
7,M01773_2.00,31,499,794,27655,3.308864927312048e-05,1.1135578295099444,4.989096484852322,0.019609394697906665,True,A. thaliana,Zoo_01,ABF1,bZIP,.
8,M06839_2.00,236,499,11093,27655,0.00016767696780822423,0.2376378041834433,0.8972078480568687,0.019609394697906665,True,A. thaliana,OMalley2016,DOF2.2,Dof,.
9,M06851_2.00,234,499,10825,27655,6.704735667269208e-05,0.260642031347982,1.0878203620626818,0.019609394697906665,True,A. thaliana,OMalley2016,DOF3.4,Dof,.
10,M01133_2.00,33,499,920,27655,8.884256901228658e-05,0.9912607846801051,4.015973019207567,0.019609394697906665,True,A. thaliana,TF_Evolution,DPBF3,bZIP,.
11,M01094_2.00,12,499,199,27655,0.00021361463082152578,1.7406945964435343,6.388991494084454,0.019609394697906665,True,A. thaliana,TF_Evolution,TINY,AP2,DREB
