,Motif_ID,x,N,n,M,pvalues,FoldEn,SScore,FDR,clasification,speciesOrigin,Bibliography,tf,tffamily,tfsubfamily
0,M00722_2.00,234,500,7839,27655,4.667182388346076e-19,0.7233792464834282,13.260225345660352,7.462824638965375e-16,True,A. thaliana,Chang2013,PIF3,bHLH,.
1,M01704_2.00,193,500,6012,27655,2.897915775668002e-18,0.8282961802929163,14.526587376052584,2.3168836626465676e-15,True,A. thaliana,Zoo_01,BHLH34,bHLH,.
2,M01126_2.00,181,500,5528,27655,8.518126621679335e-18,0.8567724236361474,14.624810463309844,3.405121117016314e-15,True,C. sativa,TF_Evolution,PK18401.1,bHLH,.
3,M08404_2.00,175,500,5252,27655,7.172212184018634e-18,0.8820283478806422,15.121799945832832,3.405121117016314e-15,True,A. thaliana,JASPAR,PIF1,bHLH,.
4,M01062_2.00,226,500,7667,27655,1.6462441550460942e-17,0.7052009348506678,11.835743947778605,5.264688807837409e-15,True,A. thaliana,Stam_Arabidopsis,DOF1.8,Dof,.
5,M01944_2.00,201,500,6532,27655,4.1436980341764524e-17,0.7672110525584342,12.568920919971921,1.1042955261080245e-14,True,A. thaliana,Zoo_01,CDF3,Dof,.
6,1.FDP-MEME,181,500,5624,27655,5.00384902296759e-17,0.8319334449518706,13.561094013996584,1.1430220839607395e-14,True,.,.,1.FDP-MEME,.,.
7,M09452_2.00,183,500,5744,27655,8.494797965222834e-17,0.8173282414021915,13.135157071932715,1.697897743298914e-14,True,A. thaliana,HOMER,PIF5,bHLH,.
8,M01707_2.00,184,500,5817,27655,1.3815524932160792e-16,0.8069708041702648,12.79826048037826,2.4545582629472342e-14,True,A. thaliana,Zoo_01,MYC4,bHLH,.
9,M01758_2.00,165,500,4984,27655,1.9365944755648922e-16,0.8727022981630146,13.71273744738187,3.096614566428263e-14,True,P. patens,Zoo_01,gw1.270.82.1,bHLH,.
10,M01825_2.00,130,500,3505,27655,2.156478752041807e-16,1.0366375210716696,16.24022755759395,3.134735931377136e-14,True,Oryza sativa,Zoo_01,LOC_Os05g36160,bZIP,.
11,M01703_2.00,181,500,5727,27655,3.126590639270365e-16,0.8057504358993121,12.493103281552663,4.166182026827762e-14,True,A. thaliana,Zoo_01,PIF1,bHLH,.
12,M01712_2.00,192,500,6271,27655,5.945562042376252e-16,0.7599511334170274,11.57086935115662,7.31304131212279e-14,True,A. thaliana,Zoo_01,MYC3,bHLH,.
13,M01711_2.00,176,500,5569,27655,1.0409100909979175e-15,0.8056974782814859,12.071432387761929,1.0985854304651452e-13,True,A. thaliana,Zoo_01,BIM3,bHLH,.
14,M09540_2.00,143,500,4124,27655,1.1358290809696104e-15,0.9395111563514813,14.040700179844178,1.0985854304651452e-13,True,A. thaliana,HOMER,FHY3,FAR1,.
15,M00854_2.00,192,500,6312,27655,1.167977005497653e-15,0.7505494476488981,11.207628943591404,1.0985854304651452e-13,True,A. thaliana,Franco_Zorrilla2014,PIF3,bHLH,.
16,M07351_2.00,147,500,4294,27655,1.124756282771179e-15,0.9210343059187915,13.76848802520125,1.0985854304651452e-13,True,A. thaliana,OMalley2016,GT-3A,Trihelix,.
17,M01787_2.00,202,500,6802,27655,1.5911579898959183e-15,0.7159366289851534,10.59463549194086,1.2721308129217867e-13,True,A. thaliana,Zoo_01,BZIP63,bZIP,.
18,1.PIF5,195,500,6468,27655,1.5046273946337966e-15,0.7376947872171495,10.934533385881254,1.2721308129217867e-13,True,.,.,1.PIF5,.,.
19,M01848_2.00,209,500,7133,27655,1.513595530916319e-15,0.6965343107986655,10.322631634402471,1.2721308129217867e-13,True,O. tauri,Zoo_01,fgenesh1_pg.C_Chr_07.0001000033,bZIP,.
20,M01702_2.00,161,500,4940,27655,2.2311295078301696e-15,0.8500899885837774,12.455072402495073,1.6988457538192575e-13,True,A. thaliana,Zoo_01,AT2G18300,bHLH,.
21,M01845_2.00,202,500,6837,27655,2.75273069417345e-15,0.7085322097065421,10.31639638144426,2.0007347181742485e-13,True,O. tauri,Zoo_01,300010311,bZIP,.
22,M08045_2.00,164,500,5089,27655,2.959074470489641e-15,0.8338539655820857,12.114934272187686,2.0572000340491025e-13,True,A. thaliana,JASPAR,PIF3,bHLH,.
23,M06843_2.00,214,500,7422,27655,3.1326176906598475e-15,0.6733431376448215,9.766231222554842,2.0871065364021233e-13,True,A. thaliana,OMalley2016,DOF2.5,Dof,.
24,M01127_2.00,151,500,4527,27655,3.57748238189394e-15,0.8835335850184399,12.763899458884524,2.1186645661660778e-13,True,C. sativa,TF_Evolution,PK18474.1,bHLH,.
25,M01125_2.00,151,500,4527,27655,3.57748238189394e-15,0.8835335850184399,12.763899458884524,2.1186645661660778e-13,True,C. sativa,TF_Evolution,PK15505.1,bHLH,.
26,2.URI.MEME2,134,500,3798,27655,3.3287753365996116e-15,0.9645334372494756,13.964240709161295,2.1186645661660778e-13,True,.,.,2.URI.MEME2,.,.
