,Motif_ID,x,N,n,M,pvalues,FoldEn,SScore,FDR,clasification,speciesOrigin,Bibliography,tf,tffamily,tfsubfamily
0,M07160_2.00,224,499,7291,27655,1.107841680705072e-19,0.767810652127211,14.554251938016435,1.7747623724895252e-16,True,A. thaliana,OMalley2016,NAC002,NAC/NAM,.
1,M01699_2.00,172,499,4969,27655,2.7687675557217734e-19,0.9398816444180149,17.442054283579473,2.2177828121331404e-16,True,A. thaliana,Zoo_01,MYC2,bHLH,.
2,M01707_2.00,170,499,4946,27655,1.0274336072046359e-18,0.929701128013791,16.723692813502826,5.486495462472756e-16,True,A. thaliana,Zoo_01,MYC4,bHLH,.
3,M01714_2.00,171,499,5004,27655,1.3776700056503095e-18,0.921343156986105,16.455976345010175,5.51756837262949e-16,True,A. thaliana,Zoo_01,ILR3,bHLH,.
4,M01128_2.00,182,499,5544,27655,3.927924783304139e-18,0.8634398143275095,15.028892526932113,8.36360877525435e-16,True,C. sativa,TF_Evolution,PK20225.1,bHLH,.
5,M01768_2.00,179,499,5427,27655,5.437759898212033e-18,0.8702333001878865,15.024212405737888,8.36360877525435e-16,True,C. sativa,Zoo_01,PK18474.1,bHLH,.
6,M07351_2.00,137,499,3633,27655,5.1363877553110616e-18,1.063443148811069,18.386232507930682,8.36360877525435e-16,True,A. thaliana,OMalley2016,GT-3A,Trihelix,.
7,M01712_2.00,177,499,5302,27655,2.7157314425925594e-18,0.8876413114817657,15.592407740240219,8.36360877525435e-16,True,A. thaliana,Zoo_01,MYC3,bHLH,.
8,M01127_2.00,142,499,3842,27655,5.742802529825085e-18,1.034462032105182,17.835031743238144,8.36360877525435e-16,True,C. sativa,TF_Evolution,PK18474.1,bHLH,.
9,M01125_2.00,142,499,3842,27655,5.742802529825085e-18,1.034462032105182,17.835031743238144,8.36360877525435e-16,True,C. sativa,TF_Evolution,PK15505.1,bHLH,.
10,1-MYC3-1MEME,180,499,5456,27655,4.0375710368758e-18,0.8705818835715294,15.142796659474838,8.36360877525435e-16,True,.,.,1-MYC3-1MEME,.,.
11,M01118_2.00,178,499,5392,27655,6.526651686444205e-18,0.8714853660505664,14.976745796127851,8.713080001403014e-16,True,C. sativa,TF_Evolution,PK01630.1,bHLH,.
12,M01773_2.00,189,499,5895,27655,7.495271412392545e-18,0.8293230426199746,14.20233344899115,9.236480617425274e-16,True,A. thaliana,Zoo_01,ABF1,bZIP,.
13,M01711_2.00,162,499,4729,27655,1.4209422442820887e-17,0.9248872926928471,15.581967978278373,1.2927350869579406e-15,True,A. thaliana,Zoo_01,BIM3,bHLH,.
14,M01120_2.00,142,499,3881,27655,1.372717662171401e-17,1.019891117985261,17.197831139838595,1.2927350869579406e-15,True,C. sativa,TF_Evolution,PK05451.1,bHLH,.
15,M01708_2.00,168,499,4979,27655,1.1376368902773786e-17,0.903033838978738,15.301002056655733,1.2927350869579406e-15,True,A. thaliana,Zoo_01,BEE2,bHLH,.
16,M01698_2.00,142,499,3885,27655,1.4997048157153473e-17,1.0184049524756367,17.133639027916967,1.2927350869579406e-15,True,A. thaliana,Zoo_01,BHLH13,bHLH,.
17,M01123_2.00,142,499,3886,27655,1.5332064077528634e-17,1.0180336501853644,17.117624370754584,1.2927350869579406e-15,True,C. sativa,TF_Evolution,PK07858.1,bHLH,.
18,M01705_2.00,142,499,3886,27655,1.5332064077528634e-17,1.0180336501853644,17.117624370754584,1.2927350869579406e-15,True,A. thaliana,Zoo_01,UNE10,bHLH,.
19,M07198_2.00,227,499,7762,27655,2.6111090290106995e-17,0.696692485771494,11.55337340818723,2.0914983322375705e-15,True,A. thaliana,OMalley2016,NAC047,NAC/NAM,.
20,ACGTGB-ANAC102-DREME,191,499,6061,27655,2.852886979314029e-17,0.8044454170933208,13.309320507287513,2.1763452099338446e-15,True,.,.,ACGTGB-ANAC102-DREME,.,.
21,M01701_2.00,161,499,4729,27655,3.3677950195824365e-17,0.9159541679228393,15.088196408311147,2.4523671006232105e-15,True,A. thaliana,Zoo_01,BIM2,bHLH,.
22,M01771_2.00,177,499,5456,27655,4.9868820252896006e-17,0.8463343373248522,13.797087010489948,3.3287437518808083e-15,True,A. thaliana,Zoo_01,ABF2,bZIP,.
23,M01757_2.00,169,499,5098,27655,4.8358518557927586e-17,0.8775204945260094,14.317209332048199,3.3287437518808083e-15,True,P. patens,Zoo_01,fgenesh1_pg.scaffold_37000071,bHLH,.
24,M01756_2.00,159,499,4674,27655,6.300324613116926e-17,0.914797652767557,14.820304768371278,3.881969242389736e-15,True,P. patens,Zoo_01,e_gw1.209.40.1,bHLH,.
25,M00854_2.00,175,499,5378,27655,6.180197146528122e-17,0.8507137882254828,13.789217811881292,3.881969242389736e-15,True,A. thaliana,Franco_Zorrilla2014,PIF3,bHLH,.
26,M01758_2.00,148,499,4215,27655,8.087146254328716e-17,0.9604931660655323,15.456452643865742,4.798373444235038e-15,True,P. patens,Zoo_01,gw1.270.82.1,bHLH,.
27,M01776_2.00,177,499,5485,27655,8.470127651429545e-17,0.8386863610584694,13.479459487722306,4.846123034853618e-15,True,A. thaliana,Zoo_01,ABI5,bZIP,.
28,M01056_2.00,166,499,4998,27655,8.936196689601919e-17,0.8802609615262481,14.127173738763389,4.936478309221474e-15,True,A. thaliana,Stam_Arabidopsis,ABF4,bZIP,.
29,M01160_2.00,186,499,5906,27655,1.0551884704796527e-16,0.803549886240104,12.83805133106817,5.538223391522575e-15,True,C. sativa,TF_Evolution,PK23964.1,bZIP,.
30,M08404_2.00,153,499,4442,27655,1.0716911681473148e-16,0.932750881411698,14.895966608471545,5.538223391522575e-15,True,A. thaliana,JASPAR,PIF1,bHLH,.
31,M01700_2.00,189,499,6048,27655,1.134997969139079e-16,0.792356716266027,12.6341317357362,5.682083583002515e-15,True,A. thaliana,Zoo_01,BPE,bHLH,.
32,M01158_2.00,176,499,5458,27655,1.1740735965983736e-16,0.8376316556291838,13.343727482580682,5.6995936416684685e-15,True,C. sativa,TF_Evolution,PK18009.1,bZIP,.
33,M01845_2.00,183,499,5778,27655,1.237952997666679e-16,0.8117020659854538,12.911984900980926,5.832943241947117e-15,True,O. tauri,Zoo_01,300010311,bZIP,.
