,Motif_ID,x,N,n,M,pvalues,FoldEn,SScore,FDR,clasification,speciesOrigin,Bibliography,tf,tffamily,tfsubfamily
0,M01825_2.00,197,500,5721,27655,2.7060262959859593e-22,0.9294686273636645,20.0464707597147,2.7128353199197843e-19,True,Oryza sativa,Zoo_01,LOC_Os05g36160,bZIP,.
1,M01705_2.00,191,500,5468,27655,3.427460922198085e-22,0.9500997373708894,20.393916979073143,2.7128353199197843e-19,True,A. thaliana,Zoo_01,UNE10,bHLH,.
2,M06739_2.00,189,500,5458,27655,1.794760774428496e-21,0.9375541818881327,19.45049289847141,9.470354353067696e-19,True,A. thaliana,OMalley2016,BIM1,bHLH,.
3,M01123_2.00,184,500,5295,27655,5.8278691610673946e-21,0.9426154241185144,19.073342568243646,1.8451033763939372e-18,True,C. sativa,TF_Evolution,PK07858.1,bHLH,.
4,M01698_2.00,184,500,5295,27655,5.8278691610673946e-21,0.9426154241185144,19.073342568243646,1.8451033763939372e-18,True,A. thaliana,Zoo_01,BHLH13,bHLH,.
5,M08431_2.00,188,500,5537,27655,2.3007295696903143e-20,0.9091684820884419,17.854372866941905,6.0700915146996126e-18,True,A. thaliana,JASPAR,BZR2,BES1,.
6,M01118_2.00,192,500,5743,27655,4.0449242804634643e-20,0.886842091276327,17.19860814055477,7.114572373304071e-18,True,C. sativa,TF_Evolution,PK01630.1,bHLH,.
7,M01127_2.00,167,500,4651,27655,3.8124537130084045e-20,0.9898475048906414,19.22164619484638,7.114572373304071e-18,True,C. sativa,TF_Evolution,PK18474.1,bHLH,.
8,M01125_2.00,166,500,4625,27655,5.462915057165737e-20,0.9892702179970886,19.055892315784753,8.64779453549336e-18,True,C. sativa,TF_Evolution,PK15505.1,bHLH,.
9,M07343_2.00,173,500,4970,27655,1.4434290296282681e-19,0.9450665281282766,17.80562474370924,2.0772255944559532e-17,True,A. thaliana,OMalley2016,BEH3,BES1,.
10,M01052_2.00,163,500,4566,27655,2.4115523341418156e-19,0.9814814469475764,18.27293038238836,3.1700617154271856e-17,True,A. thaliana,Stam_Arabidopsis,BHLH49,bHLH,.
11,M01128_2.00,152,500,4109,27655,2.603335584368504e-19,1.0328243352171296,19.194492713354688,3.1700617154271856e-17,True,C. sativa,TF_Evolution,PK20225.1,bHLH,.
12,M01710_2.00,162,500,4532,27655,2.8903228412467544e-19,0.9833862940053095,18.23105125833657,3.268129326924008e-17,True,A. thaliana,Zoo_01,BIM1,bHLH,.
13,M01120_2.00,173,500,5048,27655,7.1986560123069e-19,0.922600469595376,16.738508358456567,7.122170292176139e-17,True,C. sativa,TF_Evolution,PK05451.1,bHLH,.
14,M07351_2.00,287,500,10554,27655,6.972981630430675e-19,0.5888730954237711,10.69192233779118,7.122170292176139e-17,True,A. thaliana,OMalley2016,GT-3A,Trihelix,.
15,M01776_2.00,192,500,5908,27655,9.776621192343659e-19,0.8459768268975675,15.235882941968221,9.103759616164713e-17,True,A. thaliana,Zoo_01,ABI5,bZIP,.
16,M01158_2.00,197,500,6141,27655,1.081244784698613e-18,0.8272623686530102,14.862658565906171,9.508947189877246e-17,True,C. sativa,TF_Evolution,PK18009.1,bZIP,.
17,M06727_2.00,173,500,5082,27655,1.429098485822241e-18,0.9129160045245703,16.29092935472693,1.190664685819267e-16,True,A. thaliana,OMalley2016,BIM2,bHLH,.
18,M01712_2.00,175,500,5179,27655,1.7227886102799814e-18,0.9022217056426809,16.02685707092029,1.3635871850366053e-16,True,A. thaliana,Zoo_01,MYC3,bHLH,.
19,M00854_2.00,167,500,4862,27655,3.2673980255829142e-18,0.925838551386524,16.18902585101641,2.4629957497608347e-16,True,A. thaliana,Franco_Zorrilla2014,PIF3,bHLH,.
