,Motif_ID,x,N,n,M,pvalues,FoldEn,SScore,FDR,clasification,speciesOrigin,Bibliography,tf,tffamily,tfsubfamily
0,M06854_2.00,275,500,12124,27655,1.0484764032193432e-07,0.3271781085688934,2.283520416235276,0.00010830761245255814,True,A. thaliana,OMalley2016,OBP3,Dof,.
1,M06867_2.00,197,500,8356,27655,2.232240864836478e-06,0.3829234793304686,2.1639997380676204,0.0007686349377920272,True,A. thaliana,OMalley2016,DOF5.6,Dof,.
2,M06715_2.00,168,500,6867,27655,2.0816245912197157e-06,0.4363216114431181,2.4790038161384187,0.0007686349377920272,True,A. thaliana,OMalley2016,BPC1,BBR,.
3,M06719_2.00,151,500,6071,27655,3.354979282381398e-06,0.4601547184155254,2.5190296489680093,0.000866423399674996,True,A. thaliana,OMalley2016,BPC6,BBR,.
4,M06839_2.00,197,500,8524,27655,8.170100738733327e-06,0.35420537861487345,1.8021164160194376,0.0016879428126223054,True,A. thaliana,OMalley2016,DOF2.2,Dof,.
5,M06868_2.00,269,500,12446,27655,1.329868446400737e-05,0.2575362686104507,1.2557961171461947,0.0018926921264973721,True,A. thaliana,OMalley2016,DOF5.8,Dof,.
6,M06861_2.00,249,500,11347,27655,1.251086879877852e-05,0.2794470714341359,1.3700486586817693,0.0018926921264973721,True,A. thaliana,OMalley2016,DOF4.7,Dof,.
7,M07349_2.00,159,500,6649,27655,1.4657828666000946e-05,0.40342972988574316,1.9501512190344639,0.0018926921264973721,True,A. thaliana,OMalley2016,FRS9,FAR1,.
8,M06855_2.00,202,500,8889,27655,1.7224351289088994e-05,0.329874508010557,1.5714750255720518,0.0019769727646254368,True,A. thaliana,OMalley2016,OBP3,Dof,.
9,M06696_2.00,57,500,1863,27655,3.405135392556622e-05,0.7589464921643044,3.390870936194582,0.0035175048605109904,True,A. thaliana,OMalley2016,HMGB15,HMGBox,.
10,M06851_2.00,196,500,8794,27655,7.432927277390709e-05,0.3018744638437616,1.2463913963884399,0.006921818398056912,True,A. thaliana,OMalley2016,DOF3.4,Dof,.
11,M06837_2.00,261,500,12300,27655,8.040834537917032e-05,0.23100373839712038,0.9458907476394878,0.006921818398056912,True,A. thaliana,OMalley2016,CDF5,Dof,.
12,M06863_2.00,220,500,10136,27655,0.00011152146244766205,0.2636273413250508,1.0420243814676158,0.008861666977571915,True,A. thaliana,OMalley2016,DOF5.1,Dof,.
13,M06716_2.00,136,500,5813,27655,0.00016535106498690613,0.37186408495965395,1.406238621956342,0.012140710340858939,True,A. thaliana,OMalley2016,BPC1,BBR,.
14,M01777_2.00,5,500,31,27655,0.00020117617052965787,3.1572002214416877,11.670348976182213,0.012140710340858939,True,A. thaliana,Zoo_01,BZIP18,bZIP,.
15,M06833_2.00,194,500,8849,27655,0.0001955850348272596,0.2780825648700664,1.0313149025553254,0.012140710340858939,True,A. thaliana,OMalley2016,DOF1.7,Dof,.
16,M01775_2.00,5,500,31,27655,0.00020117617052965787,3.1572002214416877,11.670348976182213,0.012140710340858939,True,A. thaliana,Zoo_01,AT2G21230,bZIP,.
17,M08101_2.00,118,500,4941,27655,0.00021155158386782278,0.40152414585553076,1.475434089064404,0.012140710340858939,True,Zea mays,JASPAR,RAMOSA1,C2H2 ZF,.
