,Motif_ID,x,N,n,M,pvalues,FoldEn,SScore,FDR,clasification,speciesOrigin,Bibliography,tf,tffamily,tfsubfamily
0,M08047_2.00,217,500,4038,27655,1.3030479692697756e-55,1.5715944740542067,86.25702493772133,2.09008894270872e-52,True,A. thaliana,JASPAR,PIF5,bHLH,.
1,M08045_2.00,243,500,5089,27655,2.6936317062089955e-54,1.4011144645697828,75.05722798850712,2.1602926283796144e-51,True,A. thaliana,JASPAR,PIF3,bHLH,.
2,1.PIF1.MEME1,281,500,6684,27655,4.593166674694052e-54,1.2173987391009389,64.93347734772141,2.4558131154030865e-51,True,.,.,1.PIF1.MEME1,.,.
3,M01702_2.00,238,500,4940,27655,1.535329897299731e-53,1.4139908737771039,74.67822879585147,6.156672888171921e-51,True,A. thaliana,Zoo_01,AT2G18300,bHLH,.
4,1.PIF5,275,500,6468,27655,2.0358555586329538e-53,1.2336522818795608,65.00268454527938,6.531024632094515e-51,True,.,.,1.PIF5,.,.
5,M01703_2.00,257,500,5727,27655,3.974418394377212e-53,1.311529098009985,68.72507745122938,1.0624945174301747e-50,True,A. thaliana,Zoo_01,PIF1,bHLH,.
6,M01708_2.00,259,500,5882,27655,4.7139003669997104e-52,1.2841856557406905,65.91290864921572,1.0801565983810766e-49,True,A. thaliana,Zoo_01,BEE2,bHLH,.
7,1-MYC2-1MEME,285,500,7015,27655,5.9608141835440555e-52,1.168059157486043,59.83347340229119,1.1951432438005831e-49,True,.,.,1-MYC2-1MEME,.,.
8,M01119_2.00,208,500,3932,27655,1.2764685716853519e-51,1.548860548741712,78.82769308331406,2.150291798330283e-49,True,C. sativa,TF_Evolution,PK03576.1,bHLH,.
9,M01122_2.00,209,500,3969,27655,1.3405809216522964e-51,1.5422677220222503,78.45933388481525,2.150291798330283e-49,True,C. sativa,TF_Evolution,PK06517.1,bHLH,.
10,M00854_2.00,268,500,6312,27655,2.380895013664449e-51,1.2316761373855143,62.35146103632126,3.182463001598147e-49,True,A. thaliana,Franco_Zorrilla2014,PIF3,bHLH,.
11,M08046_2.00,230,500,4764,27655,2.3345365277864164e-51,1.4170007900214618,71.74529964572501,3.182463001598147e-49,True,A. thaliana,JASPAR,PIF4,bHLH,.
12,1.PIF4.MEME,259,500,5965,27655,7.636401317202157e-51,1.263970302045164,63.34654025203021,8.165858475194839e-49,True,.,.,1.PIF4.MEME,.,.
13,M01156_2.00,274,500,6607,27655,7.218840343423085e-51,1.1977208905244525,60.05556103388093,8.165858475194839e-49,True,C. sativa,TF_Evolution,PK09653.1,bZIP,.
14,M01701_2.00,250,500,5588,27655,6.76994774218555e-51,1.3071364161938244,65.5782689121395,8.165858475194839e-49,True,A. thaliana,Zoo_01,BIM2,bHLH,.
15,M01707_2.00,255,500,5817,27655,1.4550929318168412e-50,1.2777622849721098,63.679978615817426,1.3729229780201255e-48,True,A. thaliana,Zoo_01,MYC4,bHLH,.
16,M01711_2.00,249,500,5569,27655,1.4380853876278404e-50,1.3062677917122696,65.10728054866996,1.3729229780201255e-48,True,A. thaliana,Zoo_01,BIM3,bHLH,.
17,M09452_2.00,253,500,5744,27655,2.0407357109910108e-50,1.2846219778124592,63.83314000476844,1.818522266905323e-48,True,A. thaliana,HOMER,PIF5,bHLH,.
