,Motif_ID,x,N,n,M,pvalues,FoldEn,SScore,FDR,clasification,speciesOrigin,Bibliography,tf,tffamily,tfsubfamily
0,M09452_2.00,203,500,4856,27655,1.6357489523867928e-34,1.2092516478706947,40.85611881541345,2.6188340727712555e-31,True,A. thaliana,HOMER,PIF5,bHLH,.
1,M08045_2.00,188,500,4304,27655,6.167862975804428e-34,1.2725949260622136,42.26270605443478,4.483832121533003e-31,True,A. thaliana,JASPAR,PIF3,bHLH,.
2,1.PIF1.MEME1,221,500,5680,27655,1.400322336518739e-33,1.1056957819405877,36.326277103224534,4.483832121533003e-31,True,.,.,1.PIF1.MEME1,.,.
3,M08404_2.00,191,500,4442,27655,1.1574957330844836e-33,1.2499035874299684,41.167425260834236,4.483832121533003e-31,True,A. thaliana,JASPAR,PIF1,bHLH,.
4,1.PIF5,216,500,5463,27655,1.2174404096165976e-33,1.1288782314066745,37.15652157342879,4.483832121533003e-31,True,.,.,1.PIF5,.,.
5,M01783_2.00,233,500,6216,27655,2.1622684677115114e-33,1.0518837931877707,34.359879178932026,5.7696530280102155e-31,True,A. thaliana,Zoo_01,GBF1,bZIP,.
6,M08046_2.00,180,500,4041,27655,2.6530434336880744e-33,1.3008248970874159,42.376004390406266,6.049291288696044e-31,True,A. thaliana,JASPAR,PIF4,bHLH,.
7,M08047_2.00,163,500,3410,27655,3.0227564215845316e-33,1.4026405672607434,45.61330576932039,6.049291288696044e-31,True,A. thaliana,JASPAR,PIF5,bHLH,.
8,M01703_2.00,200,500,4839,27655,3.485878186064836e-33,1.1928314028391263,38.71654926348208,6.200989973210892e-31,True,A. thaliana,Zoo_01,PIF1,bHLH,.
9,M01708_2.00,203,500,4979,27655,5.7974926399555656e-33,1.1731640540603274,37.81900780974027,9.281785716568862e-31,True,A. thaliana,Zoo_01,BEE2,bHLH,.
10,M01771_2.00,214,500,5456,27655,1.0002766487813374e-32,1.1173074943181749,35.75370559555973,1.4558571951808376e-30,True,A. thaliana,Zoo_01,ABF2,bZIP,.
11,1.ABF4-MEME,203,500,5011,27655,1.4336076243255406e-32,1.1639215316967992,37.063416417562614,1.7655429281116848e-30,True,.,.,1.ABF4-MEME,.,.
12,M01773_2.00,224,500,5895,27655,1.3650336119425656e-32,1.0715472611316799,34.1446998746218,1.7655429281116848e-30,True,A. thaliana,Zoo_01,ABF1,bZIP,.
13,M06770_2.00,201,500,4939,27655,1.9015935064966537e-32,1.170516874741685,37.12982803057486,2.1746080027865307e-30,True,A. thaliana,OMalley2016,GBF3,bZIP,.
14,M06740_2.00,141,500,2699,27655,3.1157265613409993e-32,1.5308105278731425,48.23039106328005,3.157378241414154e-30,True,A. thaliana,OMalley2016,BIM1,bHLH,.
15,M01056_2.00,202,500,4998,27655,3.1554061125937827e-32,1.1605447336062917,36.55825551872257,3.157378241414154e-30,True,A. thaliana,Stam_Arabidopsis,ABF4,bZIP,.
16,M06736_2.00,151,500,3060,27655,5.303128683351538e-32,1.4485572386862653,45.30430532475829,4.994299424732831e-30,True,A. thaliana,OMalley2016,BHLH77,bHLH,.
17,GBF2-MEME,201,500,4990,27655,7.955183108664378e-32,1.1556960278955064,35.94139505654767,7.075693420539816e-30,True,.,.,GBF2-MEME,.,.
18,M01757_2.00,203,500,5098,27655,1.6043358964655269e-31,1.139088696104175,35.077900022725586,1.2842708851206544e-29,True,P. patens,Zoo_01,fgenesh1_pg.scaffold_37000071,bHLH,.
19,M01711_2.00,194,500,4729,27655,1.595169782008466e-31,1.1820618526705235,36.40418711626869,1.2842708851206544e-29,True,A. thaliana,Zoo_01,BIM3,bHLH,.
20,M01161_2.00,208,500,5309,27655,1.7132443301575657e-31,1.1156837289585615,34.32532720558568,1.3061448440867917e-29,True,C. sativa,TF_Evolution,PK24205.1,bZIP,.
21,M01772_2.00,218,500,5738,27655,1.9032379364150123e-31,1.0713205089494624,32.911509102593286,1.3850381528183795e-29,True,A. thaliana,Zoo_01,ABF1,bZIP,.
22,M01776_2.00,212,500,5485,27655,2.0746974670714816e-31,1.0961129862138443,33.632084325813146,1.4441698455571486e-29,True,A. thaliana,Zoo_01,ABI5,bZIP,.
23,ACGTGKV-ZAT6-DREME,207,500,5282,27655,2.5580635154287014e-31,1.1160868082734328,34.14342660927253,1.6381838752805404e-29,True,.,.,ACGTGKV-ZAT6-DREME,.,.
24,ACGTGB-ANAC102-DREME,225,500,6061,27655,3.0955313714733303e-31,1.0379095009497827,31.665855792842883,1.9061329714341545e-29,True,.,.,ACGTGB-ANAC102-DREME,.,.
25,M01122_2.00,158,500,3368,27655,3.7875348717676682e-31,1.3755727620519074,41.84718398277628,2.2458678998889024e-29,True,C. sativa,TF_Evolution,PK06517.1,bHLH,.
26,M01119_2.00,157,500,3336,27655,4.41839201632856e-31,1.380185612388164,41.89516955623049,2.5263734350507234e-29,True,C. sativa,TF_Evolution,PK03576.1,bHLH,.
27,2.ABF1-MEME,201,500,5062,27655,5.765622334462356e-31,1.1350283360094453,34.32229642971567,3.183021157749735e-29,True,.,.,2.ABF1-MEME,.,.
28,1.FD-MEME,179,500,4181,27655,6.683156177432133e-31,1.2436518861613193,37.52721853544076,3.4515267871189824e-29,True,.,.,1.FD-MEME,.,.
29,1.PIF4.MEME,201,500,5067,27655,6.604554216237024e-31,1.1336040145975872,34.2123465586814,3.4515267871189824e-29,True,.,.,1.PIF4.MEME,.,.
30,M01120_2.00,171,500,3881,27655,8.919447625354275e-31,1.2851082340416502,38.61706811818394,4.462511140060061e-29,True,C. sativa,TF_Evolution,PK05451.1,bHLH,.
31,M06727_2.00,177,500,4117,27655,1.019582177117096e-30,1.2496962537029286,37.4803623753778,4.622989293372567e-29,True,A. thaliana,OMalley2016,BIM2,bHLH,.
32,M01698_2.00,171,500,3885,27655,1.0100799063449381e-30,1.2836220685320259,38.50307094260641,4.622989293372567e-29,True,A. thaliana,Zoo_01,BHLH13,bHLH,.
33,M01123_2.00,171,500,3886,27655,1.0419494818508783e-30,1.2832507662417536,38.47462124324763,4.622989293372567e-29,True,C. sativa,TF_Evolution,PK07858.1,bHLH,.
34,M00854_2.00,208,500,5378,27655,1.0683985250142722e-30,1.0970541152094198,32.88010149345517,4.622989293372567e-29,True,A. thaliana,Franco_Zorrilla2014,PIF3,bHLH,.
35,M01705_2.00,171,500,3886,27655,1.0419494818508783e-30,1.2832507662417536,38.47462124324763,4.622989293372567e-29,True,A. thaliana,Zoo_01,UNE10,bHLH,.
36,1.PIF3.MEME,210,500,5472,27655,1.3606100511487418e-30,1.0858614397214255,32.43062695090636,5.73246497865562e-29,True,.,.,1.PIF3.MEME,.,.
37,M01052_2.00,169,500,3822,27655,1.5332429430636114e-30,1.2902358102459284,38.467592381340516,6.203163690442712e-29,True,A. thaliana,Stam_Arabidopsis,BHLH49,bHLH,.
