,Motif_ID,x,N,n,M,pvalues,FoldEn,SScore,FDR,clasification,speciesOrigin,Bibliography,tf,tffamily,tfsubfamily
0,M06861_2.00,296,500,11347,27655,6.266540696657105e-17,0.5288985049950046,8.56972773897155,6.492136161736761e-14,True,A. thaliana,OMalley2016,DOF4.7,Dof,.
1,M06837_2.00,311,500,12300,27655,3.763002209454801e-16,0.4838685119578385,7.463413182141142,1.9492351444975869e-13,True,A. thaliana,OMalley2016,CDF5,Dof,.
2,M06838_2.00,230,500,8122,27655,9.004888911261752e-16,0.6473391759612502,9.739555580656592,3.109688304022392e-13,True,A. thaliana,OMalley2016,CDF5,Dof,.
3,M06854_2.00,301,500,12124,27655,4.490786587776364e-14,0.4575099769165735,6.106695662930338,1.1631137262340784e-11,True,A. thaliana,OMalley2016,OBP3,Dof,.
4,M06705_2.00,307,500,12630,27655,3.6201488172517324e-13,0.42699626363646526,5.31237733187439,7.50094834934559e-11,True,A. thaliana,OMalley2016,VRN1,B3,REM
5,M06833_2.00,235,500,8849,27655,6.260999905858177e-13,0.5546866692479383,6.769039061215477,1.0810659837448453e-10,True,A. thaliana,OMalley2016,DOF1.7,Dof,.
6,M06704_2.00,180,500,6225,27655,1.7369582127397504e-12,0.6774634114280695,7.967112412216901,2.5706981548548303e-10,True,A. thaliana,OMalley2016,VRN1,B3,REM
7,M06863_2.00,257,500,10136,27655,3.9182005144663795e-12,0.4878921769942693,5.565343783550461,5.074069666233962e-10,True,A. thaliana,OMalley2016,DOF5.1,Dof,.
8,M06703_2.00,231,500,8818,27655,5.353382289900332e-12,0.5349817167415104,6.029977804644511,6.162337835929715e-10,True,A. thaliana,OMalley2016,REM19,B3,REM
9,M06868_2.00,298,500,12446,27655,1.2485810407570811e-11,0.40524242651598796,4.418594539604769,1.293529958224336e-09,True,A. thaliana,OMalley2016,DOF5.8,Dof,.
10,M06702_2.00,276,500,11262,27655,1.4669236778675683e-11,0.43881745816733925,4.753969515485213,1.3815753911552734e-09,True,A. thaliana,OMalley2016,REM19,B3,REM
11,M06855_2.00,230,500,8889,27655,2.2979121117833185e-11,0.5171530762031374,5.501819151538695,1.9838641231729316e-09,True,A. thaliana,OMalley2016,OBP3,Dof,.
12,M06851_2.00,228,500,8794,27655,2.4968519570180107e-11,0.5200546338932952,5.513935009356187,1.9897989442081996e-09,True,A. thaliana,OMalley2016,DOF3.4,Dof,.
13,M06839_2.00,222,500,8524,27655,3.767876064754861e-11,0.5265694255086032,5.488908820008332,2.788228287918597e-09,True,A. thaliana,OMalley2016,DOF2.2,Dof,.
14,1.PIF1.MEME1,22,500,238,27655,4.1125929631045943e-10,2.354082292270554,22.095143961831617,2.84043087318424e-08,True,.,.,1.PIF1.MEME1,.,.
15,M06832_2.00,190,500,7229,27655,1.3148902233533655e-09,0.539743670117144,4.793523178003711,8.513914196213042e-08,True,A. thaliana,OMalley2016,DOF1.6,Dof,.
16,M06867_2.00,210,500,8356,27655,4.924052053830396e-09,0.47511717754021493,3.9471202214032735,3.0007752516284065e-07,True,A. thaliana,OMalley2016,DOF5.6,Dof,.
17,M06719_2.00,159,500,6071,27655,7.229301730021227e-08,0.5346329343748019,3.817762271785056,4.160864773501106e-06,True,A. thaliana,OMalley2016,BPC6,BBR,.
18,M01845_2.00,21,500,299,27655,1.1644410087377838e-07,1.9577841855218558,13.575045518789935,6.349267816064968e-06,True,O. tauri,Zoo_01,300010311,bZIP,.
19,M06847_2.00,137,500,5083,27655,1.6007925323070467e-07,0.576036004453283,3.914547685602679,8.292105317350503e-06,True,A. thaliana,OMalley2016,DOF3.2,Dof,.
20,M09781_2.00,14,500,137,27655,1.7699038034733523e-07,2.4987912760382778,16.87196447860424,8.334637910901787e-06,True,A. thaliana,Transfac,PIF3,bHLH,.
21,M06869_2.00,175,500,6945,27655,1.695190588215917e-07,0.47892056990477444,3.2426665191232313,8.334637910901787e-06,True,A. thaliana,OMalley2016,DOF5.8,Dof,.
22,M08101_2.00,133,500,4941,27655,2.7401582168836244e-07,0.5741635319948792,3.76778991643475,1.2342625707354064e-05,True,Zea mays,JASPAR,RAMOSA1,C2H2 ZF,.
23,M07349_2.00,167,500,6649,27655,4.5480200846331506e-07,0.4742510670754401,3.0077845067507014,1.9632286698666433e-05,True,A. thaliana,OMalley2016,FRS9,FAR1,.
24,M06716_2.00,149,500,5813,27655,7.602526035960759e-07,0.503569764171476,3.0813645791329765,3.029314220482826e-05,True,A. thaliana,OMalley2016,BPC1,BBR,.
25,M06829_2.00,165,500,6600,27655,7.311513580002749e-07,0.4675403420538383,2.8688241300216184,3.029314220482826e-05,True,A. thaliana,OMalley2016,DOF1.5,Dof,.
26,M06797_2.00,61,500,1815,27655,1.1967047038593225e-06,0.8944519416209737,5.296956027850468,4.5918002711046594e-05,True,A. thaliana,OMalley2016,AT1G14580,C2H2 ZF,.
27,M08144_2.00,60,500,1780,27655,1.334745495162171e-06,0.898697506695959,5.2794897534464775,4.938558332100033e-05,True,A. thaliana,JASPAR,AP1,MADS box,.
28,M06727_2.00,16,500,218,27655,2.022489424905363e-06,2.021284112164274,11.509421636584888,6.956655085495566e-05,True,A. thaliana,OMalley2016,BIM2,bHLH,.
29,M06738_2.00,14,500,168,27655,2.0174123432436955e-06,2.2045059362200443,12.555113949891103,6.956655085495566e-05,True,A. thaliana,OMalley2016,LRL2,bHLH,.
30,M06715_2.00,168,500,6867,27655,2.0816245912197157e-06,0.4363216114431181,2.4790038161384187,6.956655085495566e-05,True,A. thaliana,OMalley2016,BPC1,BBR,.
31,M08148_2.00,59,500,1788,27655,3.060844188427132e-06,0.8679804651197238,4.786182100439495,9.90948306003284e-05,True,A. thaliana,JASPAR,PI,MADS box,.
32,M01056_2.00,22,500,405,27655,3.94917216188623e-06,1.5871219578065106,8.576003869990801,0.00012398007150648892,True,A. thaliana,Stam_Arabidopsis,ABF4,bZIP,.
33,M06818_2.00,70,500,2318,27655,7.195520093263263e-06,0.7400866028796953,3.8062193724194837,0.00021376300065778012,True,A. thaliana,OMalley2016,JKD,C2H2 ZF,.
34,M06735_2.00,16,500,242,27655,7.42805793791514e-06,1.8706051996666062,9.594567366250722,0.00021376300065778012,True,A. thaliana,OMalley2016,BHLH34,bHLH,.
35,M06775_2.00,23,500,454,27655,7.3238282909068335e-06,1.4864819057072984,7.633473815742776,0.00021376300065778012,True,A. thaliana,OMalley2016,ATBZIP42,bZIP,.
36,M02654_2.00,12,500,141,27655,8.524383056900039e-06,2.2348795852635632,11.329357867766038,0.0002386827255932011,True,A. thaliana,JASPAR,DYT1,bHLH,.
37,M07334_2.00,93,500,3384,27655,9.61963374627808e-06,0.6041133949292822,3.0307411279052165,0.0002555369374652331,True,A. thaliana,OMalley2016,AtIDD11,C2H2 ZF,.
38,M07336_2.00,131,500,5202,27655,9.615379337578492e-06,0.47804075453565975,2.398346517004669,0.0002555369374652331,True,A. thaliana,OMalley2016,MIP1B,Unknown,.
39,M06822_2.00,50,500,1491,27655,1.1013133262931243e-05,0.8912600844324828,4.418946914901193,0.00028524015150991917,True,A. thaliana,OMalley2016,NUC,C2H2 ZF,.
40,M06740_2.00,16,500,252,27655,1.212782665727077e-05,1.812188513441284,8.909112011467181,0.00029975049634908856,True,A. thaliana,OMalley2016,BIM1,bHLH,.
41,M06726_2.00,14,500,197,27655,1.2152047149287375e-05,1.9747715395424283,9.706694381116394,0.00029975049634908856,True,A. thaliana,OMalley2016,BPE,bHLH,.
42,M06756_2.00,23,500,470,27655,1.2481081662701022e-05,1.4365134464332137,7.044299617060221,0.00030070699075716883,True,A. thaliana,OMalley2016,BZIP44,bZIP,.
43,M08045_2.00,9,500,82,27655,1.5204052219351682e-05,2.6018414337654288,12.535777786107744,0.00035713547344732953,True,A. thaliana,JASPAR,PIF3,bHLH,.
44,M06807_2.00,56,500,1765,27655,1.551264122116779e-05,0.811370890840262,3.902137588833152,0.00035713547344732953,True,A. thaliana,OMalley2016,IDD5,C2H2 ZF,.
45,M06757_2.00,24,500,515,27655,1.7731534595423336e-05,1.366002315591776,6.490223523752239,0.0003993449965404038,True,A. thaliana,OMalley2016,BZIP44,bZIP,.
46,M07215_2.00,153,500,6402,27655,2.2761116872180676e-05,0.40254931808827105,1.8689585629057894,0.0005017131293527485,True,A. thaliana,OMalley2016,NAC68,NAC/NAM,.
47,M06779_2.00,24,500,529,27655,2.6733167354596316e-05,1.327307025548331,6.069708108781496,0.000565215538354322,True,A. thaliana,OMalley2016,BZIP53,bZIP,.
48,M06760_2.00,22,500,460,27655,2.6343476485556938e-05,1.4034100046341225,6.426673203897799,0.000565215538354322,True,A. thaliana,OMalley2016,AtbZIP48,bZIP,.
49,M06741_2.00,15,500,242,27655,2.9070191701013825e-05,1.7774957952751247,8.063702290440668,0.0006023343720450065,True,A. thaliana,OMalley2016,BIM3,bHLH,.
50,M08425_2.00,47,500,1428,27655,3.0298730340058182e-05,0.8642770245897383,3.9053010491158955,0.0006072356126845524,True,A. thaliana,JASPAR,SOC1,MADS box,.
51,M06771_2.00,20,500,398,27655,3.0479007586483326e-05,1.474771911284914,6.660068739060652,0.0006072356126845524,True,A. thaliana,OMalley2016,GBF3,bZIP,.
52,M06776_2.00,22,500,469,27655,3.4737584706056145e-05,1.375455943063121,6.133433665638429,0.0006543297773722576,True,A. thaliana,OMalley2016,ATBZIP42,bZIP,.
53,M06728_2.00,14,500,217,27655,3.441331619577736e-05,1.8352721265543255,8.191321402082416,0.0006543297773722576,True,A. thaliana,OMalley2016,BIM2,bHLH,.
54,M06850_2.00,128,500,5202,27655,3.412179374025863e-05,0.4446177529982093,1.9860933400485956,0.0006543297773722576,True,A. thaliana,OMalley2016,CDF3,Dof,.
55,M06734_2.00,15,500,247,27655,3.646521841914462e-05,1.7479918009650415,7.757799435655555,0.0006746065407541754,True,A. thaliana,OMalley2016,BHLH34,bHLH,.
56,M01133_2.00,14,500,224,27655,4.8013267484425894e-05,1.7894684369412004,7.728067711564148,0.0008576162950666419,True,A. thaliana,TF_Evolution,DPBF3,bZIP,.
57,M06798_2.00,41,500,1207,27655,4.775794821746697e-05,0.909810480804263,3.931249545324814,0.0008576162950666419,True,A. thaliana,OMalley2016,AT1G14580,C2H2 ZF,.
58,M06795_2.00,54,500,1760,27655,4.973877306880434e-05,0.7629962255800093,3.283405420554337,0.0008733791338861237,True,A. thaliana,OMalley2016,MGP,C2H2 ZF,.
59,M06772_2.00,20,500,414,27655,5.142006729887483e-05,1.4179095743292376,6.081226091759366,0.0008878531620272387,True,A. thaliana,OMalley2016,BZIP28,bZIP,.
60,M06856_2.00,104,500,4082,27655,5.449925437250585e-05,0.4948476880495735,2.109837273858347,0.0009255938939330501,True,A. thaliana,OMalley2016,DOF4.2,Dof,.
61,M06853_2.00,130,500,5377,27655,6.227918292229105e-05,0.41925049369418727,1.7632238128986244,0.0010406650565724762,True,A. thaliana,OMalley2016,AT3G52440,Dof,.
