,Motif_ID,x,N,n,M,pvalues,FoldEn,SScore,FDR,clasification,speciesOrigin,Bibliography,tf,tffamily,tfsubfamily
0,M00970_2.00,108,500,2832,27655,2.463042760417272e-14,1.0767503890216716,14.65298787011786,2.8680304925722796e-11,True,A. thaliana,Lindemose2014,NAC002,NAC/NAM,.
1,M07176_2.00,112,500,3008,27655,3.5805624126994754e-14,1.0422345073211674,14.013935996138875,2.8680304925722796e-11,True,A. thaliana,OMalley2016,NAC018,NAC/NAM,.
2,M07159_2.00,91,500,2282,27655,3.4296613120023006e-13,1.141180000851215,14.224522006883133,1.8314391406092286e-10,True,A. thaliana,OMalley2016,NAC002,NAC/NAM,.
3,M00722_2.00,156,500,5074,27655,9.710056854911837e-13,0.7659628517395097,9.201341868202977,3.8888777703921905e-10,True,A. thaliana,Chang2013,PIF3,bHLH,.
4,M07312_2.00,99,500,2652,27655,1.3020783870633637e-12,1.0459599969082225,12.431614110553756,4.1718591521510174e-10,True,A. thaliana,OMalley2016,BHLH157,bHLH,.
5,M07199_2.00,98,500,2635,27655,2.140763221590264e-12,1.0405910345318319,12.143105656552647,5.715837801646005e-10,True,A. thaliana,OMalley2016,NAC047,NAC/NAM,.
6,M07181_2.00,107,500,3031,27655,4.097437860756917e-12,0.9653572865580183,10.992994153372,9.377279218475115e-10,True,A. thaliana,OMalley2016,NAC029,NAC/NAM,.
7,M02368_2.00,94,500,2517,27655,5.226785949979942e-12,1.0465677874578585,11.80713213292933,1.0466638864834833e-09,True,A. thaliana,Zoo_01,NAC025,NAC/NAM,.
8,M01160_2.00,140,500,4489,27655,8.308865360668679e-12,0.7865730729706221,8.715590117972816,1.478978034199025e-09,True,C. sativa,TF_Evolution,PK23964.1,bZIP,.
9,M00972_2.00,115,500,3411,27655,9.822592535674195e-12,0.8989794482721717,9.895762481382166,1.573579324215006e-09,True,A. thaliana,Lindemose2014,NAC019,NAC/NAM,.
10,M01900_2.00,106,500,3062,27655,1.6751575851496997e-11,0.9371303240046117,10.098464203139825,2.4396385921907442e-09,True,A. thaliana,Zoo_01,CMTA3,CG-1,.
11,M07160_2.00,164,500,5646,27655,2.037446820723138e-11,0.6840070281095912,7.312660119980228,2.719991505665389e-09,True,A. thaliana,OMalley2016,NAC002,NAC/NAM,.
12,1.ANAC55.1MEME,92,500,2516,27655,2.8040280232588752e-11,1.0161141861189242,10.722258049560724,3.2659689616922953e-09,True,.,.,1.ANAC55.1MEME,.,.
13,M01784_2.00,117,500,3556,27655,2.8541551475463257e-11,0.8637935476948353,9.10829043250241,3.2659689616922953e-09,True,A. thaliana,Zoo_01,TGA2,bZIP,.
14,M07403_2.00,94,500,2601,27655,3.0787687595771505e-11,0.9992066046758467,10.503283056417297,3.2881250352283968e-09,True,A. thaliana,OMalley2016,WRKY47,WRKY,.
15,M07198_2.00,171,500,6025,27655,4.0183952390046986e-11,0.650575425822412,6.763347873663522,4.023418233053454e-09,True,A. thaliana,OMalley2016,NAC047,NAC/NAM,.
16,GBF2-MEME,122,500,3810,27655,5.4131485888103986e-11,0.8246304921234022,8.466110221404165,5.10109649369074e-09,True,.,.,GBF2-MEME,.,.
17,M01844_2.00,111,500,3346,27655,6.446741241568975e-11,0.8756625732529537,8.923579349543543,5.4356207731544725e-09,True,O. tauri,Zoo_01,300010272,bZIP,.
18,M06749_2.00,95,500,2678,27655,6.402420935226645e-11,0.9723837999478379,9.912145738842288,5.4356207731544725e-09,True,A. thaliana,OMalley2016,TGA9,bZIP,.
19,M07405_2.00,72,500,1784,27655,7.94449348684683e-11,1.158493538463208,11.700708030766975,6.3635392829643116e-09,True,A. thaliana,OMalley2016,WRKY42,WRKY,.
20,M02563_2.00,116,500,3581,27655,9.16391492701219e-11,0.8413026287482482,8.444927600828708,6.990757958606442e-09,True,A. thaliana,Zoo_01,WRKY30,WRKY,.
21,M02569_2.00,110,500,3329,27655,1.0099915482840611e-10,0.8699549953255971,8.695793714143523,7.354574819777572e-09,True,O. tauri,Zoo_01,700010421,WRKY,.
