,Motif_ID,x,N,n,M,pvalues,FoldEn,SScore,FDR,clasification,speciesOrigin,Bibliography,tf,tffamily,tfsubfamily
0,1.GBF3-MEME1,106,500,3666,27655,2.2646870362727988e-07,0.677397820964514,4.501302969663796,0.00017924997892099204,True,.,.,1.GBF3-MEME1,.,.
1,GBF2-MEME,105,500,3601,27655,1.759211791931671e-07,0.6895320704170428,4.657569776606925,0.00017924997892099204,True,.,.,GBF2-MEME,.,.
2,1.ANAC55.1MEME,87,500,2889,27655,6.237305025361832e-07,0.7360574442253132,4.567238662071725,0.00032912179517159267,True,.,.,1.ANAC55.1MEME,.,.
3,M01058_2.00,103,500,3655,27655,1.076827939354092e-06,0.6403132732846192,3.821295927384398,0.0004261546569993819,True,A. thaliana,Stam_Arabidopsis,DPBF3,bZIP,.
4,M06781_2.00,107,500,3881,27655,1.7246692958723424e-06,0.6087227055568993,3.508248019029588,0.0005460302990731836,True,A. thaliana,OMalley2016,BZIP11,bZIP,.
5,M08404_2.00,86,500,3074,27655,1.1191147448379188e-05,0.629831741952527,3.118375924095195,0.0011244585880311843,True,A. thaliana,JASPAR,PIF1,bHLH,.
6,M06767_2.00,101,500,3741,27655,8.021226498175311e-06,0.5784716691421691,2.9477523416335623,0.0011244585880311843,True,A. thaliana,OMalley2016,ABI5,bZIP,.
7,M01132_2.00,90,500,3197,27655,5.564536372800183e-06,0.6388185044903549,3.3567171971956933,0.0011244585880311843,True,A. thaliana,TF_Evolution,HYH,bZIP,.
8,M01057_2.00,96,500,3468,27655,5.2140823926000376e-06,0.6145427544405219,3.246520050956518,0.0011244585880311843,True,A. thaliana,Stam_Arabidopsis,ABF4,bZIP,.
9,M06727_2.00,72,500,2446,27655,1.2075676561295093e-05,0.7031847498561261,3.4583248511720943,0.0011244585880311843,True,A. thaliana,OMalley2016,BIM2,bHLH,.
10,M06728_2.00,73,500,2487,27655,1.1529248573747509e-05,0.6991022036043111,3.452305800784311,0.0011244585880311843,True,A. thaliana,OMalley2016,BIM2,bHLH,.
11,M06762_2.00,100,500,3662,27655,5.6862136125869054e-06,0.5949085509185882,3.1204005468337317,0.0011244585880311843,True,A. thaliana,OMalley2016,BZIP2,bZIP,.
12,M01164_2.00,88,500,3159,27655,1.0331078532368364e-05,0.6236478338316246,3.109417257147749,0.0011244585880311843,True,C. sativa,TF_Evolution,PK27149.1,bZIP,.
13,M07344_2.00,70,500,2321,27655,7.4933565174515895e-06,0.7382206465416847,3.783619704777959,0.0011244585880311843,True,A. thaliana,OMalley2016,BEH3,BES1,.
14,M07343_2.00,72,500,2401,27655,6.713571368511324e-06,0.7299737501530964,3.776188072996572,0.0011244585880311843,True,A. thaliana,OMalley2016,BEH3,BES1,.
15,M07207_2.00,102,500,3794,27655,8.537091793746732e-06,0.5723898155012205,2.9012665619053455,0.0011244585880311843,True,A. thaliana,OMalley2016,NAC055,NAC/NAM,.
16,M07199_2.00,90,500,3264,27655,1.188230414933258e-05,0.6088961912993794,2.998874227007599,0.0011244585880311843,True,A. thaliana,OMalley2016,NAC047,NAC/NAM,.
17,M01162_2.00,94,500,3467,27655,1.4222070820446201e-05,0.5845851674160044,2.833506031445324,0.0011994087363319434,True,C. sativa,TF_Evolution,PK24978.1,bZIP,.
18,M06791_2.00,95,500,3515,27655,1.4395935559258956e-05,0.5800150713122508,2.8082938331895138,0.0011994087363319434,True,A. thaliana,OMalley2016,AtbZIP3,bZIP,.
19,M01827_2.00,92,500,3380,27655,1.5233810454786688e-05,0.5902228618286668,2.843216524998018,0.0012057560974963663,True,Oryza sativa,Zoo_01,OS02G0728001,bZIP,.
20,M01776_2.00,83,500,2986,27655,1.9665653921199256e-05,0.6205094181535841,2.9202982672660083,0.0014824157217742104,True,A. thaliana,Zoo_01,ABI5,bZIP,.
21,M06774_2.00,77,500,2721,27655,2.2033421569847828e-05,0.6463337363864232,3.0099232471965505,0.0015854048338667778,True,A. thaliana,OMalley2016,TGA6,bZIP,.
22,M07347_2.00,61,500,2012,27655,2.398673375144529e-05,0.7457911846985598,3.445576815809026,0.0016509130229799085,True,A. thaliana,OMalley2016,BEH2,BES1,.
