,Motif_ID,x,N,n,M,pvalues,FoldEn,SScore,FDR,clasification,speciesOrigin,Bibliography,tf,tffamily,tfsubfamily
0,M06806_2.00,59,499,1738,27655,1.2390345335573078e-06,0.9117873988134682,5.385852111769471,0.0012303612918224066,True,A. thaliana,OMalley2016,SGR5,C2H2 ZF,.
1,M07334_2.00,95,499,3384,27655,3.118625403140276e-06,0.637698471477025,3.5111912434975,0.0015483975126591469,True,A. thaliana,OMalley2016,AtIDD11,C2H2 ZF,.
2,M06703_2.00,203,499,8818,27655,6.1740449353832135e-06,0.35145687183545565,1.8308900470572163,0.0020436088736118436,True,A. thaliana,OMalley2016,REM19,B3,REM
3,M06738_2.00,13,499,168,27655,9.896617991386919e-06,2.1004790116283587,10.511874925611027,0.0024568354163618028,True,A. thaliana,OMalley2016,LRL2,bHLH,.
4,M06861_2.00,242,499,11347,27655,0.00011228782528993156,0.2411966559654758,0.9526465519763632,0.022300362102580407,True,A. thaliana,OMalley2016,DOF4.7,Dof,.
5,M06863_2.00,218,499,10136,27655,0.00018202137044043444,0.25334023190214394,0.9474614635743118,0.028842040872518154,True,A. thaliana,OMalley2016,DOF5.1,Dof,.
6,M06854_2.00,254,499,12124,27655,0.00021881955995407847,0.2154632662538637,0.7885769944117393,0.028842040872518154,True,A. thaliana,OMalley2016,OBP3,Dof,.
7,M06702_2.00,238,499,11262,27655,0.00023236286704949167,0.22799904402194002,0.8285105125033868,0.028842040872518154,True,A. thaliana,OMalley2016,REM19,B3,REM
8,M06837_2.00,256,499,12300,27655,0.0003083865876983437,0.20598602115206227,0.7231972524062077,0.03402532017605059,True,A. thaliana,OMalley2016,CDF5,Dof,.
9,M06805_2.00,57,499,2072,27655,0.0004021728259860453,0.6084384427442148,2.066005835116074,0.0361343354702516,True,A. thaliana,OMalley2016,SGR5,C2H2 ZF,.
10,M07312_2.00,10,499,158,27655,0.0004730577654715718,1.8105040629762865,6.020081394040357,0.0361343354702516,True,A. thaliana,OMalley2016,BHLH157,bHLH,.
11,M06727_2.00,12,499,218,27655,0.0004679327288421754,1.6091348922102566,5.358124039803826,0.0361343354702516,True,A. thaliana,OMalley2016,BIM2,bHLH,.
12,M06856_2.00,99,499,4082,27655,0.00037370395784750587,0.42665286931291757,1.4623408923831294,0.0361343354702516,True,A. thaliana,OMalley2016,DOF4.2,Dof,.
13,M06847_2.00,118,499,5083,27655,0.0005202096565877962,0.3635352501794238,1.1937849033780599,0.03689772778512011,True,A. thaliana,OMalley2016,DOF3.2,Dof,.
