,Motif_ID,x,N,n,M,pvalues,FoldEn,SScore,FDR,clasification,speciesOrigin,Bibliography,tf,tffamily,tfsubfamily
0,M01901_2.00,121,500,3394,27655,5.4273294305563226e-14,0.9795608246731315,12.994279697831566,8.700009077181785e-11,True,A. thaliana,Zoo_01,CMTA2,CG-1,.
1,M01900_2.00,130,500,3836,27655,1.9296011478484977e-13,0.9064492449515242,11.525078340296554,1.5465753200005708e-10,True,A. thaliana,Zoo_01,CMTA3,CG-1,.
2,M01160_2.00,169,500,5640,27655,6.14550413885954e-13,0.7288684259372291,8.900534862103044,3.283747711530614e-10,True,C. sativa,TF_Evolution,PK23964.1,bZIP,.
3,M01156_2.00,161,500,5310,27655,1.1043198626483646e-12,0.7458891693643016,8.918526025442876,3.991082731658046e-10,True,C. sativa,TF_Evolution,PK09653.1,bZIP,.
4,M01133_2.00,162,500,5370,27655,1.373809159106715e-12,0.7386120669530503,8.761470694530422,3.991082731658046e-10,True,A. thaliana,TF_Evolution,DPBF3,bZIP,.
5,M01783_2.00,175,500,5979,27655,1.4938550461602167e-12,0.694991053213315,8.218749819436235,3.991082731658046e-10,True,A. thaliana,Zoo_01,GBF1,bZIP,.
6,M06828_2.00,70,500,1606,27655,5.185581699468215e-12,1.2694952763688525,14.326511290718358,1.1874982091782213e-09,True,A. thaliana,OMalley2016,EICBP.B,CG-1,.
7,M01779_2.00,172,500,5938,27655,6.289009391877185e-12,0.6799718136566429,7.616648347552102,1.260160256897391e-09,True,A. thaliana,Zoo_01,GBF3,bZIP,.
8,M01770_2.00,173,500,6011,27655,9.052606378804808e-12,0.6707073598563064,7.406773198228953,1.6123697805804564e-09,True,A. thaliana,Zoo_01,BZIP68,bZIP,.
9,M00722_2.00,180,500,6402,27655,2.0039335884722582e-11,0.6370145717252941,6.814856212208109,2.9202777657463908e-09,True,A. thaliana,Chang2013,PIF3,bHLH,.
10,M01318_2.00,80,500,2029,27655,1.9396339413619424e-11,1.1248433820719037,12.049637517806893,2.9202777657463908e-09,True,C. sativa,TF_Evolution,PK19717.1,TCP,.
11,GBF2-MEME,145,500,4781,27655,2.362893497569933e-11,0.7462808366084404,7.930394992118022,3.156431897170502e-09,True,.,.,GBF2-MEME,.,.
12,M07160_2.00,194,500,7132,27655,3.927168526573384e-11,0.5892902915033331,6.13210790208934,4.8425008831516425e-09,True,A. thaliana,OMalley2016,NAC002,NAC/NAM,.
13,M01154_2.00,140,500,4600,27655,4.6887532789974064e-11,0.7513333080544295,7.760478626731482,5.36862250445203e-09,True,C. sativa,TF_Evolution,PK05128.1,bZIP,.
14,M02502_2.00,104,500,3046,27655,5.943382633779764e-11,0.9172079285950003,9.379337376206237,6.067612969238133e-09,True,A. thaliana,Zoo_01,TCP20,TCP,.
15,1.FD-MEME,124,500,3908,27655,6.434773579354227e-11,0.8114499953596905,8.269865630790274,6.067612969238133e-09,True,.,.,1.FD-MEME,.,.
16,1.ABF3-MEME,149,500,5030,27655,6.309320879967256e-11,0.7122942727104725,7.265413964631576,6.067612969238133e-09,True,.,.,1.ABF3-MEME,.,.
17,1.FDP-MEME,137,500,4490,27655,6.876427326216676e-11,0.7550007902732181,7.672799073852672,6.123840557736296e-09,True,.,.,1.FDP-MEME,.,.
18,M06770_2.00,141,500,4689,27655,9.021120120329029e-11,0.7339552256191734,7.372389071191946,7.230427776443717e-09,True,A. thaliana,OMalley2016,GBF3,bZIP,.
19,M01846_2.00,144,500,4858,27655,1.4406355464821705e-10,0.7132466637476478,7.019378435778653,1.0996851338147235e-08,True,O. tauri,Zoo_01,1500010105,bZIP,.
20,1.ABF4-MEME,141,500,4729,27655,1.6194929671942584e-10,0.7217003628821893,7.065894680632439,1.1800214665510892e-08,True,.,.,1.ABF4-MEME,.,.
21,M01058_2.00,155,500,5383,27655,1.8052779552141764e-10,0.6713981321960073,6.541738106570376,1.2240136055945189e-08,True,A. thaliana,Stam_Arabidopsis,DPBF3,bZIP,.
22,M02565_2.00,143,500,4829,27655,1.8325843128052685e-10,0.7118310255469344,6.931053163749845,1.2240136055945189e-08,True,A. thaliana,Zoo_01,WRKY48,WRKY,.
23,M02511_2.00,94,500,2694,27655,1.9376095386619837e-10,0.9485231531565348,9.2127528292365,1.2423952361900639e-08,True,G. max,Zoo_01,GLYMA19G26560,TCP,.
24,M01781_2.00,159,500,5600,27655,2.6775157454921073e-10,0.6511402803932271,6.2328892477458835,1.650791438470711e-08,True,A. thaliana,Zoo_01,GBF2,bZIP,.
25,M00731_2.00,153,500,5333,27655,3.247530376282669e-10,0.6661246669508581,6.320488449872635,1.928070812289303e-08,True,A. thaliana,Chang2013,WRKY14,WRKY,.
26,M06755_2.00,100,500,2974,27655,3.392043939827448e-10,0.8951356946635067,8.476521950748516,1.941945155551214e-08,True,A. thaliana,OMalley2016,ABF2,bZIP,.
27,M00970_2.00,116,500,3668,27655,3.8225336737594e-10,0.8066715084737182,7.596948867034234,2.0425071596787726e-08,True,A. thaliana,Lindemose2014,NAC002,NAC/NAM,.
28,M01709_2.00,161,500,5721,27655,3.7911286625554435e-10,0.6383336860219051,6.013889415148409,2.0425071596787726e-08,True,A. thaliana,Zoo_01,SPT,bHLH,.
29,M07198_2.00,199,500,7581,27655,4.450368825133244e-10,0.5379206078189182,5.030420505229647,2.2458436042537593e-08,True,A. thaliana,OMalley2016,NAC047,NAC/NAM,.
30,M01057_2.00,113,500,3547,27655,4.4832810565265313e-10,0.8172637844211995,7.640112059447954,2.2458436042537593e-08,True,A. thaliana,Stam_Arabidopsis,ABF4,bZIP,.
31,M01059_2.00,171,500,6222,27655,5.127078078539628e-10,0.6041582722927166,5.612708931731957,2.4905170181512194e-08,True,A. thaliana,Stam_Arabidopsis,DPBF3,bZIP,.
32,M01778_2.00,146,500,5046,27655,5.487970678276857e-10,0.6783685048449173,6.282091383219245,2.5874167639052356e-08,True,A. thaliana,Zoo_01,BZIP17,bZIP,.
33,1.GBF3-MEME1,136,500,4589,27655,5.719355166631973e-10,0.7129671867792674,6.589708260255464,2.619464666317444e-08,True,.,.,1.GBF3-MEME1,.,.
34,M01311_2.00,116,500,3701,27655,6.446320929169993e-10,0.7937500117685522,7.295108769277055,2.870403458183194e-08,True,A. thaliana,TF_Evolution,TCP8,TCP,.
35,M01162_2.00,141,500,4847,27655,8.515228973551522e-10,0.6861434221735938,6.223186128174672,3.6891654174602944e-08,True,C. sativa,TF_Evolution,PK24978.1,bZIP,.
36,ASCMAC-MYB44-DREME,148,500,5180,27655,9.493284480375955e-10,0.6601854199962338,5.956578080469823,3.8313326718797623e-08,True,.,.,ASCMAC-MYB44-DREME,.,.
37,M01773_2.00,158,500,5651,27655,9.560405918602027e-10,0.6289587112675372,5.672907982425883,3.8313326718797623e-08,True,A. thaliana,Zoo_01,ABF1,bZIP,.
38,1.PIF1.MEME1,152,500,5367,27655,9.452541280551993e-10,0.6474957776117215,5.843294187988056,3.8313326718797623e-08,True,.,.,1.PIF1.MEME1,.,.
39,M02553_2.00,154,500,5466,27655,1.0069445346323365e-09,0.639985233112895,5.757943591014529,3.9369075341844764e-08,True,A. thaliana,Zoo_01,WRKY21,WRKY,.
40,M06771_2.00,107,500,3342,27655,1.1013072283565738e-09,0.8244394052811594,7.385403637209329,4.20332258822759e-08,True,A. thaliana,OMalley2016,GBF3,bZIP,.
41,M02549_2.00,154,500,5477,27655,1.1595352697977847e-09,0.6370848126075646,5.692808976825425,4.224397812467838e-08,True,A. thaliana,Zoo_01,WRKY15,WRKY,.
42,M06764_2.00,108,500,3388,27655,1.1496168948343324e-09,0.8181377797724703,7.313699208406813,4.224397812467838e-08,True,A. thaliana,OMalley2016,BZIP16,bZIP,.
43,M07387_2.00,121,500,3967,27655,1.2708761411215389e-09,0.7544989920705144,6.7119451491548165,4.527143231595171e-08,True,A. thaliana,OMalley2016,WRKY25,WRKY,.
44,M02559_2.00,141,500,4882,27655,1.3674556366022588e-09,0.6757632095588401,5.990023714877035,4.743204254190267e-08,True,A. thaliana,Zoo_01,WRKY11,WRKY,.
45,2.ABF1-MEME,140,500,4837,27655,1.390708670910434e-09,0.6788546314403043,6.012455150701745,4.743204254190267e-08,True,.,.,2.ABF1-MEME,.,.
46,ACGTGKV-ZAT6-DREME,145,500,5078,27655,1.5647507025573308e-09,0.6593328473086293,5.805791547941598,4.918226227841964e-08,True,.,.,ACGTGKV-ZAT6-DREME,.,.
47,M06777_2.00,98,500,2975,27655,1.510879783655715e-09,0.8655043279737407,7.634414688822118,4.918226227841964e-08,True,A. thaliana,OMalley2016,DPBF3,bZIP,.
48,M01090_2.00,141,500,4892,27655,1.5632326180085053e-09,0.6728111008126074,5.924758669798658,4.918226227841964e-08,True,A. thaliana,Stam_Arabidopsis,WRKY53,WRKY,.
49,M06762_2.00,94,500,2816,27655,1.8012718625998257e-09,0.8846256699815407,7.735539051280426,5.5296996777837834e-08,True,A. thaliana,OMalley2016,BZIP2,bZIP,.
50,M01700_2.00,160,500,5798,27655,1.8282849839210264e-09,0.6100569137671662,5.3306505356802205,5.5296996777837834e-08,True,A. thaliana,Zoo_01,BPE,bHLH,.
51,M06735_2.00,110,500,3515,27655,2.154215741885399e-09,0.7915191765059626,6.859867799259392,6.021132028058086e-08,True,A. thaliana,OMalley2016,BHLH34,bHLH,.
