,Motif_ID,x,N,n,M,pvalues,FoldEn,SScore,FDR,clasification,speciesOrigin,Bibliography,tf,tffamily,tfsubfamily
0,M06899_2.00,191,235,16634,27655,1.6084164072453944e-12,0.43431708639343036,5.122162643895442,2.5461231726694596e-09,True,A. thaliana,OMalley2016,ATHB-15,Homeodomain,HD-ZIP
1,M06898_2.00,191,235,17140,27655,6.401365862697156e-11,0.39108511407417423,3.9866150237088465,4.146977904297995e-08,True,A. thaliana,OMalley2016,ATHB-9,Homeodomain,HD-ZIP
2,M06909_2.00,178,235,15415,27655,7.859086363167395e-11,0.44242193701014787,4.470509065431614,4.146977904297995e-08,True,A. thaliana,OMalley2016,ATHB-6,Homeodomain,HD-ZIP
3,M06928_2.00,187,235,16908,27655,5.666663132945061e-10,0.3802118378951319,3.5156943852447538,2.0671566876062232e-07,True,A. thaliana,OMalley2016,ATHB-51,Homeodomain,HD-ZIP
4,M06916_2.00,173,235,15080,27655,6.529237800398684e-10,0.4330151945189856,3.9773041071926256,2.0671566876062232e-07,True,A. thaliana,OMalley2016,WOX11,Homeodomain,HD-WOX
5,M06834_2.00,206,235,19690,27655,8.081357615551771e-10,0.3000608114325904,2.728307631237912,2.1321315175697422e-07,True,A. thaliana,OMalley2016,DOF1.7,Dof,.
6,M06864_2.00,206,235,19756,27655,1.2689643929334528e-09,0.2952330488430621,2.6265557471997423,2.8696723343052223e-07,True,A. thaliana,OMalley2016,DOF5.1,Dof,.
7,M02683_2.00,165,235,14195,27655,1.485535530937052e-09,0.45196276067234986,3.9899801111124438,2.939503431841692e-07,True,A. thaliana,JASPAR,HAT5,Homeodomain,HD-ZIP
8,M08143_2.00,199,235,18758,27655,1.6775515560280617e-09,0.3201420018198243,2.8093498316188077,2.950626792436024e-07,True,A. thaliana,JASPAR,SEP3,MADS box,.
9,M06837_2.00,171,235,15021,27655,2.3355214187926173e-09,0.4218950491192746,3.6416361176820207,3.697130405948713e-07,True,A. thaliana,OMalley2016,CDF5,Dof,.
10,M06706_2.00,137,235,10965,27655,2.855771009029539e-09,0.5561496664378587,4.751896591915869,4.1097140975397823e-07,True,A. thaliana,OMalley2016,FUS3,B3,FUS
11,M00889_2.00,171,235,15076,27655,3.309677040388e-09,0.416622210259829,3.5330456596336393,4.3660156291118366e-07,True,A. thaliana,Franco_Zorrilla2014,YAB5,YABBY,.
12,M06932_2.00,182,235,16685,27655,1.0010744254172774e-08,0.3602663491673023,2.88196277716885,1.0741137912822241e-06,True,A. thaliana,OMalley2016,ATHB-5,Homeodomain,HD-ZIP
13,M01757_2.00,60,235,3380,27655,1.0177957592693217e-08,1.0628188394772595,8.494408846474046,1.0741137912822241e-06,True,P. patens,Zoo_01,fgenesh1_pg.scaffold_37000071,bHLH,.
14,M01672_2.00,198,235,18879,27655,9.323198815023768e-09,0.3035976668246896,2.438021346119021,1.0741137912822241e-06,True,A. thaliana,Zoo_01,AHL13,AT hook,.
15,M01061_2.00,170,235,15170,27655,1.2976089017107488e-08,0.3991932460415939,3.148379721084122,1.227995992833336e-06,True,A. thaliana,Stam_Arabidopsis,IDD2,C2H2 ZF,.
16,M07009_2.00,193,235,18227,27655,1.318757541261321e-08,0.3174033064476192,2.5010856971816557,1.227995992833336e-06,True,A. thaliana,OMalley2016,RVE7,Myb/SANT,MYB-related
17,M06739_2.00,82,235,5458,27655,1.9473935113617425e-08,0.8221311003822309,6.339079898858535,1.4784429627902194e-06,True,A. thaliana,OMalley2016,BIM1,bHLH,.
18,M06865_2.00,217,235,21912,27655,2.0601991683654875e-08,0.22085345677738907,1.6974997206229798,1.4784429627902194e-06,True,A. thaliana,OMalley2016,DOF5.4,Dof,.
19,M06908_2.00,193,235,18285,27655,1.8839332831105142e-08,0.3128198060776376,2.416512506374176,1.4784429627902194e-06,True,A. thaliana,OMalley2016,ATHB-21,Homeodomain,HD-ZIP
20,GATATTW-CCA1-DREME2,170,235,15254,27655,2.148085163877135e-08,0.39122672675611525,2.9999063943154125,1.4784429627902194e-06,True,.,.,GATATTW-CCA1-DREME2,.,.
21,M07128_2.00,186,235,17330,27655,1.9446125704614873e-08,0.3369105520987871,2.5979735013739247,1.4784429627902194e-06,True,A. thaliana,OMalley2016,RVE1,Myb/SANT,MYB-related
22,M06712_2.00,211,235,20940,27655,1.9834411712760348e-08,0.2458611419273021,1.8937652808234993,1.4784429627902194e-06,True,A. thaliana,OMalley2016,AT5G60130,B3,REM
23,M06924_2.00,195,235,18612,27655,2.5071239465408232e-08,0.3021206170306513,2.2963656957269065,1.4840846189876226e-06,True,A. thaliana,OMalley2016,HB-5,Homeodomain,HD-ZIP
24,M06797_2.00,204,235,19925,27655,2.7348729860836095e-08,0.2688690132445871,2.0334732424987707,1.4840846189876226e-06,True,A. thaliana,OMalley2016,AT1G14580,C2H2 ZF,.
25,M06927_2.00,189,235,17795,27655,2.7471845045751323e-08,0.32179388686221266,2.4331196747657753,1.4840846189876226e-06,True,A. thaliana,OMalley2016,ATHB-51,Homeodomain,HD-ZIP
26,M07137_2.00,161,235,14174,27655,2.813760862424765e-08,0.4186933194540815,3.16143301292833,1.4840846189876226e-06,True,A. thaliana,OMalley2016,KUA1,Myb/SANT,MYB-related
27,M06998_2.00,186,235,17397,27655,2.9062933157685598e-08,0.3313436624927713,2.4972247119003286,1.4840846189876226e-06,True,A. thaliana,OMalley2016,LHY,Myb/SANT,MYB-related
28,M10624_2.00,158,235,13802,27655,2.747338101318224e-08,0.4299268055743999,3.250714363565623,1.4840846189876226e-06,True,A. thaliana,Transfac,HAT5,Homeodomain,HD-ZIP
29,M07057_2.00,199,235,19196,27655,2.7484844405242774e-08,0.28684229786574295,2.168787856733297,1.4840846189876226e-06,True,A. thaliana,OMalley2016,AT2G40260,Myb/SANT,G2-like
30,M06854_2.00,161,235,14141,27655,2.3129423159057945e-08,0.4220561277115455,3.22275103562522,1.4840846189876226e-06,True,A. thaliana,OMalley2016,OBP3,Dof,.
31,M06697_2.00,195,235,18643,27655,3.027394963407973e-08,0.29971967452147485,2.2535715268725283,1.4976144459608816e-06,True,A. thaliana,OMalley2016,HMGB15,HMGBox,.
32,1.PIF1.MEME1,95,235,6809,27655,3.283450228921677e-08,0.7153641655176737,5.353549031540357,1.5750611249645498e-06,True,.,.,1.PIF1.MEME1,.,.
33,2.FBH3-MEME,77,235,5068,27655,4.016861118472243e-08,0.8383215065923797,6.200320746990061,1.8702032795710474e-06,True,.,.,2.FBH3-MEME,.,.
34,M07069_2.00,184,235,17239,27655,5.573807097910097e-08,0.32890926255294783,2.385857817967128,2.15203332585163e-06,True,A. thaliana,OMalley2016,RVE8,Myb/SANT,MYB-related
35,M07012_2.00,151,235,13076,27655,5.5676630222273275e-08,0.4425068525961006,3.2100894340865835,2.15203332585163e-06,True,A. thaliana,OMalley2016,AT1G19000,Myb/SANT,MYB-related
36,M07138_2.00,189,235,17899,27655,5.0982188073615435e-08,0.31338683196010775,2.2853990222609624,2.15203332585163e-06,True,A. thaliana,OMalley2016,RVE6,Myb/SANT,MYB-related
37,M06980_2.00,183,235,17089,27655,5.059136554297438e-08,0.3336552567267211,2.4343232611896335,2.15203332585163e-06,True,A. thaliana,OMalley2016,AT5G47660,Trihelix,MADF
38,M06922_2.00,181,235,16817,27655,4.86242394599026e-08,0.34094891771294883,2.4934096155809358,2.15203332585163e-06,True,A. thaliana,OMalley2016,HAT1,Homeodomain,HD-ZIP
39,M06913_2.00,182,235,16961,27655,5.204193120366602e-08,0.33659680372803363,2.4516521636131445,2.15203332585163e-06,True,A. thaliana,OMalley2016,ATHB-20,Homeodomain,HD-ZIP
40,1.PIF4.MEME,86,235,5978,27655,5.458645927539405e-08,0.759553348062291,5.516571461972568,2.15203332585163e-06,True,.,.,1.PIF4.MEME,.,.
41,M07117_2.00,189,235,17922,27655,5.836056220427269e-08,0.3115341762274137,2.253601012798532,2.1996373802229443e-06,True,A. thaliana,OMalley2016,RVE4,Myb/SANT,MYB-related
42,M06915_2.00,189,235,17945,27655,6.676852270590248e-08,0.30968389655592093,2.222114574556579,2.4021493509873553e-06,True,A. thaliana,OMalley2016,HAT5,Homeodomain,HD-ZIP
43,M07136_2.00,167,235,15069,27655,6.66630021435871e-08,0.3831440071193545,2.7494855072028943,2.4021493509873553e-06,True,A. thaliana,OMalley2016,KUA1,Myb/SANT,MYB-related
44,M06709_2.00,201,235,19638,27655,6.997730069820714e-08,0.2684270784512969,1.9206072387530666,2.4616459334502644e-06,True,A. thaliana,OMalley2016,AT4G33280,AP2,B3
45,M06903_2.00,160,235,14213,27655,7.231103502648075e-08,0.40574038770848364,2.8973091031230735,2.4884427923243268e-06,True,A. thaliana,OMalley2016,ATHB-X,Homeodomain,HD-ZIP
46,M06910_2.00,173,235,15857,27655,7.746937211637869e-08,0.3605317710315905,2.5636945416761345,2.604761245939214e-06,True,A. thaliana,OMalley2016,ATHB-6,Homeodomain,HD-ZIP
47,M06720_2.00,81,235,5542,27655,8.227293891153548e-08,0.7823947824414956,5.543065949354952,2.604761245939214e-06,True,A. thaliana,OMalley2016,BHLH74,bHLH,.
48,M06906_2.00,165,235,14854,27655,8.167791124699349e-08,0.38649412631173474,2.73942993112725,2.604761245939214e-06,True,A. thaliana,OMalley2016,WUS,Homeodomain,HD-WOX
49,M07008_2.00,180,235,16772,27655,8.026145742411205e-08,0.33682175652157265,2.3899164016392875,2.604761245939214e-06,True,A. thaliana,OMalley2016,RVE7,Myb/SANT,MYB-related
50,M07038_2.00,154,235,13510,27655,8.501970110168278e-08,0.42378226152014215,2.9963441850436383,2.6389448400777223e-06,True,A. thaliana,OMalley2016,AT1G74840,Myb/SANT,MYB-related
51,M07364_2.00,198,235,19243,27655,8.672605398600751e-08,0.2760462815473401,1.9493975474768583,2.6401412203817285e-06,True,A. thaliana,OMalley2016,AT5G63260,C3H,.
52,M06740_2.00,75,235,4988,27655,9.88713145648041e-08,0.8233087157044987,5.767219667950246,2.914979682645581e-06,True,A. thaliana,OMalley2016,BIM1,bHLH,.
53,M07100_2.00,196,235,18983,27655,9.943708329934387e-08,0.281025231275176,1.9678655868350885,2.914979682645581e-06,True,A. thaliana,OMalley2016,RVE5,Myb/SANT,MYB-related
54,M06933_2.00,169,235,15399,27655,1.0370167645476581e-07,0.36906616538874637,2.5776371614229334,2.984722796870805e-06,True,A. thaliana,OMalley2016,ATHB-5,Homeodomain,HD-ZIP
55,M07129_2.00,178,235,16565,27655,1.0970030458074436e-07,0.3386186230363087,2.356715240077552,3.1009925384163983e-06,True,A. thaliana,OMalley2016,RVE1,Myb/SANT,MYB-related
56,M07055_2.00,199,235,19452,27655,1.2837206605670357e-07,0.267729519343239,1.8450658722967428,3.565140009960733e-06,True,A. thaliana,OMalley2016,AT2G38090,Myb/SANT,MYB
57,M06838_2.00,183,235,17256,27655,1.3195659048809272e-07,0.31962515216187637,2.198883261054107,3.6015048748732895e-06,True,A. thaliana,OMalley2016,CDF5,Dof,.
58,M00890_2.00,193,235,18622,27655,1.3938802864500175e-07,0.2864724063086011,1.9639902250172627,3.739851683814199e-06,True,A. thaliana,Franco_Zorrilla2014,YAB1,YABBY,.
59,M07317_2.00,141,235,12063,27655,1.4698231856421008e-07,0.45998600591556454,3.142962438959235,3.8778835047857425e-06,True,A. thaliana,OMalley2016,ZHD5,Homeodomain,HD-ZF
60,1.PIF3.MEME,92,235,6730,27655,1.6292383352487737e-07,0.6859069415976212,4.655946868615222,4.1566770882419645e-06,True,.,.,1.PIF3.MEME,.,.
61,M02040_2.00,145,235,12553,27655,1.6542682031537826e-07,0.4429002951999106,3.0034814389201863,4.1566770882419645e-06,True,A. thaliana,Zoo_01,ATHB-6,Homeodomain,HD-ZIP
62,M06914_2.00,190,235,18236,27655,1.6257111747954228e-07,0.2940896895044708,1.9965621412028107,4.1566770882419645e-06,True,A. thaliana,OMalley2016,HAT5,Homeodomain,HD-ZIP
63,M07150_2.00,141,235,12088,27655,1.694638975570968e-07,0.4569991822722522,3.0943061870921755,4.191583591138817e-06,True,A. thaliana,OMalley2016,AT5G61620,Myb/SANT,MYB-related
64,M02684_2.00,132,235,11060,27655,1.7911797636253814e-07,0.49006612927467197,3.306407969737838,4.2768194926328686e-06,True,A. thaliana,JASPAR,ATHB-5,Homeodomain,HD-ZIP
65,M07284_2.00,80,235,5547,27655,1.7945365388327187e-07,0.763171859800298,5.148393765316435,4.2768194926328686e-06,True,A. thaliana,OMalley2016,TCP13,TCP,.
66,M01902_2.00,196,235,19086,27655,1.810151017096666e-07,0.2732184618928265,1.8421167896215331,4.2768194926328686e-06,True,A. thaliana,Zoo_01,CSP4,CSD,.
67,M06990_2.00,196,235,19112,27655,2.1018641966804005e-07,0.27125448069716374,1.8112734074106827,4.822102932384165e-06,True,A. thaliana,OMalley2016,FLC,MADS box,.
68,M06727_2.00,75,235,5082,27655,2.0793057581365602e-07,0.796373805480814,5.321434787172731,4.822102932384165e-06,True,A. thaliana,OMalley2016,BIM2,bHLH,.
69,M01703_2.00,56,235,3336,27655,2.1942657182229988e-07,0.9821871236512284,6.540099990169295,4.962175188495724e-06,True,A. thaliana,Zoo_01,PIF1,bHLH,.
70,M06795_2.00,187,235,17900,27655,2.4266154460072584e-07,0.2979582678869435,1.970993656728539,5.335183681985403e-06,True,A. thaliana,OMalley2016,MGP,C2H2 ZF,.
71,M02046_2.00,158,235,14183,27655,2.414274097248617e-07,0.3906414187506913,2.5849576405726857,5.335183681985403e-06,True,A. thaliana,Zoo_01,ANL2,Homeodomain,HD-GL2
72,M06835_2.00,208,235,20884,27655,2.515775313499397e-07,0.2290650498314519,1.5116754312555591,5.419814138566322e-06,True,A. thaliana,OMalley2016,DOF1.8,Dof,.
73,M02050_2.00,167,235,15308,27655,2.533583362311483e-07,0.3604418818438445,2.37757009822111,5.419814138566322e-06,True,A. thaliana,Zoo_01,ATHB-16,Homeodomain,HD-ZIP
74,M01079_2.00,180,235,16990,27655,2.722009269948832e-07,0.3181906392963797,2.08895667526453,5.745254232438669e-06,True,A. thaliana,Stam_Arabidopsis,RVE5,Myb/SANT,MYB-related
75,M07139_2.00,184,235,17526,27655,2.832675989078515e-07,0.3050885875449657,1.9976599989016226,5.900165908830643e-06,True,A. thaliana,OMalley2016,RVE6,Myb/SANT,MYB-related
76,M06818_2.00,205,235,20463,27655,2.9333885055281654e-07,0.23748582655594078,1.5514071334842552,6.030589615910501e-06,True,A. thaliana,OMalley2016,JKD,C2H2 ZF,.
