,Motif_ID,x,N,n,M,pvalues,FoldEn,SScore,FDR,clasification,speciesOrigin,Bibliography,tf,tffamily,tfsubfamily
0,M07263_2.00,4,235,44,27655,0.0004932093067275702,3.4193041564009907,11.307531947438333,0.16917079220755657,True,A. thaliana,OMalley2016,SPL15,SBP,.
1,M07149_2.00,9,235,251,27655,0.0002539040604217713,2.0771172225298282,7.467922598674095,0.16917079220755657,True,A. thaliana,OMalley2016,AT5G61620,Myb/SANT,MYB-related
2,M06797_2.00,15,235,888,27655,0.005273645033896256,0.9912105042967004,2.2578676091710554,0.22941657997185544,True,A. thaliana,OMalley2016,AT1G14580,C2H2 ZF,.
3,M06818_2.00,18,235,1119,27655,0.004036160882314373,0.9206664555042062,2.2041045240209662,0.22941657997185544,True,A. thaliana,OMalley2016,JKD,C2H2 ZF,.
4,M06708_2.00,9,235,451,27655,0.010031939176908086,1.231677153225219,2.4616485685958516,0.22941657997185544,True,A. thaliana,OMalley2016,ARF16,B3,ARF
5,M07261_2.00,2,235,21,27655,0.012856634622199164,3.4864183522595273,6.592373277166857,0.22941657997185544,True,A. thaliana,OMalley2016,SPL5,SBP,.
6,M07341_2.00,9,235,420,27655,0.006802903115497516,1.3344152588144775,2.892085815359336,0.22941657997185544,True,A. thaliana,OMalley2016,AT4G12670,Unknown,.
7,M07327_2.00,13,235,766,27655,0.00827566164712195,0.9979749112544228,2.0779806396364275,0.22941657997185544,True,A. thaliana,OMalley2016,ZHD6,Homeodomain,HD-ZF
8,M06803_2.00,11,235,619,27655,0.010379505752648016,1.0643717944613205,2.1115255934574444,0.22941657997185544,True,A. thaliana,OMalley2016,IDD7,C2H2 ZF,.
9,M07264_2.00,3,235,36,27655,0.0032752430415028417,3.2937732743171315,8.184224445432582,0.22941657997185544,True,A. thaliana,OMalley2016,SPL15,SBP,.
10,M07136_2.00,7,235,197,27655,0.0012376269414695002,2.0640388776395158,6.001007779341451,0.22941657997185544,True,A. thaliana,OMalley2016,KUA1,Myb/SANT,MYB-related
11,M06855_2.00,29,235,4720,27655,0.010389467324345725,-0.4678543740833438,-0.9279455088227175,0.22941657997185544,True,A. thaliana,OMalley2016,OBP3,Dof,.
12,M06837_2.00,72,235,7019,27655,0.010770347829380768,0.271610988041769,0.5344680275170143,0.22941657997185544,True,A. thaliana,OMalley2016,CDF5,Dof,.
13,M07144_2.00,5,235,163,27655,0.010187745490379327,1.8519357156945726,3.688911333726937,0.22941657997185544,True,A. thaliana,OMalley2016,AT5G56840,Myb/SANT,MYB-related
14,M07366_2.00,8,235,394,27655,0.013122756216875609,1.2566839555819116,2.3650477106997627,0.22941657997185544,True,A. thaliana,OMalley2016,ZHD1,Homeodomain,HD-ZF
15,M06854_2.00,74,235,6962,27655,0.005160281758095028,0.322903041943555,0.7385847121121364,0.22941657997185544,True,A. thaliana,OMalley2016,OBP3,Dof,.
16,M06702_2.00,70,235,6378,27655,0.003320525258749135,0.3691304097309932,0.9149979539094295,0.22941657997185544,True,A. thaliana,OMalley2016,REM19,B3,REM
17,M01826_2.00,6,235,182,27655,0.0037779860726297747,1.9559036355607475,4.738645284401394,0.22941657997185544,True,Oryza sativa,Zoo_01,OS02G0728001,bZIP,.
18,M06704_2.00,37,235,3178,27655,0.010530586920868432,0.4542857313187187,0.8983715771816343,0.22941657997185544,True,A. thaliana,OMalley2016,VRN1,B3,REM
19,M06807_2.00,14,235,868,27655,0.009305854301568934,0.9245394646514128,1.8779650104430279,0.22941657997185544,True,A. thaliana,OMalley2016,IDD5,C2H2 ZF,.
20,M06778_2.00,6,235,210,27655,0.0071314141780207466,1.7494527580933212,3.7557677625451147,0.22941657997185544,True,A. thaliana,OMalley2016,DPBF3,bZIP,.
21,M06829_2.00,39,235,3376,27655,0.010040337515921547,0.44303880519335104,0.8853030401964609,0.22941657997185544,True,A. thaliana,OMalley2016,DOF1.5,Dof,.
22,M08407_2.00,5,235,176,27655,0.013466803341951017,1.741232251288353,3.257384954730295,0.22941657997185544,True,A. thaliana,JASPAR,HY5,bZIP,.
23,M07055_2.00,7,235,298,27655,0.010009348715691676,1.4669221766337304,2.9332490470585175,0.22941657997185544,True,A. thaliana,OMalley2016,AT2G38090,Myb/SANT,MYB
24,M07326_2.00,11,235,545,27655,0.004673523908364726,1.2480549740112965,2.9084118119870337,0.22941657997185544,True,A. thaliana,OMalley2016,ZHD6,Homeodomain,HD-ZF
25,M09540_2.00,3,235,60,27655,0.01281931509966934,2.5568076801509254,4.837825753314176,0.22941657997185544,True,A. thaliana,HOMER,FHY3,FAR1,.
26,M06719_2.00,41,235,3512,27655,0.0076644835933830585,0.45821065012101336,0.9693524662355668,0.22941657997185544,True,A. thaliana,OMalley2016,BPC6,BBR,.
27,M07093_2.00,14,235,744,27655,0.0029439139916962163,1.1469318859878608,2.9029704883745473,0.22941657997185544,True,A. thaliana,OMalley2016,TRP2,Myb/SANT,MYB-related
28,M06777_2.00,6,235,203,27655,0.00615482754966883,1.7983623585742678,3.975790928036972,0.22941657997185544,True,A. thaliana,OMalley2016,DPBF3,bZIP,.
29,M06822_2.00,12,235,713,27655,0.011144446787835776,0.9859400093155559,1.9254831460101651,0.22941657997185544,True,A. thaliana,OMalley2016,NUC,C2H2 ZF,.
30,M01710_2.00,2,235,15,27655,0.006763298311245168,3.9718451794297693,8.618274329397986,0.22941657997185544,True,A. thaliana,Zoo_01,BIM1,bHLH,.
31,M06728_2.00,4,235,112,27655,0.012735714304591915,2.071380852980684,3.925218436361713,0.22941657997185544,True,A. thaliana,OMalley2016,BIM2,bHLH,.
32,M06695_2.00,18,235,1292,27655,0.013147228568645785,0.7132704217866752,1.341779914099379,0.22941657997185544,True,A. thaliana,OMalley2016,ARID3,ARID/BRIGHT,.
33,M06705_2.00,78,235,7376,27655,0.004735746989416839,0.31551505347119824,0.7334499242939314,0.22941657997185544,True,A. thaliana,OMalley2016,VRN1,B3,REM
34,1.PIF1.MEME1,4,235,109,27655,0.01169971910120363,2.110551450261361,4.0772151375514785,0.22941657997185544,True,.,.,1.PIF1.MEME1,.,.
35,1.FDP-MEME,7,235,218,27655,0.0021330577605150757,1.9179063723189655,5.122722903689383,0.22941657997185544,True,.,.,1.FDP-MEME,.,.
36,M06895_2.00,4,235,101,27655,0.009184850461915956,2.220524292286493,4.523047905851365,0.22941657997185544,True,A. thaliana,OMalley2016,GATA12,GATA,.
37,M01161_2.00,5,235,142,27655,0.006041602544680852,2.050916750420968,4.550672219731656,0.22941657997185544,True,C. sativa,TF_Evolution,PK24205.1,bZIP,.
38,M06795_2.00,13,235,828,27655,0.013711486558084653,0.8856885356800547,1.6499628638773502,0.22941657997185544,True,A. thaliana,OMalley2016,MGP,C2H2 ZF,.
39,M07318_2.00,9,235,470,27655,0.012451895326881946,1.1721438299156004,2.2326580015264734,0.22941657997185544,True,A. thaliana,OMalley2016,ZHD5,Homeodomain,HD-ZF
40,M07334_2.00,24,235,1658,27655,0.0037689939627902087,0.7684699842636935,1.862597996603922,0.22941657997185544,True,A. thaliana,OMalley2016,AtIDD11,C2H2 ZF,.
