,Motif_ID,x,N,n,M,pvalues,FoldEn,SScore,FDR,clasification,speciesOrigin,Bibliography,tf,tffamily,tfsubfamily
0,M06929_2.00,63,235,3004,27655,4.60039339014252e-12,1.3033466010239325,14.776307639942376,7.314625490326607e-09,True,A. thaliana,OMalley2016,HAT2,Homeodomain,HD-ZIP
1,M02050_2.00,66,235,3309,27655,1.1105684247041257e-11,1.2309503180842025,13.484389470812815,8.8290189763978e-09,True,A. thaliana,Zoo_01,ATHB-16,Homeodomain,HD-ZIP
2,M06909_2.00,70,235,3705,27655,2.510781401483571e-11,1.152760964790058,12.219486515970184,1.3307141427862926e-08,True,A. thaliana,OMalley2016,ATHB-6,Homeodomain,HD-ZIP
3,M06933_2.00,59,235,2852,27655,4.551676313062376e-11,1.283620557956241,13.274983836122995,1.8092913344422946e-08,True,A. thaliana,OMalley2016,ATHB-5,Homeodomain,HD-ZIP
4,M01128_2.00,89,235,5544,27655,1.1254009211249338e-10,0.9177576638674719,9.130489001832245,2.7559406974216e-08,True,C. sativa,TF_Evolution,PK20225.1,bHLH,.
5,M06932_2.00,61,235,3086,27655,1.2133072252799497e-10,1.2179507660304392,12.07723537979932,2.7559406974216e-08,True,A. thaliana,OMalley2016,ATHB-5,Homeodomain,HD-ZIP
6,M06926_2.00,53,235,2440,27655,9.845669845820275e-11,1.3539907971512384,13.549053815782369,2.7559406974216e-08,True,A. thaliana,OMalley2016,HAT22,Homeodomain,HD-ZIP
7,M06911_2.00,48,235,2126,27655,2.522987146211187e-10,1.4097723942283393,13.531115216976243,5.014436953094735e-08,True,A. thaliana,OMalley2016,ATHB-7,Homeodomain,HD-ZIP
8,M01250_2.00,60,235,3118,27655,5.066286277190932e-10,1.1792211579490215,10.961226544175974,8.95043908970398e-08,True,C. sativa,TF_Evolution,PK20392.1,Homeodomain,HD-ZIP
9,M02047_2.00,59,235,3045,27655,5.669097612502618e-10,1.1891523116064342,10.995480278562933,9.013865203879163e-08,True,A. thaliana,Zoo_01,HAT1,Homeodomain,HD-ZIP
10,M00722_2.00,97,235,6623,27655,1.6482044328846909e-09,0.7853794743322092,6.897979222742978,2.3824045893515078e-07,True,A. thaliana,Chang2013,PIF3,bHLH,.
11,M10630_2.00,56,235,2897,27655,1.8830867170659596e-09,1.1857467278254887,10.345793967971334,2.4950899001123966e-07,True,A. thaliana,Transfac,ATHB-5,Homeodomain,HD-ZIP
12,M06798_2.00,55,235,2858,27655,3.1724586274926695e-09,1.1793052874671313,10.022448672083272,3.880160936702573e-07,True,A. thaliana,OMalley2016,AT1G14580,C2H2 ZF,.
13,M01251_2.00,57,235,3048,27655,4.264831252612413e-09,1.1379786017097075,9.524992586598433,4.645899180270819e-07,True,C. sativa,TF_Evolution,PK20392.1,Homeodomain,HD-ZIP
14,M06910_2.00,50,235,2481,27655,4.3829237549724705e-09,1.2458859449205817,10.413408861677686,4.645899180270819e-07,True,A. thaliana,OMalley2016,ATHB-6,Homeodomain,HD-ZIP
15,M06923_2.00,36,235,1454,27655,5.712063177729297e-09,1.5428492225610058,12.718025507861299,5.676362782868489e-07,True,A. thaliana,OMalley2016,HAT1,Homeodomain,HD-ZIP
16,AATVATTG-HB6-DREME,37,235,1545,27655,8.150216252739813e-09,1.4947980178755007,12.0911683481311,7.622849318739002e-07,True,.,.,AATVATTG-HB6-DREME,.,.
17,M01700_2.00,89,235,6048,27655,9.406198049016963e-09,0.7922267817836128,6.358876301494319,8.308808276631651e-07,True,A. thaliana,Zoo_01,BPE,bHLH,.
18,M02040_2.00,48,235,2402,27655,1.2223445067260626e-08,1.2336778400538098,9.761853877320803,1.0229093503654943e-06,True,A. thaliana,Zoo_01,ATHB-6,Homeodomain,HD-ZIP
19,M02220_2.00,45,235,2174,27655,1.3517874201023133e-08,1.2844526463406534,10.107475529237329,1.074670998981339e-06,True,P. patens,Zoo_01,estExt_gwp_gw1.C_70211,Homeodomain,HD-ZIP
20,M06901_2.00,50,235,2581,27655,1.539129350986035e-08,1.188877538719043,9.288373125792095,1.165340794317998e-06,True,A. thaliana,OMalley2016,ATHB-13,Homeodomain,HD-ZIP
21,M07349_2.00,78,235,5074,27655,1.905540424858585e-08,0.8552301898365969,6.602361529004361,1.3173083806631088e-06,True,A. thaliana,OMalley2016,FRS9,FAR1,.
22,M06803_2.00,51,235,2678,27655,1.8547812288235245e-08,1.164220871685473,9.001415021735804,1.3173083806631088e-06,True,A. thaliana,OMalley2016,IDD7,C2H2 ZF,.
23,M06922_2.00,39,235,1755,27655,2.2638541453854727e-08,1.386882678708613,10.602928270670878,1.4398112364651607e-06,True,A. thaliana,OMalley2016,HAT1,Homeodomain,HD-ZIP
