,Motif_ID,x,N,n,M,pvalues,FoldEn,SScore,FDR,clasification,speciesOrigin,Bibliography,tf,tffamily,tfsubfamily
0,BACGTG-RD26-DREME,186,499,7129,27655,3.322318081621883e-09,0.5320315217540437,4.510860535411407,1.450262311013083e-06,True,.,.,BACGTG-RD26-DREME,.,.
1,1.PIF1.MEME1,176,499,6684,27655,5.7186363564473126e-09,0.5452923168421364,4.494685080096957,1.450262311013083e-06,True,.,.,1.PIF1.MEME1,.,.
2,M01768_2.00,171,499,6408,27655,4.016777536965437e-09,0.5645507987432147,4.740037505834638,1.450262311013083e-06,True,C. sativa,Zoo_01,PK18474.1,bHLH,.
3,M06752_2.00,137,499,4823,27655,6.308281258171951e-09,0.6546737044646581,5.368382610919253,1.450262311013083e-06,True,A. thaliana,OMalley2016,BZIP68,bZIP,.
4,M01779_2.00,189,499,7308,27655,4.6040536086289355e-09,0.519338221859611,4.329649855191908,1.450262311013083e-06,True,A. thaliana,Zoo_01,GBF3,bZIP,.
5,M06755_2.00,114,499,3772,27655,6.336976390194495e-09,0.7441327697556722,6.1004881878452535,1.450262311013083e-06,True,A. thaliana,OMalley2016,ABF2,bZIP,.
6,M07356_2.00,103,499,3348,27655,1.6368501274047242e-08,0.7697734308989017,5.993449069263015,1.7191735583595786e-06,True,A. thaliana,OMalley2016,BMY2,BES1,.
7,M06765_2.00,120,499,4129,27655,2.0663055261379186e-08,0.6876706086983684,5.2846148503483015,1.7191735583595786e-06,True,A. thaliana,OMalley2016,BZIP16,bZIP,.
8,M01161_2.00,166,499,6278,27655,1.4542452102338913e-08,0.5513068340308368,4.320791428707629,1.7191735583595786e-06,True,C. sativa,TF_Evolution,PK24205.1,bZIP,.
9,M06737_2.00,110,499,3678,27655,2.1313129059524362e-08,0.7290106653787488,5.592497998309277,1.7191735583595786e-06,True,A. thaliana,OMalley2016,BHLH104,bHLH,.
10,M01710_2.00,182,499,7069,27655,1.4901582627552585e-08,0.5128609299051421,4.014043311922469,1.7191735583595786e-06,True,A. thaliana,Zoo_01,BIM1,bHLH,.
11,M01158_2.00,170,499,6447,27655,1.0828981489041762e-08,0.5473353842547892,4.359752050497602,1.7191735583595786e-06,True,C. sativa,TF_Evolution,PK18009.1,bZIP,.
12,M01832_2.00,177,499,6809,27655,1.3114535614481335e-08,0.5267350484974626,4.151855799618717,1.7191735583595786e-06,True,P. patens,Zoo_01,estExt_Genewise1.C_2060077,bZIP,.
13,M06777_2.00,113,499,3759,27655,9.996234021403365e-09,0.7364024786381982,5.891340293635541,1.7191735583595786e-06,True,A. thaliana,OMalley2016,DPBF3,bZIP,.
14,M01058_2.00,173,499,6619,27655,1.4199329734281158e-08,0.5345873884342662,4.195298638186816,1.7191735583595786e-06,True,A. thaliana,Stam_Arabidopsis,DPBF3,bZIP,.
15,M01156_2.00,172,499,6607,27655,2.122655010246204e-08,0.5288418415908502,4.057867220858242,1.7191735583595786e-06,True,C. sativa,TF_Evolution,PK09653.1,bZIP,.
16,M01827_2.00,152,499,5629,27655,2.0187460231812376e-08,0.5816212968417954,4.475528369962323,1.7191735583595786e-06,True,Oryza sativa,Zoo_01,OS02G0728001,bZIP,.
17,GBF2-MEME,158,499,5902,27655,1.6775707530039188e-08,0.5691492590111226,4.425317135088672,1.7191735583595786e-06,True,.,.,GBF2-MEME,.,.
18,ACGTGB-ANAC102-DREME,183,499,7196,27655,3.316666454107658e-08,0.49507708329858713,3.7028291388710093,1.8976070212430243e-06,True,.,.,ACGTGB-ANAC102-DREME,.,.
19,M01056_2.00,157,499,5906,27655,3.019707455025013e-08,0.5590118240236996,4.203788554094219,1.8976070212430243e-06,True,A. thaliana,Stam_Arabidopsis,ABF4,bZIP,.
20,1.FDP-MEME,151,499,5624,27655,3.298171472272906e-08,0.5733805765185708,4.289876808215195,1.8976070212430243e-06,True,.,.,1.FDP-MEME,.,.
21,M06778_2.00,117,499,4016,27655,2.8423438565975143e-08,0.6911778818986598,5.215851812562505,1.8976070212430243e-06,True,A. thaliana,OMalley2016,DPBF3,bZIP,.
22,M01776_2.00,169,499,6478,27655,2.5933163298110232e-08,0.5319033997530247,4.035096053358463,1.8976070212430243e-06,True,A. thaliana,Zoo_01,ABI5,bZIP,.
23,1.ABF3-MEME,164,499,6244,27655,2.9256940124888595e-08,0.5416538989062019,4.080696488204863,1.8976070212430243e-06,True,.,.,1.ABF3-MEME,.,.
24,M01771_2.00,168,499,6443,27655,3.0179481753789224e-08,0.5311572596233562,3.994455683713934,1.8976070212430243e-06,True,A. thaliana,Zoo_01,ABF2,bZIP,.
25,M01126_2.00,149,499,5528,27655,3.3037132016196794e-08,0.5789833363399302,4.331372985043528,1.8976070212430243e-06,True,C. sativa,TF_Evolution,PK18401.1,bHLH,.
26,M01703_2.00,153,499,5727,27655,3.550833634899418e-08,0.5661806708335848,4.217858974059335,1.9615294769340927e-06,True,A. thaliana,Zoo_01,PIF1,bHLH,.
27,M01770_2.00,187,499,7408,27655,3.7210027580365005e-08,0.4843827928934273,3.5986444624666634,1.9870154727914913e-06,True,A. thaliana,Zoo_01,BZIP68,bZIP,.
28,M01154_2.00,154,499,5783,27655,3.867071236031326e-08,0.5615408701774395,4.162487865222748,1.9984026193942533e-06,True,C. sativa,TF_Evolution,PK05128.1,bZIP,.
29,M01133_2.00,171,499,6640,27655,5.0570449319821585e-08,0.5132417049176379,3.7446644392752577,2.531683119073568e-06,True,A. thaliana,TF_Evolution,DPBF3,bZIP,.
30,M01059_2.00,191,499,7649,27655,5.488579373555556e-08,0.46873011174850365,3.4032337493780904,2.6252641927355535e-06,True,A. thaliana,Stam_Arabidopsis,DPBF3,bZIP,.
31,ACGTGKV-ZAT6-DREME,163,499,6259,27655,5.801859136295602e-08,0.5293684095532253,3.83073893258668,2.6252641927355535e-06,True,.,.,ACGTGKV-ZAT6-DREME,.,.
32,M01714_2.00,155,499,5870,27655,5.8994700960349515e-08,0.5493363335428499,3.9712550788424053,2.6252641927355535e-06,True,A. thaliana,Zoo_01,ILR3,bHLH,.
33,M01132_2.00,183,499,7262,27655,6.437420616335162e-08,0.4819053397498622,3.465520141556789,2.787229142532143e-06,True,A. thaliana,TF_Evolution,HYH,bZIP,.
34,M08431_2.00,129,499,4640,27655,6.753391250620206e-08,0.6236748816743465,4.472047073803402,2.847087574603571e-06,True,A. thaliana,JASPAR,BZR2,BES1,.
35,2.ABF1-MEME,157,499,5998,27655,8.191216473780225e-08,0.5367116582889137,3.8034885301144703,3.364699689998954e-06,True,.,.,2.ABF1-MEME,.,.
36,M01769_2.00,162,499,6250,27655,8.829595408896894e-08,0.5225662447138401,3.686213224187207,3.5362529612632065e-06,True,O. tauri,Zoo_01,fgenesh1_pg.C_Chr_14.0001000151,bHLH,.
37,M01707_2.00,153,499,5817,27655,9.492505676224837e-08,0.54368497013073,3.818092474376547,3.7090229495883386e-06,True,A. thaliana,Zoo_01,MYC4,bHLH,.
38,M06763_2.00,104,499,3519,27655,9.785624609135876e-08,0.7118466356574547,4.989625957502097,3.7325168151989693e-06,True,A. thaliana,OMalley2016,BZIP2,bZIP,.
39,M01846_2.00,158,499,6067,27655,1.0125619577699776e-07,0.5293698684102134,3.702719043596003,3.7723819915058236e-06,True,O. tauri,Zoo_01,1500010105,bZIP,.
40,M06734_2.00,132,499,4825,27655,1.1283774499812157e-07,0.6004376085816753,4.17156766652032,4.0797151351387944e-06,True,A. thaliana,OMalley2016,BHLH34,bHLH,.
41,M01772_2.00,171,499,6729,27655,1.2478529439563103e-07,0.49403282534449633,3.410721897287433,4.0797151351387944e-06,True,A. thaliana,Zoo_01,ABF1,bZIP,.
42,M06727_2.00,132,499,4833,27655,1.2371533471818355e-07,0.5980475561967553,4.131059224448041,4.0797151351387944e-06,True,A. thaliana,OMalley2016,BIM2,bHLH,.
43,M01699_2.00,153,499,5842,27655,1.2377301421219242e-07,0.5374979161294998,3.7126991484863416,4.0797151351387944e-06,True,A. thaliana,Zoo_01,MYC2,bHLH,.
44,M06764_2.00,120,499,4264,27655,1.1512228327559905e-07,0.6412555891153697,4.4495703202028825,4.0797151351387944e-06,True,A. thaliana,OMalley2016,BZIP16,bZIP,.
45,2.FBH3-MEME,145,499,5455,27655,1.2471112665699572e-07,0.5589023250699919,3.858714634704529,4.0797151351387944e-06,True,.,.,2.FBH3-MEME,.,.
46,M01845_2.00,173,499,6837,27655,1.3556630482327585e-07,0.4878372339162983,3.350392089090134,4.343544406537758e-06,True,O. tauri,Zoo_01,300010311,bZIP,.
47,M01709_2.00,177,499,7050,27655,1.5387357354156648e-07,0.47655472417550615,3.246689161815605,4.83344048654097e-06,True,A. thaliana,Zoo_01,SPT,bHLH,.
48,M06781_2.00,139,499,5191,27655,1.62866138105937e-07,0.569501016597706,3.865869261106206,5.017529870109828e-06,True,A. thaliana,OMalley2016,BZIP11,bZIP,.
49,M01783_2.00,183,499,7365,27655,1.7452311884801962e-07,0.46158674462685784,3.1194710893530355,5.275208233859009e-06,True,A. thaliana,Zoo_01,GBF1,bZIP,.
50,M01712_2.00,161,499,6271,27655,1.811241025978178e-07,0.5087937901353147,3.430299818614748,5.373348377068595e-06,True,A. thaliana,Zoo_01,MYC3,bHLH,.
51,M07198_2.00,218,499,9176,27655,1.9666302432609625e-07,0.3968913650271284,2.661663546469173,5.728257544916476e-06,True,A. thaliana,OMalley2016,NAC047,NAC/NAM,.
52,M01826_2.00,166,499,6538,27655,2.201805090776735e-07,0.4927624858456856,3.2804288320955246,6.188231149867245e-06,True,Oryza sativa,Zoo_01,OS02G0728001,bZIP,.
53,M01700_2.00,178,499,7136,27655,2.1683405538530558e-07,0.46719024731211994,3.113296244896052,6.188231149867245e-06,True,A. thaliana,Zoo_01,BPE,bHLH,.
54,M06762_2.00,104,499,3586,27655,2.3672563852629215e-07,0.6846366615387443,4.536234580269638,6.4277029308325425e-06,True,A. thaliana,OMalley2016,BZIP2,bZIP,.
55,1.ABF4-MEME,153,499,5904,27655,2.3561289060498924e-07,0.5222675528982825,3.461485384596374,6.4277029308325425e-06,True,.,.,1.ABF4-MEME,.,.
56,M01118_2.00,162,499,6350,27655,2.434652414989329e-07,0.4996658426037612,3.304571545200787,6.500521948021508e-06,True,C. sativa,TF_Evolution,PK01630.1,bHLH,.
57,M01757_2.00,155,499,6009,27655,2.5299622199611006e-07,0.5155719150064004,3.4011691295974433,6.644261436684726e-06,True,P. patens,Zoo_01,fgenesh1_pg.scaffold_37000071,bHLH,.
58,M07160_2.00,207,499,8648,27655,2.889215927968991e-07,0.4076928660307021,2.6659933432346756,7.465361155816652e-06,True,A. thaliana,OMalley2016,NAC002,NAC/NAM,.
59,M06772_2.00,137,499,5151,27655,2.9908734077212564e-07,0.5597519745032633,3.6519349339879783,7.605363808205481e-06,True,A. thaliana,OMalley2016,BZIP28,bZIP,.
60,M08404_2.00,139,499,5252,27655,3.147710528683171e-07,0.5526465880966475,3.5933109969064665,7.879112917110062e-06,True,A. thaliana,JASPAR,PIF1,bHLH,.
61,1.GBF3-MEME1,148,499,5692,27655,3.274611809449602e-07,0.5270901353684945,3.4180952863610123,8.070658644212711e-06,True,.,.,1.GBF3-MEME1,.,.
62,M01781_2.00,173,499,6932,27655,3.383995320617679e-07,0.4679290047425822,3.027767495409252,8.213879550953821e-06,True,A. thaliana,Zoo_01,GBF2,bZIP,.
63,M06766_2.00,114,499,4077,27655,3.4794397308225907e-07,0.6319544889422214,4.081472178119272,8.319496192205658e-06,True,A. thaliana,OMalley2016,ABI5,bZIP,.
64,M01787_2.00,170,499,6802,27655,4.0966582850022817e-07,0.4700043616958869,3.002185883021466,9.65124495966714e-06,True,A. thaliana,Zoo_01,BZIP63,bZIP,.
65,M01164_2.00,163,499,6468,27655,4.7324977859573306e-07,0.48198090702344293,3.048485656471675,1.083065921871949e-05,True,C. sativa,TF_Evolution,PK27149.1,bZIP,.
66,M00892_2.00,121,499,4431,27655,4.718686342119786e-07,0.597803342054676,3.7818108828045793,1.083065921871949e-05,True,A. thaliana,Franco_Zorrilla2014,TCP15,TCP,.
67,M07343_2.00,106,499,3735,27655,4.871727112750353e-07,0.6533846431526268,4.124371020875643,1.0839592825869534e-05,True,A. thaliana,OMalley2016,BEH3,BES1,.
68,M06834_2.00,180,499,7324,27655,4.865019447484271e-07,0.4457937367983647,2.8142581548788987,1.0839592825869534e-05,True,A. thaliana,OMalley2016,DOF1.7,Dof,.
69,M01217_2.00,177,499,7188,27655,5.609106937967035e-07,0.4485875728390826,2.804168593731567,1.230930043099067e-05,True,C. sativa,TF_Evolution,PK10955.1,Dof,.
70,M06849_2.00,173,499,6996,27655,6.126101143287771e-07,0.45467036998109894,2.8247832753114666,1.2966170516432577e-05,True,A. thaliana,OMalley2016,CDF3,Dof,.
71,M07344_2.00,93,499,3162,27655,6.151241942876878e-07,0.7048938750156875,4.378122073298295,1.2966170516432577e-05,True,A. thaliana,OMalley2016,BEH3,BES1,.
72,M02355_2.00,93,499,3162,27655,6.151241942876878e-07,0.7048938750156875,4.378122073298295,1.2966170516432577e-05,True,C. sativa,Zoo_01,PK23829.1,Myb/SANT,MYB-related
73,M06865_2.00,179,499,7315,27655,7.074912827330783e-07,0.43953034450443434,2.70323420673792,1.4398364333111486e-05,True,A. thaliana,OMalley2016,DOF5.4,Dof,.
74,M01128_2.00,163,499,6511,27655,7.100316993232256e-07,0.4724214473218079,2.904788270097789,1.4398364333111486e-05,True,C. sativa,TF_Evolution,PK20225.1,bHLH,.
75,M06746_2.00,63,499,1871,27655,7.0819370137208e-07,0.9000427965251593,5.535126338254502,1.4398364333111486e-05,True,A. thaliana,OMalley2016,AtbZIP52,bZIP,.
76,M02500_2.00,122,499,4524,27655,7.833175067923622e-07,0.5797108398390928,3.539750426978079,1.5413606018177697e-05,True,A. thaliana,Zoo_01,TCP3,TCP,.
77,M01160_2.00,172,499,6972,27655,7.783100932001897e-07,0.4512646168424398,2.756706653124883,1.5413606018177697e-05,True,C. sativa,TF_Evolution,PK23964.1,bZIP,.
78,M06866_2.00,190,499,7888,27655,7.889611070477972e-07,0.4167684882190633,2.543514913533067,1.5413606018177697e-05,True,A. thaliana,OMalley2016,DOF5.4,Dof,.
79,M00722_2.00,189,499,7839,27655,8.0421088534169e-07,0.4181452304459228,2.5484404879232176,1.5522239015872136e-05,True,A. thaliana,Chang2013,PIF3,bHLH,.
80,M02312_2.00,110,499,3965,27655,8.302747031367419e-07,0.6206112791993459,3.773799533498063,1.5834524695536434e-05,True,A. thaliana,Zoo_01,KUA1,Myb/SANT,MYB-related
81,M01057_2.00,121,499,4490,27655,9.066179897503699e-07,0.5787202239121122,3.496960743368587,1.7087082583295207e-05,True,A. thaliana,Stam_Arabidopsis,ABF4,bZIP,.
82,M00854_2.00,158,499,6312,27655,1.1301189287329235e-06,0.47225597442967143,2.808447649767399,2.080977613597866e-05,True,A. thaliana,Franco_Zorrilla2014,PIF3,bHLH,.
83,1.PIF4.MEME,151,499,5965,27655,1.129777210533452e-06,0.4884550330085156,2.904845593267009,2.080977613597866e-05,True,.,.,1.PIF4.MEME,.,.
84,M06770_2.00,148,499,5831,27655,1.289497919734586e-06,0.49228247447182527,2.899336698056818,2.3474723493350075e-05,True,A. thaliana,OMalley2016,GBF3,bZIP,.
85,M01708_2.00,149,499,5882,27655,1.3105643285960846e-06,0.48943416784112476,2.87911688068454,2.3590157914729524e-05,True,A. thaliana,Zoo_01,BEE2,bHLH,.
86,M01127_2.00,121,499,4527,27655,1.34881591811279e-06,0.5668803622927819,3.327614549931107,2.374508901996362e-05,True,C. sativa,TF_Evolution,PK18474.1,bHLH,.
87,M01125_2.00,121,499,4527,27655,1.34881591811279e-06,0.5668803622927819,3.327614549931107,2.374508901996362e-05,True,C. sativa,TF_Evolution,PK15505.1,bHLH,.
88,M09452_2.00,146,499,5744,27655,1.4375833815052852e-06,0.4943412413229929,2.888122933453438,2.5032701925776814e-05,True,A. thaliana,HOMER,PIF5,bHLH,.
89,M07323_2.00,95,499,3321,27655,1.4662018680040453e-06,0.6648103170942664,3.8783745706431785,2.5256509597230974e-05,True,A. thaliana,OMalley2016,BEH4,BES1,.
90,M01280_2.00,106,499,3834,27655,1.5677800168195639e-06,0.6156425491610755,3.5736294630704686,2.6718974329201505e-05,True,C. sativa,TF_Evolution,PK19621.1,Myb/SANT,MYB-related
91,M01052_2.00,120,499,4501,27655,1.6950857496361918e-06,0.563217462488994,3.250220022536124,2.8584498641233467e-05,True,A. thaliana,Stam_Arabidopsis,BHLH49,bHLH,.
92,2.URI.MEME2,105,499,3798,27655,1.768563372894025e-06,0.6155780437826521,3.5410384418381313,2.9512901285169043e-05,True,.,.,2.URI.MEME2,.,.
93,M06835_2.00,187,499,7837,27655,1.882376218506976e-06,0.40316539447398614,2.3082402416647514,3.1088316515960574e-05,True,A. thaliana,OMalley2016,DOF1.8,Dof,.
94,M07084_2.00,114,499,4227,27655,1.9019907769816616e-06,0.5798283333999761,3.317077055299544,3.10917267829043e-05,True,A. thaliana,OMalley2016,MYB15,Myb/SANT,R2R3-MYB
95,M01773_2.00,170,499,6979,27655,2.0184121864934767e-06,0.43294303594792877,2.465606321060394,3.266157901780353e-05,True,A. thaliana,Zoo_01,ABF1,bZIP,.
96,1.FD-MEME,128,499,4905,27655,2.086686788009039e-06,0.5323192951594257,3.0238625041302893,3.341563688856358e-05,True,.,.,1.FD-MEME,.,.
97,M02511_2.00,97,499,3444,27655,2.1389570505506295e-06,0.6424001310563108,3.642278937027157,3.341563688856358e-05,True,G. max,Zoo_01,GLYMA19G26560,TCP,.
98,M01086_2.00,83,499,2809,27655,2.148446067117384e-06,0.7115552384865534,4.033006534442068,3.341563688856358e-05,True,A. thaliana,Stam_Arabidopsis,TCP9,TCP,.
99,M01701_2.00,142,499,5588,27655,2.111208516705633e-06,0.49398753036124593,2.8036108511394495,3.341563688856358e-05,True,A. thaliana,Zoo_01,BIM2,bHLH,.
100,M06767_2.00,98,499,3495,27655,2.2664272845322504e-06,0.6359898201184365,3.5899451597184817,3.4911697209814084e-05,True,A. thaliana,OMalley2016,ABI5,bZIP,.
