,Motif_ID,x,N,n,M,pvalues,FoldEn,SScore,FDR,clasification,speciesOrigin,Bibliography,tf,tffamily,tfsubfamily
0,M01280_2.00,97,499,3175,27655,6.289561875057145e-08,0.7597286819062642,5.471094636007017,3.8081953399937906e-05,True,C. sativa,TF_Evolution,PK19621.1,Myb/SANT,MYB-related
1,M02515_2.00,54,499,1395,27655,7.217047391017923e-08,1.1011948117129453,7.864337402820477,3.8081953399937906e-05,True,V. vinifera,Zoo_01,VIT_15s0048g01150,TCP,.
2,M01269_2.00,100,499,3259,27655,3.10427086028593e-08,0.7659992693021878,5.751153454007637,3.8081953399937906e-05,True,A. thaliana,TF_Evolution,AT1G49010,Myb/SANT,MYB-related
3,M02307_2.00,96,499,3203,27655,1.7497032683316676e-07,0.7321111342124995,4.946900994792886,6.924450684422575e-05,True,A. thaliana,Zoo_01,SRM1,Myb/SANT,MYB-related
4,M00892_2.00,48,499,1229,27655,2.965271172026296e-07,1.1140500166145217,7.272446746425831,7.57019315233061e-05,True,A. thaliana,Franco_Zorrilla2014,TCP15,TCP,.
5,M07281_2.00,59,499,1666,27655,3.347526978288962e-07,0.9728270802623206,6.299323761551584,7.57019315233061e-05,True,A. thaliana,OMalley2016,TCP9,TCP,.
6,M02516_2.00,50,499,1308,27655,3.133776618954052e-07,1.0830660805426693,7.044188100398043,7.57019315233061e-05,True,Manihot esculenta,Zoo_01,cassava45561.m1,TCP,.
7,M02365_2.00,95,499,3228,27655,4.488007599630095e-07,0.7057874613191943,4.480300985787372,7.893906700238267e-05,True,O. tauri,Zoo_01,estExt_fgenesh1_pg.C_Chr_03.00010215,Myb/SANT,MYB-related
8,M06776_2.00,88,499,2915,27655,4.4581787813703403e-07,0.7425081668154655,4.715552436872387,7.893906700238267e-05,True,A. thaliana,OMalley2016,ATBZIP42,bZIP,.
9,M06756_2.00,93,499,3155,27655,5.609536345929724e-07,0.7080912375041469,4.426330040164174,8.879896035606752e-05,True,A. thaliana,OMalley2016,BZIP44,bZIP,.
10,M07145_2.00,213,499,9055,27655,6.486259027445523e-07,0.38256741065433486,2.367329322298305,9.334316400405693e-05,True,A. thaliana,OMalley2016,AT5G56840,Myb/SANT,MYB-related
11,M06761_2.00,94,499,3218,27655,7.094410910961234e-07,0.694996957220218,4.273594433833912,9.358710393376362e-05,True,A. thaliana,OMalley2016,AtbZIP48,bZIP,.
12,M01075_2.00,110,499,3981,27655,9.981921094294157e-07,0.6148012736993371,3.689290794532384,0.00012154908532513578,True,A. thaliana,Stam_Arabidopsis,AT3G11280,Myb/SANT,MYB-related
13,M07284_2.00,77,499,2500,27655,1.1779272625982738e-06,0.771430877411479,4.573722278095327,0.00012666358597883547,True,A. thaliana,OMalley2016,TCP13,TCP,.
14,M02358_2.00,101,499,3583,27655,1.2513022322585077e-06,0.6436158708070857,3.799031355267884,0.00012666358597883547,True,C. sativa,Zoo_01,PK29550.1,Myb/SANT,MYB-related
15,M01285_2.00,95,499,3310,27655,1.2802383927109082e-06,0.6695968229023946,3.945739327142855,0.00012666358597883547,True,C. sativa,TF_Evolution,PK27693.1,Myb/SANT,MYB-related
16,M07137_2.00,190,499,7958,27655,1.4292380148219056e-06,0.4040221409032373,2.361467169414971,0.0001330872810272398,True,A. thaliana,OMalley2016,KUA1,Myb/SANT,MYB-related
17,M07294_2.00,53,499,1526,27655,2.2502325318391395e-06,0.9447379239946957,5.3356649622304735,0.00019789544988340878,True,A. thaliana,OMalley2016,TCP7,TCP,.
18,M02504_2.00,53,499,1547,27655,3.274865121468721e-06,0.9250196893801905,5.07355408092893,0.00027284797301499925,True,A. thaliana,Zoo_01,TCP19,TCP,.
19,M06775_2.00,87,499,3033,27655,3.7340515266334685e-06,0.6687704294905845,3.6299653075946683,0.0002801568676593765,True,A. thaliana,OMalley2016,ATBZIP42,bZIP,.
20,M07146_2.00,198,499,8485,27655,3.5650672950196e-06,0.3710143919156108,2.021261277569945,0.0002801568676593765,True,A. thaliana,OMalley2016,AT5G58900,Myb/SANT,MYB-related
