,Motif_ID,x,N,n,M,pvalues,FoldEn,SScore,FDR,clasification,speciesOrigin,Bibliography,tf,tffamily,tfsubfamily
0,M06737_2.00,90,500,3134,27655,2.619925884510783e-06,0.667532068798295,3.725971087479532,0.004194501341101764,True,A. thaliana,OMalley2016,BHLH104,bHLH,.
1,M06752_2.00,108,500,4076,27655,8.368197099218162e-06,0.5514176029388552,2.7997501465315966,0.004787510888246962,True,A. thaliana,OMalley2016,BZIP68,bZIP,.
2,1.FD-MEME,106,500,4181,27655,5.551886736321705e-05,0.487756563460262,2.0756770297527756,0.004787510888246962,True,.,.,1.FD-MEME,.,.
3,M06778_2.00,90,500,3385,27655,4.2073396490274595e-05,0.556381414808516,2.4347208577006465,0.004787510888246962,True,A. thaliana,OMalley2016,DPBF3,bZIP,.
4,M06765_2.00,91,500,3492,27655,7.459225556951116e-05,0.5274252335104567,2.1768454680384535,0.004787510888246962,True,A. thaliana,OMalley2016,BZIP16,bZIP,.
5,M07356_2.00,77,500,2817,27655,6.368587608601146e-05,0.5963111292611712,2.5020957809718536,0.004787510888246962,True,A. thaliana,OMalley2016,BMY2,BES1,.
6,M01280_2.00,87,500,3271,27655,5.525079731898843e-05,0.5568958887071505,2.3710741571986897,0.004787510888246962,True,C. sativa,TF_Evolution,PK19621.1,Myb/SANT,MYB-related
7,M02365_2.00,65,500,2281,27655,7.475813379523676e-05,0.6563855186575177,2.7084708375047146,0.004787510888246962,True,O. tauri,Zoo_01,estExt_fgenesh1_pg.C_Chr_03.00010215,Myb/SANT,MYB-related
8,M06772_2.00,109,500,4350,27655,6.76517478625086e-05,0.47085307609467386,1.9633259491419977,0.004787510888246962,True,A. thaliana,OMalley2016,BZIP28,bZIP,.
9,M06770_2.00,121,500,4939,27655,6.707075904396155e-05,0.43832842083735085,1.829349102522003,0.004787510888246962,True,A. thaliana,OMalley2016,GBF3,bZIP,.
10,M01768_2.00,133,500,5427,27655,2.82781717922821e-05,0.43881167909999313,1.9959562799971309,0.004787510888246962,True,C. sativa,Zoo_01,PK18474.1,bHLH,.
11,M02355_2.00,74,500,2686,27655,6.926392116865639e-05,0.607678213142708,2.5276332287385057,0.004787510888246962,True,C. sativa,Zoo_01,PK23829.1,Myb/SANT,MYB-related
12,M06781_2.00,111,500,4384,27655,3.915470039934187e-05,0.4858522203307798,2.1412557251273627,0.004787510888246962,True,A. thaliana,OMalley2016,BZIP11,bZIP,.
13,M01700_2.00,144,500,6048,27655,4.8900235089037934e-05,0.3971510141624401,1.7119945291340488,0.004787510888246962,True,A. thaliana,Zoo_01,BPE,bHLH,.
14,M02304_2.00,83,500,3102,27655,6.690920776142453e-05,0.5655248972520345,2.3607916644665,0.004787510888246962,True,A. thaliana,Zoo_01,AT5G04760,Myb/SANT,MYB-related
15,M01164_2.00,135,500,5466,27655,1.7165020228627474e-05,0.45001428946882455,2.1444781505952526,0.004787510888246962,True,C. sativa,TF_Evolution,PK27149.1,bZIP,.
16,M06780_2.00,65,500,2239,27655,4.5352819324636364e-05,0.6831974371170575,2.9673968175719008,0.004787510888246962,True,A. thaliana,OMalley2016,BZIP53,bZIP,.
17,M06762_2.00,81,500,3009,27655,6.744395109507932e-05,0.5742500484924885,2.395229681756456,0.004787510888246962,True,A. thaliana,OMalley2016,BZIP2,bZIP,.
18,M06766_2.00,91,500,3445,27655,4.766511139754899e-05,0.546974809548243,2.363915396969027,0.004787510888246962,True,A. thaliana,OMalley2016,ABI5,bZIP,.
19,M01827_2.00,121,500,4746,27655,1.2873099248444922e-05,0.49583528902184704,2.424791684808386,0.004787510888246962,True,Oryza sativa,Zoo_01,OS02G0728001,bZIP,.
20,M06782_2.00,67,500,2260,27655,1.927264775001646e-05,0.7134505700964231,3.363961257772846,0.004787510888246962,True,A. thaliana,OMalley2016,BZIP11,bZIP,.
