,Motif_ID,x,N,n,M,pvalues,FoldEn,SScore,FDR,clasification,speciesOrigin,Bibliography,tf,tffamily,tfsubfamily
0,M02500_2.00,125,499,2808,27655,3.6077339017079044e-22,1.3028137806235531,27.93593039137211,5.747120105420692e-19,True,A. thaliana,Zoo_01,TCP3,TCP,.
1,M02503_2.00,93,499,2006,27655,1.8192704330880876e-17,1.3614096367618778,22.79013718873035,1.4490488999546617e-14,True,A. thaliana,Zoo_01,TCP2,TCP,.
2,M02514_2.00,84,499,1732,27655,6.325569441220088e-17,1.4264509243180625,23.10693640897354,2.0153264239727203e-14,True,A. lyrata,Zoo_01,TCP4,TCP,.
3,M07284_2.00,62,499,1027,27655,6.256301550191836e-17,1.742332560334707,28.232203315121836,2.0153264239727203e-14,True,A. thaliana,OMalley2016,TCP13,TCP,.
4,M02519_2.00,80,499,1589,27655,4.806926877520515e-17,1.4803814018048702,24.157059841892767,2.0153264239727203e-14,True,Lotus japonicus,Zoo_01,LjT20A21.20.nc,TCP,.
5,M02512_2.00,83,499,1772,27655,7.201043309574663e-16,1.3762332590579336,20.839756047731367,1.9118769986920732e-13,True,Oryza sativa,Zoo_01,OS02G0635800,TCP,.
6,M02504_2.00,104,499,2545,27655,8.650232628032562e-16,1.1793464934440614,17.76446346028328,1.968545796636553e-13,True,A. thaliana,Zoo_01,TCP19,TCP,.
7,M01316_2.00,100,499,2408,27655,1.2590550948537076e-15,1.2025932292810497,17.918585318558236,2.2285275178910624e-13,True,C. sativa,TF_Evolution,PK13314.1,TCP,.
8,M00892_2.00,109,499,2750,27655,1.1971422892097008e-15,1.135325137743569,16.941156206131033,2.2285275178910624e-13,True,A. thaliana,Franco_Zorrilla2014,TCP15,TCP,.
9,M00843_2.00,125,499,3428,27655,2.9825220362721717e-15,1.0149896068156141,14.743146618627192,4.75115760378157e-13,True,A. thaliana,Franco_Zorrilla2014,ERF037,AP2,DREB
10,M01612_2.00,145,499,4276,27655,3.507176466991705e-15,0.9102196685604711,13.157263885625616,5.079029192652533e-13,True,A. thaliana,Zoo_01,RAP2-4,AP2,DREB
11,M01311_2.00,111,499,2925,27655,1.1819113366045862e-14,1.0725516732580036,14.937872371470583,1.5689872993425883e-12,True,A. thaliana,TF_Evolution,TCP8,TCP,.
12,M01610_2.00,143,499,4258,27655,1.2835928237016402e-14,0.8962678185921227,12.450569578226888,1.5728948985820868e-12,True,A. thaliana,Zoo_01,ERF018,AP2,DREB
13,M02517_2.00,82,499,1835,27655,1.4536025261817677e-14,1.3083443731535356,18.104286347103674,1.6539920172911115e-12,True,C. sativa,Zoo_01,PK14653.1,TCP,.
14,M01620_2.00,145,499,4393,27655,3.1371093078667004e-14,0.8712750221882,11.765236427680456,3.331610084954436e-12,True,A. thaliana,Zoo_01,ERF039,AP2,DREB
15,M06832_2.00,191,499,6550,27655,8.022959568391238e-14,0.6925063529896007,9.06883148364266,7.987859120279526e-12,True,A. thaliana,OMalley2016,DOF1.6,Dof,.
16,M00850_2.00,148,499,4600,27655,1.1970508352862466e-13,0.8343919360632394,10.781918650259838,1.1217070474182299e-11,True,A. thaliana,Franco_Zorrilla2014,RAP2-10,AP2,DREB
17,M07288_2.00,63,499,1251,27655,1.3892994284938612e-13,1.4807705656001235,19.038569450776055,1.229529994217067e-11,True,A. thaliana,OMalley2016,TCP16,TCP,.
18,M00891_2.00,86,499,2069,27655,1.6623082863521124e-13,1.2039035411081154,15.385030593988146,1.3937142632415343e-11,True,A. thaliana,Franco_Zorrilla2014,TCP23,TCP,.
19,M00971_2.00,85,499,2046,27655,2.4162859365170217e-13,1.2031572226584004,15.180056218561399,1.924571748435808e-11,True,A. thaliana,Lindemose2014,NAC012,NAC/NAM,.
20,M07292_2.00,59,499,1139,27655,2.734206196200457e-13,1.5214477339197563,19.114204605522513,1.9646683642988075e-11,True,A. thaliana,OMalley2016,TCP21,TCP,.
21,M00842_2.00,135,499,4080,27655,2.8366209905130303e-13,0.8748188764579999,10.976526258689674,1.9646683642988075e-11,True,A. thaliana,Franco_Zorrilla2014,ERF018,AP2,DREB
22,M02511_2.00,87,499,2124,27655,2.6153605405864837e-13,1.1827321613106019,14.881690084377455,1.9646683642988075e-11,True,G. max,Zoo_01,GLYMA19G26560,TCP,.
23,M01317_2.00,82,499,1945,27655,3.1766853135499626e-13,1.224354281010556,15.302011398288165,2.1085248768687878e-11,True,C. sativa,TF_Evolution,PK14653.1,TCP,.
24,M07274_2.00,49,499,834,27655,3.6615558240292054e-13,1.7031629869365716,21.181104341446318,2.3331433710714095e-11,True,A. thaliana,OMalley2016,TCP3,TCP,.
25,M06838_2.00,157,499,5083,27655,4.557383679088085e-13,0.7755129497092095,9.570825873903326,2.7922739233797382e-11,True,A. thaliana,OMalley2016,CDF5,Dof,.
26,1.PIF3.MEME,135,499,4130,27655,6.927978113316669e-13,0.85724624701005,10.42359443779273,4.087507086856835e-11,True,.,.,1.PIF3.MEME,.,.
27,M02502_2.00,93,499,2398,27655,7.717411819307814e-13,1.1038995839598347,13.371014977734427,4.239254147640465e-11,True,A. thaliana,Zoo_01,TCP20,TCP,.
28,1.CBF1-MEME1,95,499,2475,27655,7.529542023384896e-13,1.0889995147426406,13.202193153649237,4.239254147640465e-11,True,.,.,1.CBF1-MEME1,.,.
29,M01097_2.00,142,499,4450,27655,8.642752428322631e-13,0.8225142150295864,9.922275150960564,4.5893015394393174e-11,True,C. sativa,TF_Evolution,PK07402.1,AP2,DREB
