,Motif_ID,x,N,n,M,pvalues,FoldEn,SScore,FDR,clasification,speciesOrigin,Bibliography,tf,tffamily,tfsubfamily
0,M02500_2.00,197,500,4367,27655,6.239512880427417e-38,1.3190934406173218,49.07667268980751,9.8771488897166e-35,True,A. thaliana,Zoo_01,TCP3,TCP,.
1,M07273_2.00,199,500,4481,27655,2.047315095618939e-37,1.2964880463323443,47.566610485247054,1.6188641347318664e-34,True,A. thaliana,OMalley2016,TCP24,TCP,.
2,M07284_2.00,225,500,5547,27655,3.0679674063143394e-37,1.1657576180328857,42.56548190656902,1.6188641347318664e-34,True,A. thaliana,OMalley2016,TCP13,TCP,.
3,M07275_2.00,204,500,4873,27655,8.167402942604246e-35,1.2112992717203805,41.29066784678264,3.232249714535631e-32,True,A. thaliana,OMalley2016,TCP3,TCP,.
4,M07274_2.00,207,500,5087,27655,1.1713704756807302e-33,1.170356015577897,38.54135175788537,3.7085589260051917e-31,True,A. thaliana,OMalley2016,TCP3,TCP,.
5,M02501_2.00,176,500,4125,27655,4.1636575792083486e-30,1.2387216515579573,36.39429244450134,1.098511657981136e-27,True,A. thaliana,Zoo_01,TCP4,TCP,.
6,M07288_2.00,199,500,5125,27655,2.850067304527613e-29,1.1027567682046786,31.478351720189366,6.445223632953158e-27,True,A. thaliana,OMalley2016,TCP16,TCP,.
7,M02519_2.00,197,500,5092,27655,1.0661882209537302e-28,1.097503552496219,30.699551687481744,2.1097199422121937e-26,True,Lotus japonicus,Zoo_01,LjT20A21.20.nc,TCP,.
8,M01313_2.00,209,500,5782,27655,8.267623179903228e-27,0.9994746755450338,26.06891748800041,1.4541830548652011e-24,True,C. sativa,TF_Evolution,PK10344.1,TCP,.
9,M07291_2.00,174,500,4788,27655,1.0814631928248454e-21,1.0072044958464268,21.117037632329442,1.71195623424173e-19,True,A. thaliana,OMalley2016,TCP17,TCP,.
10,M02514_2.00,162,500,4307,27655,1.7508958978645507e-21,1.0568508315839669,21.936777586260206,2.51969836938144e-19,True,A. lyrata,Zoo_01,TCP4,TCP,.
