,Motif_ID,x,N,n,M,pvalues,FoldEn,SScore,FDR,clasification,speciesOrigin,Bibliography,tf,tffamily,tfsubfamily
0,M02514_2.00,114,500,2837,27655,9.706551336191962e-17,1.1522080158315833,18.450232114930593,1.1261805439778803e-13,True,A. lyrata,Zoo_01,TCP4,TCP,.
1,M07288_2.00,93,500,2089,27655,2.6030831082541627e-16,1.3000304709821238,20.260340431202334,1.1261805439778803e-13,True,A. thaliana,OMalley2016,TCP16,TCP,.
2,M00892_2.00,152,500,4431,27655,2.451974151603631e-16,0.9239793388988404,14.423764790071841,1.1261805439778803e-13,True,A. thaliana,Franco_Zorrilla2014,TCP15,TCP,.
3,M02500_2.00,154,500,4524,27655,2.8119364393954565e-16,0.9128717636462813,14.196063775915933,1.1261805439778803e-13,True,A. thaliana,Zoo_01,TCP3,TCP,.
4,M01311_2.00,157,500,4693,27655,5.95193745020472e-16,0.8877944408045644,13.516973668677007,1.9070007590455924e-13,True,A. thaliana,TF_Evolution,TCP8,TCP,.
5,M02503_2.00,124,500,3316,27655,7.246585046922411e-16,1.0484364558323251,15.873188086680347,1.9348382075282838e-13,True,A. thaliana,Zoo_01,TCP2,TCP,.
6,M01318_2.00,106,500,2615,27655,8.4718713420211215e-16,1.164793660370096,17.555794100058982,1.9388482699882622e-13,True,C. sativa,TF_Evolution,PK19717.1,TCP,.
7,M07273_2.00,76,500,1573,27655,3.1536237586340987e-15,1.418092994969099,20.564036129565206,6.315131576664782e-13,True,A. thaliana,OMalley2016,TCP24,TCP,.
8,M07284_2.00,80,500,1721,27655,4.366866480858549e-15,1.3623651497883593,19.563332066931757,7.773022335928217e-13,True,A. thaliana,OMalley2016,TCP13,TCP,.
9,M01848_2.00,207,500,7133,27655,6.562660742424873e-15,0.6826621362171078,9.682142496447158,1.0513382509364648e-12,True,O. tauri,Zoo_01,fgenesh1_pg.C_Chr_07.0001000033,bZIP,.
10,M07274_2.00,71,500,1429,27655,7.2509111118041e-15,1.458425355350066,20.621561974292455,1.0559963273736518e-12,True,A. thaliana,OMalley2016,TCP3,TCP,.
11,M01317_2.00,117,500,3172,27655,1.572688678655435e-14,1.0286561008206265,14.198907636285911,2.0995393860050058e-12,True,C. sativa,TF_Evolution,PK14653.1,TCP,.
12,M02516_2.00,122,500,3381,27655,1.7591400972645873e-14,0.9969714736107096,13.71304310148292,2.167801873706053e-12,True,Manihot esculenta,Zoo_01,cassava45561.m1,TCP,.
13,M02511_2.00,123,500,3444,27655,2.7738203672621723e-14,0.9821135148835963,13.31443598965711,3.174043020252857e-12,True,G. max,Zoo_01,GLYMA19G26560,TCP,.
14,M06863_2.00,216,500,7676,27655,3.084540643167571e-14,0.6382169429092889,8.622827537196644,3.2942894069029657e-12,True,A. thaliana,OMalley2016,DOF5.1,Dof,.
15,M02502_2.00,133,500,3892,27655,4.9477885698320294e-14,0.9184548776612784,12.22058299507876,4.9539733055443195e-12,True,A. thaliana,Zoo_01,TCP20,TCP,.
16,M01086_2.00,106,500,2809,27655,8.841694866818629e-14,1.0615479823780014,13.856878878584359,7.082197588321722e-12,True,A. thaliana,Stam_Arabidopsis,TCP9,TCP,.
17,M01316_2.00,132,500,3879,27655,8.696577300237906e-14,0.9123934957682436,11.916453605395287,7.082197588321722e-12,True,C. sativa,TF_Evolution,PK13314.1,TCP,.
18,M07160_2.00,234,500,8648,27655,8.82923341575896e-14,0.5816823487899548,7.5933261716441445,7.082197588321722e-12,True,A. thaliana,OMalley2016,NAC002,NAC/NAM,.
19,M01779_2.00,207,500,7308,27655,8.513396028236254e-14,0.647694475813037,8.465300192256976,7.082197588321722e-12,True,A. thaliana,Zoo_01,GBF3,bZIP,.
20,M02504_2.00,137,500,4099,27655,9.728810361034543e-14,0.8864442452669485,11.534359565021242,7.42169247541778e-12,True,A. thaliana,Zoo_01,TCP19,TCP,.
21,M07275_2.00,66,500,1341,27655,1.0859414582052369e-13,1.4447690343951802,18.730265449546945,7.563818330629519e-12,True,A. thaliana,OMalley2016,TCP3,TCP,.
22,M00891_2.00,120,500,3386,27655,1.0720682062113001e-13,0.9709927746540772,12.593560322400606,7.563818330629519e-12,True,A. thaliana,Franco_Zorrilla2014,TCP23,TCP,.
23,M02512_2.00,108,500,2907,27655,1.3232904786493987e-13,1.0390405829684317,13.381122901471779,8.832963944984736e-12,True,Oryza sativa,Zoo_01,OS02G0635800,TCP,.
24,M06854_2.00,242,500,9105,27655,1.7206312106970896e-13,0.5558883723515944,7.095532735076793,1.102580479814695e-11,True,A. thaliana,OMalley2016,OBP3,Dof,.
25,M02508_2.00,79,500,1821,27655,2.3989051164327675e-13,1.262733978141465,15.935686299306738,1.423350369083442e-11,True,A. lyrata,Zoo_01,TCP2,TCP,.
26,M01700_2.00,202,500,7136,27655,2.312213526949815e-13,0.6467800197726904,8.172694260382638,1.423350369083442e-11,True,A. thaliana,Zoo_01,BPE,bHLH,.
27,M07280_2.00,75,500,1689,27655,3.3673556387175444e-13,1.2963335146356956,16.168793305508707,1.7981679110751686e-11,True,A. thaliana,OMalley2016,TCP22,TCP,.
28,M01059_2.00,212,500,7649,27655,3.260700413290935e-13,0.6163334589511278,7.695964284762326,1.7981679110751686e-11,True,A. thaliana,Stam_Arabidopsis,DPBF3,bZIP,.
29,M01771_2.00,187,500,6443,27655,3.3651498674027813e-13,0.6828460174074061,8.517135363529936,1.7981679110751686e-11,True,A. thaliana,Zoo_01,ABF2,bZIP,.
30,M02519_2.00,99,500,2601,27655,4.1831973085984704e-13,1.073974373077819,13.294182810098246,2.1371566669602256e-11,True,Lotus japonicus,Zoo_01,LjT20A21.20.nc,TCP,.
31,M07198_2.00,242,500,9176,27655,4.268977112529789e-13,0.54468199819997,6.737539935319462,2.1371566669602256e-11,True,A. thaliana,OMalley2016,NAC047,NAC/NAM,.
32,M06703_2.00,220,500,8071,27655,4.625720612149705e-13,0.5922964307564842,7.305870216365343,2.245577097170857e-11,True,A. thaliana,OMalley2016,REM19,B3,REM
33,M00893_2.00,130,500,3900,27655,6.307454257841749e-13,0.8825778413326819,10.767578423837397,2.971924035606612e-11,True,A. thaliana,Franco_Zorrilla2014,TCP16,TCP,.
34,M02510_2.00,60,500,1197,27655,7.300370711024197e-13,1.471151595606217,17.854859495021937,3.341483965445932e-11,True,A. lyrata,Zoo_01,TCP5,TCP,.
35,M07293_2.00,73,500,1649,27655,8.330442181114352e-13,1.2919173123837506,15.605498062506106,3.707046770595887e-11,True,A. thaliana,OMalley2016,TCP21,TCP,.
36,M01778_2.00,183,500,6321,27655,8.972401034429361e-13,0.6792311756867806,8.18276000308748,3.782575383462062e-11,True,A. thaliana,Zoo_01,BZIP17,bZIP,.
37,M07281_2.00,73,500,1651,27655,8.8222651931254e-13,1.2901685909079594,15.552233925854395,3.782575383462062e-11,True,A. thaliana,OMalley2016,TCP9,TCP,.
38,M07290_2.00,69,500,1515,27655,1.042977724184845e-12,1.3328908153590564,15.970331160796606,4.284231574728517e-11,True,A. thaliana,OMalley2016,TCP17,TCP,.
39,M01901_2.00,140,500,4370,27655,1.1671784829030633e-12,0.8253338894982063,9.848596007586952,4.560536413684652e-11,True,A. thaliana,Zoo_01,CMTA2,CG-1,.
40,M02721_2.00,81,500,1953,27655,1.1571360651029884e-12,1.1978422059390337,14.29818192618133,4.560536413684652e-11,True,A. thaliana,JASPAR,TCP16,TCP,.
41,M01133_2.00,189,500,6640,27655,1.43564187186136e-12,0.6547433349279861,7.7540951211087865,5.4759482826711864e-11,True,A. thaliana,TF_Evolution,DPBF3,bZIP,.
42,M06832_2.00,255,500,9949,27655,1.475293356599053e-12,0.503486065244799,5.956804868490773,5.49632548202717e-11,True,A. thaliana,OMalley2016,DOF1.6,Dof,.
43,M01156_2.00,188,500,6607,27655,1.7671279867098022e-12,0.6542776592415631,7.68954997936264,6.433952351611598e-11,True,C. sativa,TF_Evolution,PK09653.1,bZIP,.
44,M02515_2.00,112,500,3197,27655,1.8403875952831086e-12,0.9543203302182843,11.199035634505188,6.551779839207867e-11,True,V. vinifera,Zoo_01,VIT_15s0048g01150,TCP,.
45,M07279_2.00,77,500,1826,27655,2.00974182892815e-12,1.2217839276518798,14.29103522014185,6.999144369441079e-11,True,A. thaliana,OMalley2016,TCP22,TCP,.
46,M06840_2.00,219,500,8139,27655,2.1424792168018787e-12,0.5736196635393517,6.693615683552572,7.15052438607627e-11,True,A. thaliana,OMalley2016,DOF2.2,Dof,.
47,M00722_2.00,213,500,7839,27655,2.109531955018681e-12,0.5877241471258617,6.8621577614260545,7.15052438607627e-11,True,A. thaliana,Chang2013,PIF3,bHLH,.
48,M07292_2.00,78,500,1871,27655,2.485281541649733e-12,1.2052768125626647,13.986784714688628,8.12534904025076e-11,True,A. thaliana,OMalley2016,TCP21,TCP,.
49,M02513_2.00,99,500,2696,27655,3.358898514971113e-12,1.0222202758389516,11.728754187834856,1.0550892982321025e-10,True,Oryza sativa,Zoo_01,OsI_08196,TCP,.
50,M06705_2.00,203,500,7380,27655,3.294103934201064e-12,0.6053992531786184,6.951353264755403,1.0550892982321025e-10,True,A. thaliana,OMalley2016,VRN1,B3,REM
51,M06833_2.00,212,500,7856,27655,4.960757393191949e-12,0.5778096771897067,6.53182176768739,1.5282948738256734e-10,True,A. thaliana,OMalley2016,DOF1.7,Dof,.
52,M02505_2.00,50,500,930,27655,5.652447378897875e-12,1.5722377207205316,17.684158004422276,1.7085322077347918e-10,True,A. thaliana,Zoo_01,TCP5,TCP,.
53,M01900_2.00,149,500,4874,27655,6.106799115028546e-12,0.7577464216800213,8.497509590900894,1.778744033141042e-10,True,A. thaliana,Zoo_01,CMTA3,CG-1,.
54,M07277_2.00,80,500,1981,27655,6.070685725894092e-12,1.1593833669390767,13.004527583086753,1.778744033141042e-10,True,A. thaliana,OMalley2016,TCP15,TCP,.
55,ACGTGB-ANAC102-DREME,198,500,7196,27655,7.290470575883679e-12,0.605845585769328,6.747450380697824,2.0855953326010093e-10,True,.,.,ACGTGB-ANAC102-DREME,.,.
56,M07291_2.00,66,500,1477,27655,7.688131130114121e-12,1.3054084455348647,14.508543416200041,2.1607694860426005e-10,True,A. thaliana,OMalley2016,TCP17,TCP,.
57,M01315_2.00,136,500,4308,27655,7.882607287626757e-12,0.8041287436473324,8.928506891251933,2.1772304956513904e-10,True,C. sativa,TF_Evolution,PK12736.1,TCP,.
58,M01783_2.00,201,500,7365,27655,9.691685527052116e-12,0.5940503181969176,6.542632992110058,2.5876800357229147e-10,True,A. thaliana,Zoo_01,GBF1,bZIP,.
59,M07278_2.00,76,500,1849,27655,9.56259818598553e-12,1.18486644098059,13.056545806261383,2.5876800357229147e-10,True,A. thaliana,OMalley2016,TCP15,TCP,.
60,M01154_2.00,168,500,5783,27655,1.0014010818425643e-11,0.6841834729364721,7.525602180268406,2.6299090706750624e-10,True,C. sativa,TF_Evolution,PK05128.1,bZIP,.
61,M02139_2.00,165,500,5651,27655,1.1272051579423479e-11,0.69150017733625,7.570541889533332,2.9125526822961957e-10,True,Zea mays,Zoo_01,GRMZM2G135447,Homeodomain,HD-KN
62,M06866_2.00,211,500,7888,27655,1.3833730578554245e-11,0.5651237892704742,6.136713523219619,3.432170908627581e-10,True,A. thaliana,OMalley2016,DOF5.4,Dof,.
63,M01312_2.00,54,500,1084,27655,1.3765774903325762e-11,1.4622068977507976,15.881320587336438,3.432170908627581e-10,True,Oryza sativa,TF_Evolution,TB1,TCP,.
64,M07287_2.00,56,500,1151,27655,1.3925787082446491e-11,1.428151240866574,15.504267294010738,3.432170908627581e-10,True,A. thaliana,OMalley2016,TCP16,TCP,.
65,M06829_2.00,206,500,7653,27655,1.63480731053953e-11,0.5741592798007902,6.1931882650705115,3.851413693359305e-10,True,A. thaliana,OMalley2016,DOF1.5,Dof,.
66,M01902_2.00,208,500,7752,27655,1.6304099414025616e-11,0.5695552996672116,6.1441935203816715,3.851413693359305e-10,True,A. thaliana,Zoo_01,CSP4,CSD,.
67,M07286_2.00,71,500,1687,27655,1.7386088503139494e-11,1.218971298158317,13.115885074880287,4.0323956505935256e-10,True,A. thaliana,OMalley2016,TCP20,TCP,.
68,M01772_2.00,187,500,6729,27655,1.7619706338423646e-11,0.6201864910214087,6.669486351835143,4.0323956505935256e-10,True,A. thaliana,Zoo_01,ABF1,bZIP,.
69,M06851_2.00,210,500,7867,27655,1.9743570899455832e-11,0.5621160863412279,6.017213409420814,4.4548169832293305e-10,True,A. thaliana,OMalley2016,DOF3.4,Dof,.
70,M06869_2.00,203,500,7526,27655,2.1359485017499446e-11,0.5771367800584953,6.158285620560106,4.752485416393627e-10,True,A. thaliana,OMalley2016,DOF5.8,Dof,.
71,M02138_2.00,149,500,4961,27655,2.2933226984895262e-11,0.732221715510684,7.790498445778093,5.032743784904412e-10,True,Zea mays,Zoo_01,GRMZM2G087741,Homeodomain,HD-KN
72,M06702_2.00,230,500,8892,27655,2.3801176785337957e-11,0.5166662548585857,5.488753102972342,5.152633136501542e-10,True,A. thaliana,OMalley2016,REM19,B3,REM
73,1.HSF1b-NS,269,500,10937,27655,2.556343992349403e-11,0.4440013562842217,4.7030313997861946,5.374414805049081e-10,True,.,.,1.HSF1b-NS,.,.
74,M01687_2.00,133,500,4247,27655,2.524595025193591e-11,0.7925224790949882,8.399001289385334,5.374414805049081e-10,True,Medicago truncatula,Zoo_01,MTR_4g101990,AT hook,.
75,M01709_2.00,193,500,7050,27655,2.583208114786387e-11,0.5985179320357625,6.337012462858872,5.374414805049081e-10,True,A. thaliana,Zoo_01,SPT,bHLH,.
76,M02517_2.00,104,500,3004,27655,2.701685895258378e-11,0.9372390575680208,9.90508458810233,5.548847184876822e-10,True,C. sativa,Zoo_01,PK14653.1,TCP,.
77,M01056_2.00,169,500,5906,27655,2.8867059495582812e-11,0.6623822320894306,6.981242086038846,5.853801178724515e-10,True,A. thaliana,Stam_Arabidopsis,ABF4,bZIP,.
78,M07353_2.00,115,500,3475,27655,3.096261941617314e-11,0.8721612253873436,9.165683874091625,6.200264538088672e-10,True,A. thaliana,OMalley2016,ZHD10,Homeodomain,HD-ZF
79,M06855_2.00,218,500,8317,27655,3.563109293607504e-11,0.5358052450375207,5.59818474571592,7.047038380690396e-10,True,A. thaliana,OMalley2016,OBP3,Dof,.
