,Motif_ID,x,N,n,M,pvalues,FoldEn,SScore,FDR,clasification,speciesOrigin,Bibliography,tf,tffamily,tfsubfamily
0,M01704_2.00,188,499,4809,27655,8.580755306452676e-28,1.11542435706796,30.190604897663626,9.197643197470334e-25,True,A. thaliana,Zoo_01,BHLH34,bHLH,.
1,1.PIF1.MEME1,201,499,5367,27655,1.1489872826321466e-27,1.0535082346718911,28.381179753297424,9.197643197470334e-25,True,.,.,1.PIF1.MEME1,.,.
2,M00722_2.00,223,499,6402,27655,5.767264438236819e-27,0.9489496546407505,24.899518584755036,3.077796788539049e-24,True,A. thaliana,Chang2013,PIF3,bHLH,.
3,M01118_2.00,192,499,5088,27655,1.4781180012766487e-26,1.0644362617028278,27.494698277813352,4.732933840087829e-24,True,C. sativa,TF_Evolution,PK01630.1,bHLH,.
4,M00854_2.00,191,499,5037,27655,1.1866939951147619e-26,1.0714365286435894,27.7777004981014,4.732933840087829e-24,True,A. thaliana,Franco_Zorrilla2014,PIF3,bHLH,.
5,M01709_2.00,205,499,5721,27655,8.577906153989228e-26,0.9897851867375608,24.810567880203095,2.288871292089459e-23,True,A. thaliana,Zoo_01,SPT,bHLH,.
6,M07160_2.00,236,499,7132,27655,1.0125847065032725e-25,0.8749087780028731,21.867967502236066,2.3159258787310562e-23,True,A. thaliana,OMalley2016,NAC002,NAC/NAM,.
7,M01699_2.00,179,499,4672,27655,3.5832579203426694e-25,1.0863479346502662,26.556559530236168,6.374217700520683e-23,True,A. thaliana,Zoo_01,MYC2,bHLH,.
8,M01773_2.00,202,499,5651,27655,3.491119655310521e-25,0.9862777251670557,24.121429106320793,6.374217700520683e-23,True,A. thaliana,Zoo_01,ABF1,bZIP,.
9,M01769_2.00,187,499,5021,27655,5.0253058152209385e-25,1.0454921664857995,25.40424426523977,8.045514610168724e-23,True,O. tauri,Zoo_01,fgenesh1_pg.C_Chr_14.0001000151,bHLH,.
10,M01707_2.00,178,499,4651,27655,5.977039602675738e-25,1.0847649227078133,26.27681814722258,8.407435831531868e-23,True,A. thaliana,Zoo_01,MYC4,bHLH,.
