,Motif_ID,x,N,n,M,pvalues,FoldEn,SScore,FDR,clasification,speciesOrigin,Bibliography,tf,tffamily,tfsubfamily
0,M02041_2.00,317,498,14038,27655,1.4052873079515708e-09,0.32654003123578296,2.8906090529525437,8.860067653662885e-07,True,A. thaliana,Zoo_01,ATHB-22,Homeodomain,HD-ZIP
1,M06922_2.00,246,498,10144,27655,1.4297340428508174e-09,0.4294262647350393,3.798165697040747,8.860067653662885e-07,True,A. thaliana,OMalley2016,HAT1,Homeodomain,HD-ZIP
2,M01902_2.00,300,498,13098,27655,1.6791031560953036e-09,0.34701056431914046,3.0449908509375616,8.860067653662885e-07,True,A. thaliana,Zoo_01,CSP4,CSD,.
3,M01672_2.00,298,498,13030,27655,2.5349976287775756e-09,0.34486984654187136,2.9645089406385825,1.0032253115887256e-06,True,A. thaliana,Zoo_01,AHL13,AT hook,.
4,M01275_2.00,220,498,9056,27655,2.1211096317455787e-08,0.43195226022798383,3.314558405736281,6.715433094106502e-06,True,C. sativa,TF_Evolution,PK01261.1,Myb/SANT,MYB
5,M01769_2.00,62,498,1710,27655,7.10261589782383e-08,1.0096664901488217,7.217683365192377,1.8739068277091874e-05,True,O. tauri,Zoo_01,fgenesh1_pg.C_Chr_14.0001000151,bHLH,.
6,M06818_2.00,310,498,14174,27655,1.5066300731113982e-07,0.28041586111062067,1.9129951447998683,2.9812442571691794e-05,True,A. thaliana,OMalley2016,JKD,C2H2 ZF,.
7,M01674_2.00,347,498,16303,27655,1.475097215993001e-07,0.24119279584499706,1.6476312479490112,2.9812442571691794e-05,True,Brachypodium distachyon,Zoo_01,BRADI5G22430,AT hook,.
8,M06809_2.00,273,498,12174,27655,2.494323468443397e-07,0.31649227997724405,2.0898134717023478,4.387237833939886e-05,True,A. thaliana,OMalley2016,IDD4,C2H2 ZF,.
9,M06803_2.00,344,498,16302,27655,5.852990185172532e-07,0.2287541932941735,1.4257384644176376,7.721069552606766e-05,True,A. thaliana,OMalley2016,IDD7,C2H2 ZF,.
10,M02697_2.00,276,498,12438,27655,5.44739901880371e-07,0.3013083444828048,1.8873384658400765,7.721069552606766e-05,True,Antirrhinum majus,JASPAR,squamosa,MADS box,.
11,M00897_2.00,136,498,5166,27655,5.204608239183222e-07,0.5478817026675459,3.442676016862055,7.721069552606766e-05,True,A. thaliana,Franco_Zorrilla2014,AHL25,AT hook,.
12,M06736_2.00,87,498,2919,27655,7.969467375726797e-07,0.7269357898816672,4.433269311050164,9.704359119827322e-05,True,A. thaliana,OMalley2016,BHLH77,bHLH,.
13,M06912_2.00,264,498,11908,27655,1.447584073306736e-06,0.3000014026556242,1.7518150517330513,0.00010236678127438712,True,A. thaliana,OMalley2016,ATHB-20,Homeodomain,HD-ZIP
14,M06901_2.00,249,498,11096,27655,1.4873253122620996e-06,0.31750064927968485,1.8502648885472641,0.00010236678127438712,True,A. thaliana,OMalley2016,ATHB-13,Homeodomain,HD-ZIP
15,M06849_2.00,294,498,13571,27655,1.485116077056099e-06,0.26668372294626974,1.5542966348712282,0.00010236678127438712,True,A. thaliana,OMalley2016,CDF3,Dof,.
16,M06795_2.00,256,498,11453,27655,1.2560134612433705e-06,0.31181286247370077,1.840009480677324,0.00010236678127438712,True,A. thaliana,OMalley2016,MGP,C2H2 ZF,.
