,Motif_ID,x,N,n,M,pvalues,FoldEn,SScore,FDR,clasification,speciesOrigin,Bibliography,tf,tffamily,tfsubfamily
0,M01324_2.00,205,500,5514,27655,8.576325759521873e-28,1.0400649844364558,28.151125594695507,1.3756426518273085e-24,True,C. sativa,TF_Evolution,PK05432.1,WRKY,.
1,M01710_2.00,215,500,6016,27655,4.147294179619504e-27,0.9830724348530234,25.935648153418523,3.3261299320548424e-24,True,A. thaliana,Zoo_01,BIM1,bHLH,.
2,M00722_2.00,228,500,6623,27655,7.14752597222423e-27,0.929089308212736,24.29182435416891,3.821543886482555e-24,True,A. thaliana,Chang2013,PIF3,bHLH,.
3,M07160_2.00,242,500,7291,27655,1.1350633362807949e-26,0.8764306880193748,22.73897658813907,4.551603978485987e-24,True,A. thaliana,OMalley2016,NAC002,NAC/NAM,.
4,M02564_2.00,205,500,5692,27655,5.937587195226965e-26,0.994228589920164,25.08079815805569,1.587314976857342e-23,True,A. thaliana,Zoo_01,WRKY8,WRKY,.
5,M01768_2.00,199,500,5427,27655,5.277743422302832e-26,1.0201538641424523,25.78699207020218,1.587314976857342e-23,True,C. sativa,Zoo_01,PK18474.1,bHLH,.
6,M07198_2.00,250,500,7762,27655,7.534363135761559e-26,0.8330400038178394,20.928425239418146,1.7264454956802203e-23,True,A. thaliana,OMalley2016,NAC047,NAC/NAM,.
7,2.FBH3-MEME,179,500,4622,27655,1.319433797688335e-25,1.0989826697378258,27.342262852482992,2.6454647643651118e-23,True,.,.,2.FBH3-MEME,.,.
8,M02548_2.00,194,500,5263,27655,1.748329691430557e-25,1.0277115996355544,25.443443177075913,3.115912027838459e-23,True,A. thaliana,Zoo_01,WRKY40,WRKY,.
9,M02565_2.00,187,500,5001,27655,4.0742093940616354e-25,1.048362007121264,25.569503911587166,6.535031868074863e-23,True,A. thaliana,Zoo_01,WRKY48,WRKY,.
10,M01709_2.00,209,500,5972,27655,6.241683260643139e-25,0.9528291188875418,23.062941329108995,9.101509045519632e-23,True,A. thaliana,Zoo_01,SPT,bHLH,.
11,M01154_2.00,182,500,4841,27655,1.3773596739810231e-24,1.056173698279041,25.201310590382434,1.8410707642213008e-22,True,C. sativa,TF_Evolution,PK05128.1,bZIP,.
12,M06912_2.00,116,500,2324,27655,1.930146660504663e-24,1.465055078664244,34.74291635422876,2.3815040334226764e-22,True,A. thaliana,OMalley2016,ATHB-20,Homeodomain,HD-ZIP
13,M06900_2.00,146,500,3416,27655,2.19538198023903e-24,1.2412007362007274,29.364935087256608,2.5152804973595746e-22,True,A. thaliana,OMalley2016,ATHB-13,Homeodomain,HD-ZIP
14,M01714_2.00,185,500,5004,27655,3.310606094175721e-24,1.0319838232916927,24.23107561889904,3.540141450038571e-22,True,A. thaliana,Zoo_01,ILR3,bHLH,.
15,M02567_2.00,185,500,5017,27655,4.499900519862512e-24,1.0282406746932158,24.006126388814042,4.511150271162168e-22,True,A. thaliana,Zoo_01,WRKY2,WRKY,.
16,M02549_2.00,199,500,5627,27655,5.223493601227141e-24,0.9679428094272923,22.535682173972855,4.92851984492255e-22,True,A. thaliana,Zoo_01,WRKY15,WRKY,.
17,M01128_2.00,197,500,5544,27655,5.762079115805416e-24,0.9748087142603631,22.653989893598727,5.134652723195493e-22,True,C. sativa,TF_Evolution,PK20225.1,bHLH,.
18,M01781_2.00,204,500,5864,27655,7.549110625756098e-24,0.9442243907788841,21.8324547615605,6.054386721856391e-22,True,A. thaliana,Zoo_01,GBF2,bZIP,.
19,M01769_2.00,191,500,5294,27655,7.237435865584858e-24,0.9967547854815507,23.065319660137842,6.054386721856391e-22,True,O. tauri,Zoo_01,fgenesh1_pg.C_Chr_14.0001000151,bHLH,.
20,M01700_2.00,208,500,6048,27655,8.585636849326413e-24,0.9276657308612198,21.397748778105683,6.557791193485507e-22,True,A. thaliana,Zoo_01,BPE,bHLH,.
21,M00731_2.00,195,500,5487,27655,1.1305580546153034e-23,0.9749968902209387,22.372968094069908,8.242795998195213e-22,True,A. thaliana,Chang2013,WRKY14,WRKY,.
22,BACGTG-RD26-DREME,207,500,6021,27655,1.2528507474340684e-23,0.9271679923567523,21.234094693007574,8.737272169061937e-22,True,.,.,BACGTG-RD26-DREME,.,.
23,ACGTGB-ANAC102-DREME,207,500,6061,27655,2.927179986311195e-23,0.9176152672320708,20.67713003060749,1.9563319575179817e-21,True,.,.,ACGTGB-ANAC102-DREME,.,.
24,M01704_2.00,185,500,5106,27655,3.5452316501011263e-23,1.0028720750503937,22.51483448774647,2.2746206267048827e-21,True,A. thaliana,Zoo_01,BHLH34,bHLH,.
25,M02553_2.00,196,500,5589,27655,4.09487988453712e-23,0.9558038213936151,21.398305444937876,2.526225897999054e-21,True,A. thaliana,Zoo_01,WRKY21,WRKY,.
26,M01160_2.00,203,500,5906,27655,4.829557582312189e-23,0.9268387129924225,20.683418592152428,2.7097757283377195e-21,True,C. sativa,TF_Evolution,PK23964.1,bZIP,.
27,M01164_2.00,193,500,5466,27655,4.8992204564709393e-23,0.965655729686074,21.54365670801544,2.7097757283377195e-21,True,C. sativa,TF_Evolution,PK27149.1,bZIP,.
28,M06734_2.00,161,500,4120,27655,4.8494426012482703e-23,1.111956692985237,24.812544326393322,2.7097757283377195e-21,True,A. thaliana,OMalley2016,BHLH34,bHLH,.
29,M00732_2.00,175,500,4703,27655,5.698486190939169e-23,1.0413139319155476,23.16323753733012,2.948507048473041e-21,True,A. thaliana,Chang2013,WRKY47,WRKY,.
30,M01056_2.00,182,500,4998,27655,5.610061086626292e-23,1.010127891053193,22.476388441855754,2.948507048473041e-21,True,A. thaliana,Stam_Arabidopsis,ABF4,bZIP,.
31,M01778_2.00,189,500,5323,27655,9.688427606737314e-23,0.9736870102367872,21.434499209890653,4.7091629943050464e-21,True,A. thaliana,Zoo_01,BZIP17,bZIP,.
32,M01133_2.00,196,500,5628,27655,9.539405480699719e-23,0.9457716678198762,20.826344857549113,4.7091629943050464e-21,True,A. thaliana,TF_Evolution,DPBF3,bZIP,.
33,M01779_2.00,208,500,6174,27655,1.2076287313990674e-22,0.8979183874671679,19.68063498462264,5.6971661328356e-21,True,A. thaliana,Zoo_01,GBF3,bZIP,.
34,M01132_2.00,207,500,6136,27655,1.3976676798905043e-22,0.8998726269375923,19.666352782900994,6.405311310126768e-21,True,A. thaliana,TF_Evolution,HYH,bZIP,.
35,M01059_2.00,214,500,6458,27655,1.5258994483921637e-22,0.8740636977283666,19.068988009233685,6.798729764502862e-21,True,A. thaliana,Stam_Arabidopsis,DPBF3,bZIP,.
36,M00982_2.00,195,500,5617,27655,1.9379367351189618e-22,0.9412146631122008,20.43627434818007,8.401217630083284e-21,True,A. thaliana,Lindemose2014,ZAP1,WRKY,.
37,M01757_2.00,183,500,5098,27655,2.0550186752203255e-22,0.989452617203041,21.45844119323749,8.674341986982637e-21,True,P. patens,Zoo_01,fgenesh1_pg.scaffold_37000071,bHLH,.
38,M01773_2.00,201,500,5895,27655,2.499785075675235e-22,0.9152440302530042,19.771190621414355,1.0281167336879684e-20,True,A. thaliana,Zoo_01,ABF1,bZIP,.
39,1.FDP-MEME,175,500,4773,27655,2.9212749413836995e-22,1.0199989277213255,21.965093027071724,1.1428597575559644e-20,True,.,.,1.FDP-MEME,.,.
40,M01783_2.00,208,500,6216,27655,2.8506331968024607e-22,0.8881373666745824,19.134971664588456,1.1428597575559644e-20,True,A. thaliana,Zoo_01,GBF1,bZIP,.
41,M01156_2.00,194,500,5596,27655,3.1684541862659865e-22,0.939201031963575,20.192026278303604,1.1929956368017493e-20,True,C. sativa,TF_Evolution,PK09653.1,bZIP,.
42,M01770_2.00,209,500,6267,27655,3.1981803230969586e-22,0.8832682912338187,18.985937643961975,1.1929956368017493e-20,True,A. thaliana,Zoo_01,BZIP68,bZIP,.
43,CCACSK-bZIP60-1DREME,204,500,6043,27655,3.316949881954657e-22,0.9008445522130245,19.349475338920826,1.2091790024216523e-20,True,.,.,CCACSK-bZIP60-1DREME,.,.
44,M01772_2.00,197,500,5738,27655,3.871600506230295e-22,0.9251880036289124,19.810226806657024,1.3800104915540873e-20,True,A. thaliana,Zoo_01,ABF1,bZIP,.
45,M01848_2.00,203,500,6010,27655,4.236728143283667e-22,0.9016550785278291,19.271046404833985,1.4637679245524715e-20,True,O. tauri,Zoo_01,fgenesh1_pg.C_Chr_07.0001000033,bZIP,.
46,M01118_2.00,189,500,5392,27655,4.380352891428842e-22,0.9551060799804147,20.399624518094097,1.4637679245524715e-20,True,C. sativa,TF_Evolution,PK01630.1,bHLH,.
