,Motif_ID,x,N,n,M,pvalues,FoldEn,SScore,FDR,clasification,speciesOrigin,Bibliography,tf,tffamily,tfsubfamily
0,1.WRKY33.1MEME,325,500,14624,27655,8.525935162594834e-09,0.2977139897989477,2.4023309862658007,1.3496555362387623e-05,True,.,.,1.WRKY33.1MEME,.,.
1,M07428_2.00,236,500,9924,27655,4.14237103038076e-08,0.3954054664106108,2.9191801041820336,3.278686670546372e-05,True,A. thaliana,OMalley2016,WRKY8,WRKY,.
2,M07408_2.00,145,500,5390,27655,6.909696079606266e-08,0.5733079693162672,4.105195251153024,3.6460162980055734e-05,True,A. thaliana,OMalley2016,WRKY31,WRKY,.
3,M07386_2.00,189,500,7619,27655,1.2747298308145118e-07,0.4563249212637673,3.1461695202371587,5.044743305448431e-05,True,A. thaliana,OMalley2016,WRKY17,WRKY,.
4,M07419_2.00,168,500,6631,27655,2.3735985363226316e-07,0.48677512006672324,3.224686923728614,5.367723547141036e-05,True,A. thaliana,OMalley2016,WRKY26,WRKY,.
5,M06805_2.00,331,500,15353,27655,2.2171838877442907e-07,0.25392287621016896,1.6896531676747863,5.367723547141036e-05,True,A. thaliana,OMalley2016,SGR5,C2H2 ZF,.
6,M07401_2.00,182,500,7296,27655,1.6972063013715229e-07,0.464373062975155,3.1439288644479557,5.367723547141036e-05,True,A. thaliana,OMalley2016,WRKY22,WRKY,.
7,M07427_2.00,159,500,6223,27655,3.420199609182283e-07,0.49895686133818185,3.2262293925723613,6.767719976669443e-05,True,A. thaliana,OMalley2016,WRKY24,WRKY,.
8,M07430_2.00,183,500,7483,27655,5.970741131385772e-07,0.4357672154471482,2.7122028419034288,0.00010501870234426309,True,A. thaliana,OMalley2016,WRKY27,WRKY,.
9,M01070_2.00,27,500,3212,27655,7.000135496123644e-07,-1.1049002384126454,-6.800543354785129,0.00011081214490363728,True,A. thaliana,Stam_Arabidopsis,TRB1,Myb/SANT,MYB-related
10,M07429_2.00,195,500,8208,27655,1.5512903966953882e-06,0.3939837350837573,2.288772429138451,0.00012278463489843997,True,A. thaliana,OMalley2016,WRKY8,WRKY,.
11,M07394_2.00,173,500,7029,27655,9.442259931132462e-07,0.44499292499363324,2.681048575104185,0.00012278463489843997,True,A. thaliana,OMalley2016,WRKY43,WRKY,.
12,M02562_2.00,111,500,4016,27655,9.609038857981602e-07,0.6123407493405345,3.6846502686653824,0.00012278463489843997,True,A. thaliana,Zoo_01,WRKY75,WRKY,.
13,M07425_2.00,196,500,8225,27655,1.165173152215717e-06,0.3983783175464426,2.363821381894305,0.00012278463489843997,True,A. thaliana,OMalley2016,WRKY50,WRKY,.
14,M07410_2.00,176,500,7222,27655,1.361544551403941e-06,0.43071735062985766,2.5265742576235994,0.00012278463489843997,True,A. thaliana,OMalley2016,WRKY29,WRKY,.
15,M07376_2.00,157,500,6252,27655,1.1612843827344151e-06,0.4739871228331632,2.8131426836644797,0.00012278463489843997,True,A. thaliana,OMalley2016,WRKY14,WRKY,.
16,M07411_2.00,179,500,7384,27655,1.4829249021628335e-06,0.42309737655968277,2.4661841924553047,0.00012278463489843997,True,A. thaliana,OMalley2016,WRKY29,WRKY,.
17,M07398_2.00,203,500,8599,27655,1.2895655837841267e-06,0.38485117464083435,2.266602762512944,0.00012278463489843997,True,A. thaliana,OMalley2016,WRKY45,WRKY,.
18,M07407_2.00,201,500,8484,27655,1.1739878598035774e-06,0.3899912225895742,2.3127791407024936,0.00012278463489843997,True,A. thaliana,OMalley2016,WRKY28,WRKY,.
19,M07413_2.00,191,500,7990,27655,1.4011262556140403e-06,0.4029174771616102,2.3584866103300595,0.00012278463489843997,True,A. thaliana,OMalley2016,WRKY7,WRKY,.
20,M07391_2.00,174,500,7150,27655,1.7529214654068098e-06,0.4286844062368147,2.4676092723284917,0.00013213688951137998,True,A. thaliana,OMalley2016,WRKY33,WRKY,.
