,Motif_ID,x,N,n,M,pvalues,FoldEn,SScore,FDR,clasification,speciesOrigin,Bibliography,tf,tffamily,tfsubfamily
0,1.WRKY33.1MEME,49,498,1077,27655,2.1196219392617485e-09,1.3371580991062073,11.598163821899108,2.0772295004765133e-06,True,.,.,1.WRKY33.1MEME,.,.
1,M06861_2.00,259,498,11347,27655,1.4861739258921322e-07,0.34203577964661486,2.3353964848840056,7.282252236871447e-05,True,A. thaliana,OMalley2016,DOF4.7,Dof,.
2,M06703_2.00,210,498,8818,27655,2.776007277751347e-07,0.40326054558558166,2.644009785875051,9.068290440654401e-05,True,A. thaliana,OMalley2016,REM19,B3,REM
3,M06702_2.00,252,498,11262,27655,1.5283388817329143e-06,0.3133552774830924,1.8224054616170593,0.000374443026024564,True,A. thaliana,OMalley2016,REM19,B3,REM
4,M07055_2.00,30,498,669,27655,3.4524318502066996e-06,1.316278984502264,7.189351127745146,0.0006766766426405131,True,A. thaliana,OMalley2016,AT2G38090,Myb/SANT,MYB
5,M06704_2.00,151,498,6225,27655,1.0043080267190484e-05,0.4297974070174798,2.14818463181848,0.0016403697769744457,True,A. thaliana,OMalley2016,VRN1,B3,REM
6,M06854_2.00,262,498,12124,27655,1.4089860216901408e-05,0.2630956542883277,1.2763015698369753,0.0019725804303661974,True,A. thaliana,OMalley2016,OBP3,Dof,.
7,M06868_2.00,267,498,12446,27655,1.9106678584843864e-05,0.25255219033538645,1.1917470140559598,0.002340568126643373,True,A. thaliana,OMalley2016,DOF5.8,Dof,.
8,M06705_2.00,270,498,12630,27655,2.1503121988239098e-05,0.24749936791112298,1.155202923848241,0.0023414510609415904,True,A. thaliana,OMalley2016,VRN1,B3,REM
9,M06837_2.00,262,498,12300,27655,4.260960162425896e-05,0.24230309595869232,1.0589838699599223,0.004175740959177379,True,A. thaliana,OMalley2016,CDF5,Dof,.
10,M06863_2.00,221,498,10136,27655,6.267573262073076e-05,0.27595253978582873,1.1598010897511044,0.005583837997119649,True,A. thaliana,OMalley2016,DOF5.1,Dof,.
11,M06818_2.00,65,498,2318,27655,0.00010242359262577828,0.6389537515571894,2.5491698839245234,0.008364593397771894,True,A. thaliana,OMalley2016,JKD,C2H2 ZF,.
12,M07334_2.00,87,498,3384,27655,0.0001407281015045226,0.5136804322639851,1.978501400753971,0.010608733805725551,True,A. thaliana,OMalley2016,AtIDD11,C2H2 ZF,.
13,M06797_2.00,52,498,1815,27655,0.0002811470362469498,0.6699366747931857,2.378989676487749,0.019680292537286488,True,A. thaliana,OMalley2016,AT1G14580,C2H2 ZF,.
14,M07410_2.00,17,498,378,27655,0.0003646333126652047,1.3204712065644735,4.539969703105575,0.022333790400743788,True,A. thaliana,OMalley2016,WRKY29,WRKY,.
15,M07390_2.00,17,498,378,27655,0.0003646333126652047,1.3204712065644735,4.539969703105575,0.022333790400743788,True,A. thaliana,OMalley2016,WRKY21,WRKY,.
16,M07401_2.00,17,498,382,27655,0.00040770852381263455,1.3052848027497974,4.424458904207051,0.023271359871603677,True,A. thaliana,OMalley2016,WRKY22,WRKY,.
17,M06822_2.00,44,498,1491,27655,0.0004274331404988431,0.7126178658890615,2.4009035191881773,0.023271359871603677,True,A. thaliana,OMalley2016,NUC,C2H2 ZF,.
18,M07389_2.00,16,498,361,27655,0.0006078136462852765,1.2993957626480355,4.179155053670247,0.031350388071556365,True,A. thaliana,OMalley2016,WRKY21,WRKY,.
19,M06832_2.00,158,498,7229,27655,0.0007578301523823869,0.27945116255730523,0.8720072655596245,0.03713367746673696,True,A. thaliana,OMalley2016,DOF1.6,Dof,.
20,M07412_2.00,22,498,610,27655,0.000986000802356675,1.0020169757222552,3.0121860082200236,0.04601337077664483,True,A. thaliana,OMalley2016,WRKY7,WRKY,.
