,Motif_ID,x,N,n,M,pvalues,FoldEn,SScore,FDR,clasification,speciesOrigin,Bibliography,tf,tffamily,tfsubfamily
0,M07398_2.00,94,499,2812,27655,1.5154851254807762e-09,0.889564688871129,7.8454698024727705,1.5997456905027207e-06,True,A. thaliana,OMalley2016,WRKY45,WRKY,.
1,M02548_2.00,144,499,5117,27655,4.1129468619796595e-09,0.6411991996982982,5.3769983219746,1.5997456905027207e-06,True,A. thaliana,Zoo_01,WRKY40,WRKY,.
2,M02562_2.00,141,499,4943,27655,2.6697522367812147e-09,0.6607368775250478,5.664846807890495,1.5997456905027207e-06,True,A. thaliana,Zoo_01,WRKY75,WRKY,.
3,M07382_2.00,131,499,4527,27655,4.9898493153547125e-09,0.6814401265556378,5.657256351745215,1.5997456905027207e-06,True,A. thaliana,OMalley2016,WRKY59,WRKY,.
4,M02561_2.00,107,499,3421,27655,3.442776130768613e-09,0.7936213138992743,6.7164895710612855,1.5997456905027207e-06,True,A. thaliana,Zoo_01,WRKY62,WRKY,.
5,M07411_2.00,122,499,4144,27655,7.393136902996304e-09,0.7062857661423594,5.742930517103286,1.6930283507861538e-06,True,A. thaliana,OMalley2016,WRKY29,WRKY,.
6,M07425_2.00,137,499,4831,27655,6.988766968774105e-09,0.6522826617944768,5.319756111423651,1.6930283507861538e-06,True,A. thaliana,OMalley2016,WRKY50,WRKY,.
7,M01089_2.00,140,499,4997,27655,9.646730229846078e-09,0.6347932304751057,5.08826122920268,1.932963569805408e-06,True,A. thaliana,Stam_Arabidopsis,WRKY23,WRKY,.
8,M07421_2.00,100,499,3217,27655,1.660964568741727e-08,0.7847126853880134,6.10478190674639,2.9583624485477644e-06,True,A. thaliana,OMalley2016,WRKY75,WRKY,.
9,M02556_2.00,105,499,3456,27655,2.1740875340895278e-08,0.7517147317686811,5.760181745121905,3.485062317145513e-06,True,A. thaliana,Zoo_01,WRKY23,WRKY,.
10,M07424_2.00,97,499,3118,27655,2.710025532684863e-08,0.78586434575537,5.946656421974613,3.6201424407448626e-06,True,A. thaliana,OMalley2016,WRKY50,WRKY,.
11,M07385_2.00,96,499,3072,27655,2.61777097485362e-08,0.792356716266027,6.007702781851093,3.6201424407448626e-06,True,A. thaliana,OMalley2016,WRKY17,WRKY,.
12,M07391_2.00,115,499,3939,27655,3.430796065080973e-08,0.6942330655963592,5.182175679751054,4.230435455634462e-06,True,A. thaliana,OMalley2016,WRKY33,WRKY,.
13,M08180_2.00,113,499,3877,27655,5.043788305192843e-08,0.6918106589300341,5.0483105917386935,5.0532454082650795e-06,True,A. thaliana,JASPAR,WRKY40,WRKY,.
14,M02564_2.00,149,499,5556,27655,4.532926463697185e-08,0.5716943527467961,4.198306840964043,5.0532454082650795e-06,True,A. thaliana,Zoo_01,WRKY8,WRKY,.
15,M07387_2.00,115,499,3967,27655,4.962982161043394e-08,0.6840140850651217,4.996214864446669,5.0532454082650795e-06,True,A. thaliana,OMalley2016,WRKY25,WRKY,.
16,M01325_2.00,142,499,5238,27655,5.524015410201523e-08,0.5873034914201131,4.262499047962721,5.208821589737083e-06,True,C. sativa,TF_Evolution,PK25870.1,WRKY,.
17,1.WRKY33.1MEME,106,499,3607,27655,9.49235836017617e-08,0.7036934630416558,4.941775921235238,8.151315116090045e-06,True,.,.,1.WRKY33.1MEME,.,.
18,M07379_2.00,113,499,3927,27655,9.661571254255201e-08,0.6733237960148176,4.723334270323292,8.151315116090045e-06,True,A. thaliana,OMalley2016,WRKY40,WRKY,.
19,M07414_2.00,112,499,3899,27655,1.2128620090459347e-07,0.6708231989259953,4.6395397659316195,9.721089002503166e-06,True,A. thaliana,OMalley2016,WRKY20,WRKY,.
20,M00722_2.00,164,499,6402,27655,1.5251347509894122e-07,0.5056017593385297,3.4465313584471122,1.0629526112330555e-05,True,A. thaliana,Chang2013,PIF3,bHLH,.
21,M07397_2.00,89,499,2881,27655,1.461721109083446e-07,0.7757362020725544,5.3022620388653285,1.0629526112330555e-05,True,A. thaliana,OMalley2016,WRKY45,WRKY,.
22,M02568_2.00,133,499,4893,27655,1.4282019106471878e-07,0.5911355843341759,4.046447443937963,1.0629526112330555e-05,True,A. thaliana,Zoo_01,WRKY51,WRKY,.
23,M07400_2.00,82,499,2589,27655,1.7551856977960698e-07,0.8117294709839994,5.483782059408871,1.164451187823947e-05,True,A. thaliana,OMalley2016,WRKY22,WRKY,.
24,M02369_2.00,139,499,5208,27655,1.961333878430853e-07,0.5647840558238989,3.7882599510962036,1.164451187823947e-05,True,A. thaliana,Zoo_01,NAC029,NAC/NAM,.
25,M07389_2.00,92,499,3032,27655,1.92065431827079e-07,0.749864634151948,5.036503903126429,1.164451187823947e-05,True,A. thaliana,OMalley2016,WRKY21,WRKY,.
26,M07380_2.00,114,499,4027,27655,1.9011003042753957e-07,0.6497569734850147,4.367013349634968,1.164451187823947e-05,True,A. thaliana,OMalley2016,WRKY40,WRKY,.
27,M07381_2.00,111,499,3903,27655,2.2696525662302034e-07,0.6564048351771815,4.361180387181985,1.2993760941667915e-05,True,A. thaliana,OMalley2016,WRKY3,WRKY,.
28,M07390_2.00,93,499,3095,27655,2.4926736234298076e-07,0.7357918332724315,4.8586796576790405,1.3778468339165453e-05,True,A. thaliana,OMalley2016,WRKY21,WRKY,.
29,M07374_2.00,99,499,3368,27655,2.6415107090135943e-07,0.7040369132792407,4.631258748499965,1.3873092223965812e-05,True,A. thaliana,OMalley2016,WRKY71,WRKY,.
30,M00982_2.00,143,499,5430,27655,2.682881216113164e-07,0.5454915703526926,3.584642517278925,1.3873092223965812e-05,True,A. thaliana,Lindemose2014,ZAP1,WRKY,.
31,M07393_2.00,104,499,3611,27655,3.257337855631404e-07,0.6746137294584791,4.376311815594726,1.5980854054897675e-05,True,A. thaliana,OMalley2016,WRKY43,WRKY,.
32,M07406_2.00,117,499,4212,27655,3.289882618912185e-07,0.6224317148237145,4.035112518744818,1.5980854054897675e-05,True,A. thaliana,OMalley2016,WRKY28,WRKY,.
33,M07418_2.00,97,499,3299,27655,3.491704262718186e-07,0.704456495888224,4.548649209870003,1.646235862687427e-05,True,A. thaliana,OMalley2016,WRKY26,WRKY,.
34,M02547_2.00,142,499,5426,27655,4.264694713601496e-07,0.536430503488843,3.417122415427912,1.9230206858469187e-05,True,A. thaliana,Zoo_01,WRKY57,WRKY,.
35,M02549_2.00,143,499,5477,27655,4.375039061199357e-07,0.5330578880158793,3.3897247396683654,1.9230206858469187e-05,True,A. thaliana,Zoo_01,WRKY15,WRKY,.
36,M00731_2.00,140,499,5333,27655,4.438662843190018e-07,0.5409081205279993,3.4362528955870038,1.9230206858469187e-05,True,A. thaliana,Chang2013,WRKY14,WRKY,.
37,M07388_2.00,104,499,3640,27655,4.6841740629807775e-07,0.6630736993210605,4.196836774475694,1.9509941004979483e-05,True,A. thaliana,OMalley2016,WRKY25,WRKY,.
38,M07409_2.00,101,499,3504,27655,4.746648154673736e-07,0.6757811394166483,4.273378370777759,1.9509941004979483e-05,True,A. thaliana,OMalley2016,WRKY31,WRKY,.
39,M07384_2.00,111,499,3966,27655,4.871201308494593e-07,0.633303620387285,3.9976429251908754,1.952133924379208e-05,True,A. thaliana,OMalley2016,WRKY15,WRKY,.
40,M02560_2.00,131,499,4915,27655,5.204783796916143e-07,0.5628040165755342,3.536433802398405,2.0349435186479458e-05,True,A. thaliana,Zoo_01,WRKY18,WRKY,.
41,M07419_2.00,113,499,4076,27655,5.943079446632817e-07,0.6195973425154009,3.85760590688014,2.2682753221315252e-05,True,A. thaliana,OMalley2016,WRKY26,WRKY,.
42,M07430_2.00,76,499,2417,27655,6.584376243390854e-07,0.8012824719440301,4.9531158701073785,2.454594213524544e-05,True,A. thaliana,OMalley2016,WRKY27,WRKY,.
43,M07420_2.00,103,499,3640,27655,8.215159727530809e-07,0.649134508363187,3.950232743348759,2.9929320552799746e-05,True,A. thaliana,OMalley2016,WRKY75,WRKY,.
44,M07160_2.00,175,499,7132,27655,8.413308950920715e-07,0.44347684047336083,2.694136512793625,2.99700761073909e-05,True,A. thaliana,OMalley2016,NAC002,NAC/NAM,.
45,M07426_2.00,95,499,3282,27655,9.017128067141652e-07,0.681852801083262,4.12175365437732,3.138616511183917e-05,True,A. thaliana,OMalley2016,WRKY24,WRKY,.
46,M07410_2.00,106,499,3789,27655,9.309808951316002e-07,0.6326757463205177,3.8157049001913093,3.138616511183917e-05,True,A. thaliana,OMalley2016,WRKY29,WRKY,.
47,M02552_2.00,112,499,4071,27655,9.594024269994506e-07,0.608544132183621,3.662218092877279,3.138616511183917e-05,True,A. thaliana,Zoo_01,WRKY25,WRKY,.
48,M01324_2.00,139,499,5360,27655,9.579918935880877e-07,0.5232805036443996,3.1494360106812023,3.138616511183917e-05,True,C. sativa,TF_Evolution,PK05432.1,WRKY,.
49,M02559_2.00,129,499,4882,27655,1.0102178220226278e-06,0.5503273919081272,3.2995346417248395,3.238758337404545e-05,True,A. thaliana,Zoo_01,WRKY11,WRKY,.
50,M02555_2.00,136,499,5231,27655,1.1320743165210923e-06,0.5269485028383701,3.1333016993078093,3.55826495957512e-05,True,A. thaliana,Zoo_01,WRKY43,WRKY,.
