,Motif_ID,x,N,n,M,pvalues,FoldEn,SScore,FDR,clasification,speciesOrigin,Bibliography,tf,tffamily,tfsubfamily
0,M07019_2.00,58,497,1689,27655,9.526533413001118e-07,0.9341780623671878,5.624746933151878,0.0015137661593258775,True,A. thaliana,OMalley2016,KAN2,Myb/SANT,G2-like
1,M07377_2.00,61,497,2058,27655,3.734200810566978e-05,0.7218607507099193,3.196256714735593,0.003947262975327845,True,A. thaliana,OMalley2016,WRKY6,WRKY,.
2,M06705_2.00,113,497,4555,27655,5.7741033914581736e-05,0.46509430376677596,1.9713093893767424,0.003947262975327845,True,A. thaliana,OMalley2016,VRN1,B3,REM
3,M06906_2.00,46,497,1436,27655,5.785057265000733e-05,0.8338726022749628,3.5336955372836187,0.003947262975327845,True,A. thaliana,OMalley2016,WUS,Homeodomain,HD-WOX
4,M07410_2.00,80,497,2914,27655,3.3550636521390015e-05,0.6112936128638511,2.735110545007532,0.003947262975327845,True,A. thaliana,OMalley2016,WRKY29,WRKY,.
5,M06703_2.00,124,497,5023,27655,3.069153363671944e-05,0.4580134307560472,2.0670060983503546,0.003947262975327845,True,A. thaliana,OMalley2016,REM19,B3,REM
6,M07392_2.00,70,497,2453,27655,3.3100002353810375e-05,0.667102178428366,2.988732484483491,0.003947262975327845,True,A. thaliana,OMalley2016,WRKY55,WRKY,.
7,M02548_2.00,103,497,3987,27655,2.8327273497648023e-05,0.5235633172268892,2.38105875372763,0.003947262975327845,True,A. thaliana,Zoo_01,WRKY40,WRKY,.
8,M07379_2.00,81,497,2998,27655,4.983441408205307e-05,0.5882160149777667,2.530782136479401,0.003947262975327845,True,A. thaliana,OMalley2016,WRKY40,WRKY,.
9,M07385_2.00,66,497,2318,27655,5.7499863785242274e-05,0.6638799483929831,2.815072175452268,0.003947262975327845,True,A. thaliana,OMalley2016,WRKY17,WRKY,.
10,M06724_2.00,38,497,1104,27655,5.961882404522863e-05,0.937553736706418,3.960805074310681,0.003947262975327845,True,A. thaliana,OMalley2016,BHLH122,bHLH,.
11,M08180_2.00,83,497,2997,27655,1.8092912502783196e-05,0.6238867428743516,2.9587775856814593,0.003947262975327845,True,A. thaliana,JASPAR,WRKY40,WRKY,.
12,M07408_2.00,56,497,1836,27655,3.663780316134763e-05,0.7631552586847976,3.3854105871677542,0.003947262975327845,True,A. thaliana,OMalley2016,WRKY31,WRKY,.
13,M02567_2.00,97,497,3769,27655,5.4882295589640344e-05,0.5180974425637723,2.2073892455420645,0.003947262975327845,True,A. thaliana,Zoo_01,WRKY2,WRKY,.
14,M07382_2.00,92,497,3505,27655,4.367261667736339e-05,0.5465139072000288,2.38268629715269,0.003947262975327845,True,A. thaliana,OMalley2016,WRKY59,WRKY,.
