,Motif_ID,x,N,n,M,pvalues,FoldEn,SScore,FDR,clasification,speciesOrigin,Bibliography,tf,tffamily,tfsubfamily
0,M06837_2.00,205,500,9167,27655,3.87617818998284e-05,0.30671457829703025,1.3531008884695983,0.030324025681283607,True,A. thaliana,OMalley2016,CDF5,Dof,.
1,M01776_2.00,35,500,961,27655,4.4139775373047464e-05,1.010358833112417,4.400284359266279,0.030324025681283607,True,A. thaliana,Zoo_01,ABI5,bZIP,.
2,M07034_2.00,42,500,3633,27655,0.0002325043891186327,-0.6451597906955242,-2.3442325150474987,0.04255507939768482,True,A. thaliana,OMalley2016,AT1G72740,Myb/SANT,MYB-related
3,M01846_2.00,29,500,765,27655,9.55145915057619e-05,1.0681334944887586,4.293822174752174,0.04255507939768482,True,O. tauri,Zoo_01,1500010105,bZIP,.
4,1.FD-MEME,34,500,1017,27655,0.00024777338805056663,0.8868273143340398,3.1978508220297126,0.04255507939768482,True,.,.,1.FD-MEME,.,.
5,M01056_2.00,31,500,870,27655,0.0001608153340249894,0.9787931565919852,3.713220723312395,0.04255507939768482,True,A. thaliana,Stam_Arabidopsis,ABF4,bZIP,.
6,M08404_2.00,25,500,652,27655,0.0002270199468327779,1.0845964724848478,3.952200112440776,0.04255507939768482,True,A. thaliana,JASPAR,PIF1,bHLH,.
7,M06838_2.00,236,500,11044,27655,0.0001455247638250922,0.24113631371497235,0.9252552506703335,0.04255507939768482,True,A. thaliana,OMalley2016,CDF5,Dof,.
8,M01773_2.00,28,500,794,27655,0.00036333172202765337,0.963828161855847,3.3152765311117833,0.046488969649738796,True,A. thaliana,Zoo_01,ABF1,bZIP,.
9,M01772_2.00,25,500,676,27655,0.00037218243533269777,1.032445190433741,3.540506605420534,0.046488969649738796,True,A. thaliana,Zoo_01,ABF1,bZIP,.
10,M06851_2.00,229,500,10825,27655,0.0003425531198217349,0.22659282053669508,0.7852057728949188,0.046488969649738796,True,A. thaliana,OMalley2016,DOF3.4,Dof,.
11,M06854_2.00,184,500,8460,27655,0.00042674232671576325,0.2665884449909012,0.8983588803751206,0.048861996408954896,True,A. thaliana,OMalley2016,OBP3,Dof,.
12,M06839_2.00,232,500,11093,27655,0.000579496446422825,0.21008747062434785,0.6800424747710823,0.054749361523774014,True,A. thaliana,OMalley2016,DOF2.2,Dof,.
13,M06737_2.00,18,500,433,27655,0.0006267293765367718,1.201170223656788,3.84725207058359,0.054749361523774014,True,A. thaliana,OMalley2016,BHLH104,bHLH,.
14,M06868_2.00,204,500,9615,27655,0.0006773938470918182,0.23082263668543643,0.7315135793175284,0.054749361523774014,True,A. thaliana,OMalley2016,DOF5.8,Dof,.
15,1.PIF4.MEME,18,500,433,27655,0.0006267293765367718,1.201170223656788,3.84725207058359,0.054749361523774014,True,.,.,1.PIF4.MEME,.,.
16,M07089_2.00,25,500,707,27655,0.0006713491179994027,0.9677582219065264,3.07074675247641,0.054749361523774014,True,A. thaliana,OMalley2016,MYB30,Myb/SANT,R2R3-MYB
17,M06911_2.00,36,500,1186,27655,0.0008458576940002059,0.7475051438375091,2.2968610707097623,0.0645671373086824,True,A. thaliana,OMalley2016,ATHB-7,Homeodomain,HD-ZIP
18,1.FDP-MEME,30,500,938,27655,0.0009878009953698031,0.8229149200343423,2.4731313414551837,0.0714336088230584,True,.,.,1.FDP-MEME,.,.
19,M07045_2.00,22,500,622,27655,0.0012894845109159168,0.9681292854478952,2.7974907674707716,0.07382298824993624,True,A. thaliana,OMalley2016,EFM,Myb/SANT,G2-like
20,M06702_2.00,141,500,6378,27655,0.001077691215936667,0.29013140708773305,0.8609665918013109,0.07382298824993624,True,A. thaliana,OMalley2016,REM19,B3,REM
21,M01161_2.00,30,500,954,27655,0.0012448644834998246,0.7985135765442074,2.319584460106444,0.07382298824993624,True,C. sativa,TF_Evolution,PK24205.1,bZIP,.
22,M06828_2.00,15,500,350,27655,0.0012260456519812236,1.24514792071739,3.625239901519754,0.07382298824993624,True,A. thaliana,OMalley2016,EICBP.B,CG-1,.
23,M06735_2.00,23,500,662,27655,0.0012767360768214198,0.9423429861909958,2.727045302470591,0.07382298824993624,True,A. thaliana,OMalley2016,BHLH34,bHLH,.
24,M01061_2.00,36,500,1228,27655,0.0014341596493180808,0.6972985930133335,1.982700563122237,0.0752317471778402,True,A. thaliana,Stam_Arabidopsis,IDD2,C2H2 ZF,.
25,M01771_2.00,26,500,794,27655,0.0014482997470605422,0.8569129579393349,2.432897179478113,0.0752317471778402,True,A. thaliana,Zoo_01,ABF2,bZIP,.
26,M09540_2.00,14,500,321,27655,0.001478353110481576,1.2703938718765015,3.595496456938548,0.0752317471778402,True,A. thaliana,HOMER,FHY3,FAR1,.
27,M06809_2.00,103,500,4487,27655,0.001545921000222196,0.34443349544807367,0.9681380444136368,0.0758605519394749,True,A. thaliana,OMalley2016,IDD4,C2H2 ZF,.
28,1.PIF1.MEME1,21,500,613,27655,0.0022517024309674544,0.9220425960291795,2.4410976335697367,0.07822243550754887,True,.,.,1.PIF1.MEME1,.,.
29,M06822_2.00,79,500,3331,27655,0.00215949972099864,0.3915095464439524,1.0436261883330042,0.07822243550754887,True,A. thaliana,OMalley2016,NUC,C2H2 ZF,.
30,M07334_2.00,147,500,6837,27655,0.002217088975929152,0.24999307179111147,0.6635358304024311,0.07822243550754887,True,A. thaliana,OMalley2016,AtIDD11,C2H2 ZF,.
31,M07337_2.00,79,500,3295,27655,0.001697616643376452,0.40718643522288933,1.1279717283417101,0.07822243550754887,True,A. thaliana,OMalley2016,ZHD9,Homeodomain,HD-ZF
32,M06863_2.00,251,500,12426,27655,0.002102035028379423,0.15993765195030446,0.4282106800065165,0.07822243550754887,True,A. thaliana,OMalley2016,DOF5.1,Dof,.
33,M06984_2.00,9,500,1107,27655,0.002434072728363671,-1.1530460683980395,-3.013677823701616,0.07822243550754887,True,A. thaliana,OMalley2016,SVP,MADS box,.
34,M07270_2.00,32,500,1089,27655,0.002310082634998602,0.7006801982242937,1.8472539950240803,0.07822243550754887,True,A. thaliana,OMalley2016,AT1G66420,Storekeeper,.
35,M07249_2.00,5,500,822,27655,0.0018209561181430078,-1.5715980518531198,-4.305707999604227,0.07822243550754887,True,A. thaliana,OMalley2016,RKD2,RWP-RK,.
36,M01826_2.00,25,500,766,27655,0.0018010468198464502,0.852124044790968,2.3386331354030236,0.07822243550754887,True,Oryza sativa,Zoo_01,OS02G0728001,bZIP,.
37,M01158_2.00,25,500,786,27655,0.0024261963319898616,0.8149391244573186,2.1311261633717815,0.07822243550754887,True,C. sativa,TF_Evolution,PK18009.1,bZIP,.
38,M06880_2.00,14,500,341,27655,0.0024480092626088805,1.1831954299746323,3.089544458086271,0.07822243550754887,True,A. thaliana,OMalley2016,FAR1,FAR1,.
39,M06805_2.00,122,500,5527,27655,0.00219084560048974,0.2879248772899257,0.7657040292702841,0.07822243550754887,True,A. thaliana,OMalley2016,SGR5,C2H2 ZF,.
40,M06816_2.00,80,500,3389,27655,0.002274515792594879,0.38475261034456854,1.0169438733773006,0.07822243550754887,True,A. thaliana,OMalley2016,IDD2,C2H2 ZF,.
41,1.ABF4-MEME,29,500,952,27655,0.002190410757233549,0.7526316687608291,2.0016046830640923,0.07822243550754887,True,.,.,1.ABF4-MEME,.,.
42,M06823_2.00,69,500,2849,27655,0.0023848191718922967,0.42175298739551864,1.1060659966879038,0.07822243550754887,True,A. thaliana,OMalley2016,NUC,C2H2 ZF,.
43,M06825_2.00,86,500,3715,27655,0.0026406662338485164,0.3565866962173397,0.9193826605986692,0.08246080466608775,True,A. thaliana,OMalley2016,IDD1,C2H2 ZF,.
44,M06704_2.00,75,500,3178,27655,0.0029242966208577583,0.3843837180885624,0.9740201072096185,0.08928852349019022,True,A. thaliana,OMalley2016,VRN1,B3,REM
45,M06699_2.00,78,500,3348,27655,0.0032964273636582396,0.3657868432531049,0.9078670293625063,0.08929587556793077,True,A. thaliana,OMalley2016,HMGB9,HMGBox,.
46,M07033_2.00,42,500,3230,27655,0.0035456643696089294,-0.47553258986132646,-1.1651986352001449,0.08929587556793077,True,A. thaliana,OMalley2016,AT1G72740,Myb/SANT,MYB-related
47,M01251_2.00,29,500,985,27655,0.0033176805414114664,0.7034695177250341,1.7440173124980358,0.08929587556793077,True,C. sativa,TF_Evolution,PK20392.1,Homeodomain,HD-ZIP
48,M00856_2.00,11,500,246,27655,0.003574434611525613,1.3063855502392578,3.196454553556812,0.08929587556793077,True,A. thaliana,Franco_Zorrilla2014,TGA2,bZIP,.
49,M09781_2.00,16,500,435,27655,0.003516351942476605,1.02459684620511,2.514266053436621,0.08929587556793077,True,A. thaliana,Transfac,PIF3,bHLH,.
50,M06824_2.00,70,500,2946,27655,0.0032807083317306245,0.3942097388503179,0.9792297551996343,0.08929587556793077,True,A. thaliana,OMalley2016,IDD1,C2H2 ZF,.
51,M07153_2.00,28,500,945,27655,0.0035099648595227325,0.7126528398903698,1.7493469531059438,0.08929587556793077,True,A. thaliana,OMalley2016,MYB96,Myb/SANT,R2R3-MYB
52,M01250_2.00,29,500,985,27655,0.0033176805414114664,0.7034695177250341,1.7440173124980358,0.08929587556793077,True,C. sativa,TF_Evolution,PK20392.1,Homeodomain,HD-ZIP
53,M06850_2.00,181,500,8736,27655,0.0032452246432583087,0.19655718310455333,0.4891827183851074,0.08929587556793077,True,A. thaliana,OMalley2016,CDF3,Dof,.
54,M06806_2.00,97,500,4329,27655,0.0035484301551578948,0.3095631939159737,0.7584185999311666,0.08929587556793077,True,A. thaliana,OMalley2016,SGR5,C2H2 ZF,.
55,M01133_2.00,27,500,920,27655,0.004453788071675654,0.6988658881602938,1.6432227128874262,0.08989256558150296,True,A. thaliana,TF_Evolution,DPBF3,bZIP,.
56,M07351_2.00,25,500,824,27655,0.004081144693272776,0.7468240995327069,1.7843255869921835,0.08989256558150296,True,A. thaliana,OMalley2016,GT-3A,Trihelix,.
57,M07271_2.00,26,500,862,27655,0.0037721000660537757,0.7383640959931945,1.7893639509388553,0.08989256558150296,True,A. thaliana,OMalley2016,STKL2,Storekeeper,.
