,Motif_ID,x,N,n,M,pvalues,FoldEn,SScore,FDR,clasification,speciesOrigin,Bibliography,tf,tffamily,tfsubfamily
0,M02516_2.00,130,499,3381,27655,1.035117137045345e-17,1.0914902284011043,18.538972991485366,4.900272017574372e-15,True,Manihot esculenta,Zoo_01,cassava45561.m1,TCP,.
1,M01311_2.00,162,499,4693,27655,6.868673767122516e-18,0.9359119741223886,16.063176175895645,4.900272017574372e-15,True,A. thaliana,TF_Evolution,TCP8,TCP,.
2,1.PIF3.MEME,200,499,6429,27655,1.224302815134134e-17,0.785834270643048,13.290116532086735,4.900272017574372e-15,True,.,.,1.PIF3.MEME,.,.
3,M01158_2.00,201,499,6447,27655,7.437327329534629e-18,0.788996139296016,13.51438594070381,4.900272017574372e-15,True,C. sativa,TF_Evolution,PK18009.1,bZIP,.
4,M00854_2.00,196,499,6312,27655,4.044100015503824e-17,0.7831850703677767,12.838892353447546,1.0791006874702702e-14,True,A. thaliana,Franco_Zorrilla2014,PIF3,bHLH,.
5,M01126_2.00,179,499,5528,27655,3.5908133480366755e-17,0.8436305931420249,13.873342426169044,1.0791006874702702e-14,True,C. sativa,TF_Evolution,PK18401.1,bHLH,.
6,M01714_2.00,185,499,5870,27655,1.2522225549033107e-16,0.8045933887849245,12.794900313761687,2.0048083104002007e-14,True,A. thaliana,Zoo_01,ILR3,bHLH,.
7,M02502_2.00,140,499,3892,27655,1.0612820867841781e-16,0.9953437384298818,15.899789256095005,2.0048083104002007e-14,True,A. thaliana,Zoo_01,TCP20,TCP,.
8,M01128_2.00,199,499,6511,27655,1.1030171283625383e-16,0.7603179136343795,12.132710565731797,2.0048083104002007e-14,True,C. sativa,TF_Evolution,PK20225.1,bHLH,.
9,M02511_2.00,129,499,3444,27655,1.149444800282145e-16,1.0537145442924372,16.7956954968691,2.0048083104002007e-14,True,G. max,Zoo_01,GLYMA19G26560,TCP,.
10,M01317_2.00,122,499,3172,27655,1.409412099744349e-16,1.0919169981249348,17.307934849261585,2.051335246991548e-14,True,C. sativa,TF_Evolution,PK14653.1,TCP,.
11,M06781_2.00,169,499,5191,27655,2.735299250582378e-16,0.851439380156383,13.250946946881973,3.6493450834853227e-14,True,A. thaliana,OMalley2016,BZIP11,bZIP,.
12,GBF2-MEME,184,499,5902,27655,4.812455496168334e-16,0.7889304668910326,12.084547570255545,5.706309459813965e-14,True,.,.,GBF2-MEME,.,.
13,M01778_2.00,193,499,6321,27655,4.989902088531887e-16,0.7588766539956451,11.612260724565019,5.706309459813965e-14,True,A. thaliana,Zoo_01,BZIP17,bZIP,.
14,M01700_2.00,210,499,7136,27655,5.857047868484789e-16,0.7057023340118448,10.749484641998242,6.251422424962765e-14,True,A. thaliana,Zoo_01,BPE,bHLH,.
15,M09452_2.00,180,499,5744,27655,7.425932812794033e-16,0.7963697787726505,12.048476666730453,6.993481431343086e-14,True,A. thaliana,HOMER,PIF5,bHLH,.
16,ACGTGB-ANAC102-DREME,211,499,7196,27655,7.05706584205872e-16,0.7004764337217297,10.613181707797661,6.993481431343086e-14,True,.,.,ACGTGB-ANAC102-DREME,.,.
