,Motif_ID,x,N,n,M,pvalues,FoldEn,SScore,FDR,clasification,speciesOrigin,Bibliography,tf,tffamily,tfsubfamily
0,M06714_2.00,104,499,3633,27655,4.293839135131609e-07,0.6658507839916341,4.23957463587572,0.00017443566416035507,True,A. thaliana,OMalley2016,ARF2,B3,ARF
1,M06795_2.00,258,499,11453,27655,6.615764759558346e-07,0.32014604462777535,1.9783168536881832,0.00017443566416035507,True,A. thaliana,OMalley2016,MGP,C2H2 ZF,.
2,M01275_2.00,213,499,9056,27655,6.540355313515074e-07,0.38240809365998285,2.364964101012965,0.00017443566416035507,True,C. sativa,TF_Evolution,PK01261.1,Myb/SANT,MYB
3,M06900_2.00,267,499,11895,27655,4.5622546080496024e-07,0.3149849966410838,1.9972633180642565,0.00017443566416035507,True,A. thaliana,OMalley2016,ATHB-13,Homeodomain,HD-ZIP
4,M06761_2.00,96,499,3218,27655,2.1498435462712758e-07,0.725370606263737,4.8364760815357295,0.00017443566416035507,True,A. thaliana,OMalley2016,AtbZIP48,bZIP,.
5,M06902_2.00,225,499,9595,27655,3.07208459305275e-07,0.37807081640032153,2.4622114581755747,0.00017443566416035507,True,A. thaliana,OMalley2016,ATHB-X,Homeodomain,HD-ZIP
6,M06915_2.00,264,499,11839,27655,1.0478080877152303e-06,0.305491229497437,1.8267514813670338,0.00023680462782364205,True,A. thaliana,OMalley2016,HAT5,Homeodomain,HD-ZIP
7,M06815_2.00,316,499,14763,27655,1.3141352900899356e-06,0.24643916259183424,1.4493974140550394,0.0002477453299228112,True,A. thaliana,OMalley2016,IDD2,C2H2 ZF,.
8,M02041_2.00,303,499,14038,27655,1.409423495136094e-06,0.25848091130014705,1.5123610832693837,0.0002477453299228112,True,A. thaliana,Zoo_01,ATHB-22,Homeodomain,HD-ZIP
9,M01832_2.00,95,499,3379,27655,2.941293398707666e-06,0.6398316894331734,3.5392044536835168,0.00033236615405396626,True,P. patens,Zoo_01,estExt_Genewise1.C_2060077,bZIP,.
10,M01162_2.00,97,499,3467,27655,2.80056776271656e-06,0.6327974372503212,3.513768446872887,0.00033236615405396626,True,C. sativa,TF_Evolution,PK24978.1,bZIP,.
11,M06903_2.00,190,499,8010,27655,2.1950480009090538e-06,0.39462579730090225,2.2330121644869383,0.00033236615405396626,True,A. thaliana,OMalley2016,ATHB-X,Homeodomain,HD-ZIP
12,M07181_2.00,78,499,2603,27655,2.676676855776501e-06,0.7317993387241631,4.077881603460879,0.00033236615405396626,True,A. thaliana,OMalley2016,NAC029,NAC/NAM,.
13,M02683_2.00,189,499,7967,27655,2.3525345665230583e-06,0.39477828090634626,2.221995336784971,0.00033236615405396626,True,A. thaliana,JASPAR,HAT5,Homeodomain,HD-ZIP
14,M06764_2.00,104,499,3808,27655,3.3341231967068065e-06,0.5979786710991755,3.2751401586562694,0.0003351924943090424,True,A. thaliana,OMalley2016,BZIP16,bZIP,.
15,M06696_2.00,231,499,10225,27655,3.601942100666068e-06,0.3242925349656111,1.765274503636692,0.0003351924943090424,True,A. thaliana,OMalley2016,HMGB15,HMGBox,.
16,M06797_2.00,294,499,13664,27655,3.5807302905358943e-06,0.2539368014819013,1.3829470301085462,0.0003351924943090424,True,A. thaliana,OMalley2016,AT1G14580,C2H2 ZF,.
17,M06779_2.00,92,499,3273,27655,4.2785604131129005e-06,0.6395207852782764,3.4333967309083575,0.0003589297063922865,True,A. thaliana,OMalley2016,BZIP53,bZIP,.
18,M07176_2.00,76,499,2552,27655,4.430172579058573e-06,0.7228716159447433,3.869950559683475,0.0003589297063922865,True,A. thaliana,OMalley2016,NAC018,NAC/NAM,.
19,M06639_2.00,68,499,2202,27655,4.537670118739399e-06,0.7752208039519974,4.142134279258763,0.0003589297063922865,True,A. thaliana,OMalley2016,DREB1C,AP2,DREB
20,M06771_2.00,99,499,3615,27655,5.220489822811002e-06,0.6019334045071565,3.17958604879761,0.0003932768999850955,True,A. thaliana,OMalley2016,GBF3,bZIP,.
21,M07009_2.00,257,499,11699,27655,6.036919650445332e-06,0.28388366864006964,1.481641272816728,0.0003979336202918548,True,A. thaliana,OMalley2016,RVE7,Myb/SANT,MYB-related
22,M06701_2.00,107,499,3998,27655,5.614857364855532e-06,0.5687609459225462,2.986371071620355,0.0003979336202918548,True,A. thaliana,OMalley2016,ARF5,B3,ARF
23,M06908_2.00,264,499,12076,27655,5.82999031718083e-06,0.2768957941108553,1.4493645618952826,0.0003979336202918548,True,A. thaliana,OMalley2016,ATHB-21,Homeodomain,HD-ZIP
24,M06822_2.00,325,499,15501,27655,6.429506018250157e-06,0.21657895503582741,1.1244394685703805,0.00040685914083487,True,A. thaliana,OMalley2016,NUC,C2H2 ZF,.
25,M02366_2.00,73,499,6094,27655,6.910123918877569e-06,-0.5909925095404412,-3.0498252165239035,0.0004204544630640121,True,O. tauri,Zoo_01,estExt_fgenesh1_pg.C_Chr_13.00010057,Myb/SANT,MYB-related
