,Motif_ID,x,N,n,M,pvalues,FoldEn,SScore,FDR,clasification,speciesOrigin,Bibliography,tf,tffamily,tfsubfamily
0,M01120_2.00,184,500,5048,27655,2.4961012420113737e-23,1.0115341980156642,22.863442257146083,3.9513282661040046e-20,True,C. sativa,TF_Evolution,PK05451.1,bHLH,.
1,M01712_2.00,184,500,5179,27655,4.774279289009612e-22,0.9745725498673651,20.778951170781475,3.7788420572511083e-19,True,A. thaliana,Zoo_01,MYC3,bHLH,.
2,M01776_2.00,200,500,5908,27655,8.248379876163732e-22,0.9048705159511361,19.077956374167744,4.352395114655729e-19,True,A. thaliana,Zoo_01,ABI5,bZIP,.
3,M06720_2.00,191,500,5542,27655,1.6529232766206233e-21,0.9307062694955323,19.34170250738213,6.541443867226118e-19,True,A. thaliana,OMalley2016,BHLH74,bHLH,.
4,M01123_2.00,184,500,5295,27655,5.8278691610673946e-21,0.9426154241185144,19.073342568243646,1.5375861469949476e-18,True,C. sativa,TF_Evolution,PK07858.1,bHLH,.
5,M01698_2.00,184,500,5295,27655,5.8278691610673946e-21,0.9426154241185144,19.073342568243646,1.5375861469949476e-18,True,A. thaliana,Zoo_01,BHLH13,bHLH,.
6,M06727_2.00,178,500,5082,27655,1.6013744529533877e-20,0.9540212078542435,18.8853335975982,3.621393941464589e-18,True,A. thaliana,OMalley2016,BIM2,bHLH,.
7,M01700_2.00,155,500,4131,27655,2.4804308673261002e-20,1.0533174973593176,20.650787620905867,4.3628022921969075e-18,True,A. thaliana,Zoo_01,BPE,bHLH,.
8,M01119_2.00,154,500,4088,27655,2.369139499050059e-20,1.0590754966984806,20.7847901727483,4.3628022921969075e-18,True,C. sativa,TF_Evolution,PK03576.1,bHLH,.
9,M01832_2.00,214,500,6757,27655,4.8152653681097135e-20,0.8087682835604951,15.623284082717209,5.596089539486082e-18,True,P. patens,Zoo_01,estExt_Genewise1.C_2060077,bZIP,.
10,M01768_2.00,164,500,4532,27655,4.528660248056579e-20,1.0010882957387683,19.365082285706073,5.596089539486082e-18,True,C. sativa,Zoo_01,PK18474.1,bHLH,.
11,1.PIF4.MEME,197,500,5978,27655,4.9491632061152965e-20,0.8660730747194822,16.71994622403799,5.596089539486082e-18,True,.,.,1.PIF4.MEME,.,.
12,M00722_2.00,164,500,4532,27655,4.528660248056579e-20,1.0010882957387683,19.365082285706073,5.596089539486082e-18,True,A. thaliana,Chang2013,PIF3,bHLH,.
13,M01758_2.00,164,500,4532,27655,4.528660248056579e-20,1.0010882957387683,19.365082285706073,5.596089539486082e-18,True,P. patens,Zoo_01,gw1.270.82.1,bHLH,.
