,Motif_ID,x,N,n,M,pvalues,FoldEn,SScore,FDR,clasification,speciesOrigin,Bibliography,tf,tffamily,tfsubfamily
0,M06738_2.00,44,500,899,27655,1.901264516921714e-09,1.4367227500640505,12.529597980687182,2.6560665301396344e-06,True,A. thaliana,OMalley2016,LRL2,bHLH,.
1,M06720_2.00,45,500,973,27655,6.7339600652177275e-09,1.3550255384897636,11.072902116619309,4.175582242865028e-06,True,A. thaliana,OMalley2016,BHLH74,bHLH,.
2,M06713_2.00,339,500,15435,27655,8.966891001141794e-09,0.28069203757505745,2.2588293448133845,4.175582242865028e-06,True,A. thaliana,OMalley2016,AT5G60130,B3,REM
3,M08404_2.00,53,500,1392,27655,1.6751552230281152e-07,1.0744453956556712,7.28038284653399,2.33257716341302e-05,True,A. thaliana,JASPAR,PIF1,bHLH,.
4,M06863_2.00,389,500,18733,27655,1.4644969756739164e-07,0.19980044361155283,1.3654984736435836,2.33257716341302e-05,True,A. thaliana,OMalley2016,DOF5.1,Dof,.
5,M06728_2.00,41,500,940,27655,1.4489230721205025e-07,1.2705034949942846,8.688915812852564,2.33257716341302e-05,True,A. thaliana,OMalley2016,BIM2,bHLH,.
6,M01771_2.00,60,500,1644,27655,1.0667117272128003e-07,1.013364448868036,7.0651292387852305,2.33257716341302e-05,True,A. thaliana,Zoo_01,ABF2,bZIP,.
7,1.FD-MEME,70,500,2079,27655,1.8366749318212756e-07,0.8970774110277973,6.042684466437945,2.33257716341302e-05,True,.,.,1.FD-MEME,.,.
8,M06743_2.00,48,500,1201,27655,1.6454843332369635e-07,1.1444105019567226,7.763344672739205,2.33257716341302e-05,True,A. thaliana,OMalley2016,BHLH72,bHLH,.
9,M06726_2.00,51,500,1306,27655,1.3603583395206232e-07,1.1109545973662653,7.628199407530691,2.33257716341302e-05,True,A. thaliana,OMalley2016,BPE,bHLH,.
10,1.PIF3.MEME,47,500,1164,27655,1.6599396481510608e-07,1.159181945710554,7.859146601382669,2.33257716341302e-05,True,.,.,1.PIF3.MEME,.,.
11,M01712_2.00,26,500,455,27655,2.197622387366586e-07,1.660185419996234,11.053592437790858,2.5583987292926005e-05,True,A. thaliana,Zoo_01,MYC3,bHLH,.
12,M06838_2.00,363,500,17256,27655,2.986439147267355e-07,0.21848371377649703,1.4255726580350914,3.2092734528711506e-05,True,A. thaliana,OMalley2016,CDF5,Dof,.
13,M06851_2.00,360,500,17114,27655,3.954774447570343e-07,0.21843215802512855,1.3985945203933894,3.946299930896978e-05,True,A. thaliana,OMalley2016,DOF3.4,Dof,.
