,Motif_ID,x,N,n,M,pvalues,FoldEn,SScore,FDR,clasification,speciesOrigin,Bibliography,tf,tffamily,tfsubfamily
0,M06764_2.00,110,499,2680,27655,7.600670486737953e-17,1.1856991444455518,19.112460105560476,1.21762741197542e-13,True,A. thaliana,OMalley2016,BZIP16,bZIP,.
1,M06763_2.00,94,499,2187,27655,1.338741255547611e-15,1.252208062895571,18.624470380387745,7.17349408003871e-13,True,A. thaliana,OMalley2016,BZIP2,bZIP,.
2,M06791_2.00,103,499,2524,27655,1.3433509513181105e-15,1.1773610484666965,17.509490417935794,7.17349408003871e-13,True,A. thaliana,OMalley2016,AtbZIP3,bZIP,.
3,M01827_2.00,129,499,3597,27655,3.269614545347117e-15,0.9910055275539013,14.355213981682788,9.39763492456275e-13,True,Oryza sativa,Zoo_01,OS02G0728001,bZIP,.
4,M06752_2.00,116,499,3063,27655,2.9130800540755252e-15,1.0696080597946414,15.547445806333574,9.39763492456275e-13,True,A. thaliana,OMalley2016,BZIP68,bZIP,.
5,1.ABF4-MEME,133,499,3784,27655,4.978168854118759e-15,0.9619427784278215,13.758600586200494,9.39763492456275e-13,True,.,.,1.ABF4-MEME,.,.
6,M06770_2.00,132,499,3745,27655,5.279570182338623e-15,0.9660008322783672,13.791981666651193,9.39763492456275e-13,True,A. thaliana,OMalley2016,GBF3,bZIP,.
7,M06765_2.00,104,499,2603,27655,3.7660706199097945e-15,1.146836838003007,16.54210247013227,9.39763492456275e-13,True,A. thaliana,OMalley2016,BZIP16,bZIP,.
8,M06771_2.00,105,499,2652,27655,4.865851970869775e-15,1.1337371738195618,16.22700002634955,9.39763492456275e-13,True,A. thaliana,OMalley2016,GBF3,bZIP,.
9,M06762_2.00,93,499,2214,27655,7.710154611203474e-15,1.219076020592506,17.204742970753813,1.2351667687147966e-12,True,A. thaliana,OMalley2016,BZIP2,bZIP,.
10,M06755_2.00,97,499,2385,27655,1.318514485193101e-14,1.1724960075602808,16.274145033796746,1.819037157831787e-12,True,A. thaliana,OMalley2016,ABF2,bZIP,.
11,M06766_2.00,102,499,2578,27655,1.3625746500612637e-14,1.1327455098758719,15.706241106212017,1.819037157831787e-12,True,A. thaliana,OMalley2016,ABI5,bZIP,.
12,M06781_2.00,120,499,3316,27655,2.1676369926923358e-14,1.004019020378795,13.718929394462434,2.6711957402254783e-12,True,A. thaliana,OMalley2016,BZIP11,bZIP,.
13,M06772_2.00,119,499,3280,27655,2.407043850611147e-14,1.0076943800685243,13.723302035897557,2.7543458919136123e-12,True,A. thaliana,OMalley2016,BZIP28,bZIP,.
14,1.GBF3-MEME1,127,499,3651,27655,5.3890646058443147e-14,0.9469654496033082,12.564798388109343,5.755520999041728e-12,True,.,.,1.GBF3-MEME1,.,.
15,1.ABF3-MEME,135,499,4006,27655,7.256850831589466e-14,0.9012256075041503,11.841430189191602,7.265921895128952e-12,True,.,.,1.ABF3-MEME,.,.
16,M01826_2.00,139,499,4189,27655,8.831859563258359e-14,0.8789076201230112,11.473214233959935,8.322728835494054e-12,True,Oryza sativa,Zoo_01,OS02G0728001,bZIP,.
17,M01161_2.00,135,499,4038,27655,1.3166181596237312e-13,0.8897471179853848,11.460423484690404,1.1717901620651208e-11,True,C. sativa,TF_Evolution,PK24205.1,bZIP,.
18,M06777_2.00,94,499,2377,27655,1.8675920371359623e-13,1.1320193800012297,14.409155443221923,1.5746749702588482e-11,True,A. thaliana,OMalley2016,DPBF3,bZIP,.
19,2.ABF1-MEME,130,499,3847,27655,2.0335854405744913e-13,0.9052064149978665,11.488642271358804,1.6289019379001676e-11,True,.,.,2.ABF1-MEME,.,.
20,M06778_2.00,98,499,2538,27655,2.1413220878457876e-13,1.0975902065401295,13.90571936386407,1.6335228498709295e-11,True,A. thaliana,OMalley2016,DPBF3,bZIP,.
21,GBF2-MEME,129,499,3810,27655,2.261620792930326e-13,0.9080086893085965,11.482296713550364,1.6468711410338102e-11,True,.,.,GBF2-MEME,.,.
22,1.FD-MEME,113,499,3145,27655,2.4492842728134363e-13,0.9936913769145631,12.531403007686398,1.705979741324837e-11,True,.,.,1.FD-MEME,.,.
23,M01164_2.00,136,499,4145,27655,4.1809692221198774e-13,0.8626631711332537,10.67866846317671,2.6791650775344174e-11,True,C. sativa,TF_Evolution,PK27149.1,bZIP,.
24,M01056_2.00,127,499,3785,27655,6.959347144494033e-13,0.8949638181650987,10.880461313954534,4.2880285097997846e-11,True,A. thaliana,Stam_Arabidopsis,ABF4,bZIP,.
25,1.FDP-MEME,122,499,3591,27655,9.887334057425135e-13,0.9129241161642553,10.959581703976932,5.866484874072247e-11,True,.,.,1.FDP-MEME,.,.
26,M01832_2.00,140,499,4381,27655,1.1997721630455307e-12,0.8245952338880429,9.829918328610459,6.406783350663134e-11,True,P. patens,Zoo_01,estExt_Genewise1.C_2060077,bZIP,.
27,ACGTGKV-ZAT6-DREME,132,499,4030,27655,1.184832938513641e-12,0.8601867122091509,10.258881671378475,6.406783350663134e-11,True,.,.,ACGTGKV-ZAT6-DREME,.,.
28,M06767_2.00,87,499,2207,27655,2.0326500590448903e-12,1.1274292978351415,13.181832754101995,1.0504210950290047e-10,True,A. thaliana,OMalley2016,ABI5,bZIP,.
29,M01133_2.00,137,499,4283,27655,2.1429483832582656e-12,0.8259828373355114,9.638384056271203,1.0728135343686693e-10,True,A. thaliana,TF_Evolution,DPBF3,bZIP,.
30,ACGTGB-ANAC102-DREME,145,499,4649,27655,2.5524031984894557e-12,0.7895610957619973,9.153421829567439,1.2390757345394269e-10,True,.,.,ACGTGB-ANAC102-DREME,.,.
31,M01776_2.00,134,499,4167,27655,2.8045344590009514e-12,0.8336525220212505,9.630469995071772,1.25902615687503e-10,True,A. thaliana,Zoo_01,ABI5,bZIP,.
32,M01783_2.00,147,499,4743,27655,2.7315117397757154e-12,0.7804449080228645,9.024750341346369,1.25902615687503e-10,True,A. thaliana,Zoo_01,GBF1,bZIP,.
33,M01846_2.00,128,499,3906,27655,2.8292722626405167e-12,0.8608804823792352,9.941727818867353,1.25902615687503e-10,True,O. tauri,Zoo_01,1500010105,bZIP,.
34,M01787_2.00,139,499,4405,27655,3.7497383124247496e-12,0.8063714851817584,9.213599815453291,1.6235353450012022e-10,True,A. thaliana,Zoo_01,BZIP63,bZIP,.
35,M01132_2.00,145,499,4677,27655,4.002824607636433e-12,0.7808980928620206,8.900390215674362,1.6875065845877806e-10,True,A. thaliana,TF_Evolution,HYH,bZIP,.
36,1.PIF1.MEME1,136,499,4290,27655,5.039882560009741e-12,0.8130576251294584,9.185583225808411,2.0702286823424628e-10,True,.,.,1.PIF1.MEME1,.,.
37,M01058_2.00,136,499,4294,27655,5.3845323598839375e-12,0.8117130816575931,9.147074590707494,2.1565052101335171e-10,True,A. thaliana,Stam_Arabidopsis,DPBF3,bZIP,.
38,M01154_2.00,120,499,3603,27655,5.893360483511467e-12,0.8842643754477552,9.929967942370086,2.3027228035574073e-10,True,C. sativa,TF_Evolution,PK05128.1,bZIP,.
39,M01845_2.00,138,499,4400,27655,7.14265581465804e-12,0.797593364632174,8.890087526076883,2.724413003590995e-10,True,O. tauri,Zoo_01,300010311,bZIP,.
40,M08404_2.00,113,499,3332,27655,9.542157537832382e-12,0.9103629933156672,10.03252192469853,3.555008459443599e-10,True,A. thaliana,JASPAR,PIF1,bHLH,.
41,M01770_2.00,146,499,4780,27655,9.942399645092419e-12,0.7593863722779334,8.35515523138307,3.6199373253268303e-10,True,A. thaliana,Zoo_01,BZIP68,bZIP,.
42,1.PIF5,131,499,4116,27655,1.0901402962220516e-11,0.8187524509095089,8.975588158614896,3.8808994545505037e-10,True,.,.,1.PIF5,.,.
43,M06790_2.00,77,499,1925,27655,2.250092037459315e-11,1.1485005264913022,12.229003581181317,7.836190095673527e-10,True,A. thaliana,OMalley2016,HY5,bZIP,.
44,M01703_2.00,119,499,3646,27655,2.676795078684893e-11,0.855075633534836,9.04018869482433,8.93380357511083e-10,True,A. thaliana,Zoo_01,PIF1,bHLH,.
45,M06761_2.00,60,499,1311,27655,2.6572581438318395e-11,1.342795341652791,14.20082110023018,8.93380357511083e-10,True,A. thaliana,OMalley2016,AtbZIP48,bZIP,.
46,M01779_2.00,143,499,4714,27655,2.9006558627679524e-11,0.7494920097942491,7.8977748962928125,9.344215424651295e-10,True,A. thaliana,Zoo_01,GBF3,bZIP,.
47,M01771_2.00,130,499,4132,27655,2.916421792962327e-11,0.8020999904294219,8.450243445596547,9.344215424651295e-10,True,A. thaliana,Zoo_01,ABF2,bZIP,.
