,Motif_ID,x,N,n,M,pvalues,FoldEn,SScore,FDR,clasification,speciesOrigin,Bibliography,tf,tffamily,tfsubfamily
0,M06780_2.00,15,500,263,27655,7.216738839872749e-05,1.6574400432574166,6.8645514898746836,0.021412788562705495,True,A. thaliana,OMalley2016,BZIP53,bZIP,.
1,M06779_2.00,15,500,272,27655,0.0001031941617479783,1.6088961912993798,6.413615082413736,0.021412788562705495,True,A. thaliana,OMalley2016,BZIP53,bZIP,.
2,M06782_2.00,15,500,269,27655,9.177995351521446e-05,1.6248966699930947,6.5601176014358265,0.021412788562705495,True,A. thaliana,OMalley2016,BZIP11,bZIP,.
3,M06757_2.00,15,500,268,27655,8.822449140776618e-05,1.6302698420919464,6.609783714295149,0.021412788562705495,True,A. thaliana,OMalley2016,BZIP44,bZIP,.
4,M08407_2.00,11,500,176,27655,0.00028848734609032266,1.7894684369412006,6.334491418601541,0.033281197775898816,True,A. thaliana,JASPAR,HY5,bZIP,.
5,M06763_2.00,13,500,237,27655,0.00029655937702644316,1.6011649061840336,5.648731001802493,0.033281197775898816,True,A. thaliana,OMalley2016,BZIP2,bZIP,.
6,M06767_2.00,12,500,209,27655,0.0003326311736720972,1.6670718055814737,5.798137507842142,0.033281197775898816,True,A. thaliana,OMalley2016,ABI5,bZIP,.
7,M06790_2.00,12,500,211,27655,0.000360880457810951,1.6533317489551718,5.6918204487061805,0.033281197775898816,True,A. thaliana,OMalley2016,HY5,bZIP,.
8,M06762_2.00,13,500,235,27655,0.0002745174261016105,1.6133912085172928,5.745979983634357,0.033281197775898816,True,A. thaliana,OMalley2016,BZIP2,bZIP,.
9,1.FDP-MEME,12,500,218,27655,0.0004758023406555824,1.6062466128854302,5.336872311304364,0.03949159427441334,True,.,.,1.FDP-MEME,.,.
10,M06772_2.00,11,500,198,27655,0.0007359572954929298,1.619543435498888,5.074268280173712,0.04363175394708084,True,A. thaliana,OMalley2016,BZIP28,bZIP,.
11,M01832_2.00,10,500,166,27655,0.0006911143611155684,1.7363571004816383,5.487669941378597,0.04363175394708084,True,P. patens,Zoo_01,estExt_Genewise1.C_2060077,bZIP,.
12,M06892_2.00,15,500,329,27655,0.0006922268436643297,1.3344152588144775,4.216420700177631,0.04363175394708084,True,A. thaliana,OMalley2016,ZIM,GATA,.
13,M06788_2.00,6,500,60,27655,0.0006406961224026928,2.467540342053838,7.879714780372247,0.04363175394708084,True,A. thaliana,OMalley2016,TGA4,bZIP,.
14,M08404_2.00,7,500,88,27655,0.0008936994095308459,2.1373917403615077,6.516498167837964,0.04945136732737348,True,A. thaliana,JASPAR,PIF1,bHLH,.
15,M06791_2.00,12,500,244,27655,0.0011922995364623112,1.4436936000994705,4.220803723109166,0.05821227148610107,True,A. thaliana,OMalley2016,AtbZIP3,bZIP,.
16,M06778_2.00,11,500,210,27655,0.001151904650926133,1.534654537912375,4.509710454528174,0.05821227148610107,True,A. thaliana,OMalley2016,DPBF3,bZIP,.
