,Motif_ID,x,N,n,M,pvalues,FoldEn,SScore,FDR,clasification,speciesOrigin,Bibliography,tf,tffamily,tfsubfamily
0,M06777_2.00,121,500,2975,27655,3.285033832986498e-18,1.1696577211331267,20.44966416034458,5.239628963613464e-15,True,A. thaliana,OMalley2016,DPBF3,bZIP,.
1,M06755_2.00,120,500,2974,27655,8.677955173574646e-18,1.1581701004973004,19.760214831672464,6.920669250925779e-15,True,A. thaliana,OMalley2016,ABF2,bZIP,.
2,M06778_2.00,124,500,3193,27655,4.117785467470886e-17,1.102967909757982,18.072500111226724,2.046385616251851e-14,True,A. thaliana,OMalley2016,DPBF3,bZIP,.
3,M06752_2.00,140,500,3850,27655,5.132001545459188e-17,1.008108723416541,16.42180200056097,2.046385616251851e-14,True,A. thaliana,OMalley2016,BZIP68,bZIP,.
4,M06757_2.00,85,500,1765,27655,6.860129583171618e-17,1.4134069049203597,22.845839508723948,2.188381337031746e-14,True,A. thaliana,OMalley2016,BZIP44,bZIP,.
5,M06771_2.00,127,500,3342,27655,8.295646353653114e-17,1.0716571056521784,17.233478418454858,2.2052593223461195e-14,True,A. thaliana,OMalley2016,GBF3,bZIP,.
6,M06765_2.00,125,500,3269,27655,9.763798802315527e-17,1.0806190598360215,17.301123056673298,2.2247512985276094e-14,True,A. thaliana,OMalley2016,BZIP16,bZIP,.
7,M06766_2.00,124,500,3239,27655,1.2312111437047622e-16,1.082331994532889,17.219542116885645,2.4547272177613695e-14,True,A. thaliana,OMalley2016,ABI5,bZIP,.
8,M06760_2.00,83,500,1720,27655,1.4965760611205767e-16,1.416315018698665,22.413045247381312,2.652265352763689e-14,True,A. thaliana,OMalley2016,AtbZIP48,bZIP,.
9,M06764_2.00,127,500,3388,27655,2.388765740016024e-16,1.0519349643811677,16.43314543792236,3.477483946981982e-14,True,A. thaliana,OMalley2016,BZIP16,bZIP,.
10,M06761_2.00,82,500,1700,27655,2.398264791022056e-16,1.41570141053422,22.113401663467215,3.477483946981982e-14,True,A. thaliana,OMalley2016,AtbZIP48,bZIP,.
