,Motif_ID,x,N,n,M,pvalues,FoldEn,SScore,FDR,clasification,speciesOrigin,Bibliography,tf,tffamily,tfsubfamily
0,M01770_2.00,126,500,3264,27655,3.376639943125575e-17,1.0943230184696215,18.025158283271022,4.9046697844260977e-14,True,A. thaliana,Zoo_01,BZIP68,bZIP,.
1,M01133_2.00,130,500,3450,27655,6.196676922837773e-17,1.0594556034167613,17.171488121569716,4.9046697844260977e-14,True,A. thaliana,TF_Evolution,DPBF3,bZIP,.
2,M01783_2.00,126,500,3372,27655,4.1481253763889974e-16,1.0473595394990347,16.110639577341942,1.3410688178553888e-13,True,A. thaliana,Zoo_01,GBF1,bZIP,.
3,GBF2-MEME,132,500,3601,27655,2.964239495146259e-16,1.0196806721093736,15.83368989357402,1.3410688178553888e-13,True,.,.,GBF2-MEME,.,.
4,M06767_2.00,135,500,3741,27655,4.2358459186841083e-16,0.9970757834412053,15.328105689826215,1.3410688178553888e-13,True,A. thaliana,OMalley2016,ABI5,bZIP,.
5,M01779_2.00,123,500,3287,27655,9.352580115023407e-16,1.04942720120013,15.771913358618573,2.4675223870136757e-13,True,A. thaliana,Zoo_01,GBF3,bZIP,.
6,M06752_2.00,134,500,3780,27655,2.29964664243276e-15,0.9713871082905381,14.219493685881613,5.200486621387226e-13,True,A. thaliana,OMalley2016,BZIP68,bZIP,.
7,M06765_2.00,127,500,3514,27655,3.802291819939567e-15,0.9992546477049902,14.409206608549095,6.019027950964334e-13,True,A. thaliana,OMalley2016,BZIP16,bZIP,.
8,M01057_2.00,126,500,3468,27655,3.422617169032966e-15,1.006860177219282,14.564878540893119,6.019027950964334e-13,True,A. thaliana,Stam_Arabidopsis,ABF4,bZIP,.
9,M01059_2.00,126,500,3464,27655,3.1412908890945636e-15,1.0085251457143922,14.626531111563123,6.019027950964334e-13,True,A. thaliana,Stam_Arabidopsis,DPBF3,bZIP,.
10,M06771_2.00,129,500,3615,27655,5.597068848364745e-15,0.9809157605259745,13.980050018929763,8.05469089723763e-13,True,A. thaliana,OMalley2016,GBF3,bZIP,.
11,M01781_2.00,110,500,2851,27655,6.129714157563598e-15,1.0935758265279074,15.54251180536694,8.086114592852647e-13,True,A. thaliana,Zoo_01,GBF2,bZIP,.
12,M06766_2.00,130,500,3665,27655,6.667751742360875e-15,0.9722387669484809,13.782476767428125,8.11927000627482e-13,True,A. thaliana,OMalley2016,ABI5,bZIP,.
13,2.ABF1-MEME,121,500,3303,27655,7.96595697438613e-15,1.0187704199302698,14.363401727681355,9.007221350323745e-13,True,.,.,2.ABF1-MEME,.,.
14,M06770_2.00,134,500,3845,27655,8.608012558360845e-15,0.946789744549784,13.316689698025433,9.084322586590145e-13,True,A. thaliana,OMalley2016,GBF3,bZIP,.
15,M01058_2.00,129,500,3655,27655,1.2740198031466661e-14,0.9650400015246551,13.40906080173926,1.260483342738233e-12,True,A. thaliana,Stam_Arabidopsis,DPBF3,bZIP,.
16,M06755_2.00,135,500,3931,27655,2.0382027503537134e-14,0.9256033855679373,12.672206972998332,1.897926443417605e-12,True,A. thaliana,OMalley2016,ABF2,bZIP,.
17,M01161_2.00,118,500,3241,27655,2.900494735057843e-14,1.0098881809852012,13.671389444672194,2.5508239808869807e-12,True,C. sativa,TF_Evolution,PK24205.1,bZIP,.
18,M06772_2.00,133,500,3882,27655,4.0813975916850857e-14,0.9221664697287266,12.347063085632374,3.2304261938187453e-12,True,A. thaliana,OMalley2016,BZIP28,bZIP,.
19,M01832_2.00,121,500,3379,27655,3.9823233646975436e-14,0.9859510390519934,13.21160931944716,3.2304261938187453e-12,True,P. patens,Zoo_01,estExt_Genewise1.C_2060077,bZIP,.
20,1.ABF3-MEME,116,500,3181,27655,4.580843780448401e-14,1.0121847755292595,13.501587903706714,3.2961253202044634e-12,True,.,.,1.ABF3-MEME,.,.
21,M06777_2.00,130,500,3760,27655,4.4867587944278533e-14,0.9353193034046554,12.48470498756617,3.2961253202044634e-12,True,A. thaliana,OMalley2016,DPBF3,bZIP,.
