Parameters,PWMs,1-Ranking
FIMO 4 1kb,ChlP,0.9931012658227847
FIMO 4 1kb,ChlP,0.9931012658227847
FIMO 4 1kb,ChlP,0.9878481012658227
FIMO 4 1kb,ChlP,0.999367088607595
FIMO 4 1kb,ChlP,1.0
FIMO 4 1kb,ChlP,0.9258227848101267
FIMO 4 1kb,ChlP,0.3320886075949367
FIMO 4 1kb,ChlP,0.0
FIMO 4 1kb,ChlP,0.0
FIMO 4 1kb,ChlP,0.9989873417721519
FIMO 4 1kb,ChlP,0.9988607594936709
FIMO 4 1kb,ChlP,0.9998101265822786
FIMO 4 1kb,ChlP,0.9810126582278482
FIMO 4 1kb,ChlP,0.9912658227848101
FIMO 4 1kb,ChlP,0.9005699810006332
FIMO 4 1kb,ChlP,0.0
FIMO 4 1kb,ChlP,0.9931645569620254
FIMO 4 1kb,ChlP,0.9877848101265825
FIMO 4 1kb,ChlP,0.9587974683544302
FIMO 4 1kb,ChlP,0.9695569620253165
FIMO 4 1kb,ChlP,0.9920882869305201
FIMO 4 1kb,ChlP,0.8781012658227848
FIMO 4 1kb,ChlP,0.9713924050632912
FIMO 4 1kb,ChlP,0.9826582278481013
FIMO 4 1kb,ChlP,0.9417721518987342
FIMO 4 1kb,ChlP,0.0
FIMO 4 1kb,ChlP,0.9679746835443039
FIMO 4 1kb,ChlP,0.975
FIMO 4 1kb,ChlP,0.9903164556962025
FIMO 4 1kb,ChlP,0.9845569620253165
FIMO 4 1kb,ChlP,0.9928481012658226
FIMO 4 1kb,ChlP,0.3650632911392405
FIMO 4 1kb,ChlP,0.0
FIMO 4 1kb,ChlP,0.9781604684907128
FIMO 4 1kb,ChlP,0.7341772151898736
FIMO 4 1kb,ChlP,0.0
FIMO 4 1kb,TDTHub,0.9880379746835443
FIMO 4 1kb,TDTHub,0.949620253164557
FIMO 4 1kb,TDTHub,0.9967088607594938
FIMO 4 1kb,TDTHub,0.9987341772151901
FIMO 4 1kb,TDTHub,0.999367088607595
FIMO 4 1kb,TDTHub,0.9676582278481012
FIMO 4 1kb,TDTHub,0.5305063291139241
FIMO 4 1kb,TDTHub,0.9555696202531646
FIMO 4 1kb,TDTHub,0.9924050632911392
FIMO 4 1kb,TDTHub,0.9933544303797467
FIMO 4 1kb,TDTHub,0.9927848101265824
FIMO 4 1kb,TDTHub,0.9981645569620253
FIMO 4 1kb,TDTHub,0.968354430379747
FIMO 4 1kb,TDTHub,0.9998101265822786
FIMO 4 1kb,TDTHub,0.8632045598480051
FIMO 4 1kb,TDTHub,0.9870253164556964
FIMO 4 1kb,TDTHub,0.9895569620253164
FIMO 4 1kb,TDTHub,0.9958860759493671
FIMO 4 1kb,TDTHub,0.985506329113924
FIMO 4 1kb,TDTHub,0.9594303797468354
FIMO 4 1kb,TDTHub,0.9973416118196905
FIMO 4 1kb,TDTHub,0.9927848101265824
FIMO 4 1kb,TDTHub,0.0
FIMO 4 1kb,TDTHub,0.9976582278481013
FIMO 4 1kb,TDTHub,0.999367088607595
FIMO 4 1kb,TDTHub,0.9234177215189874
FIMO 4 1kb,TDTHub,0.9765822784810128
FIMO 4 1kb,TDTHub,0.9834810126582278
FIMO 4 1kb,TDTHub,0.9968987341772151
FIMO 4 1kb,TDTHub,0.980886075949367
FIMO 4 1kb,TDTHub,0.9979746835443037
FIMO 4 1kb,TDTHub,0.6029746835443038
FIMO 4 1kb,TDTHub,0.9967721518987342
FIMO 4 1kb,TDTHub,0.9894925485606176
FIMO 4 1kb,TDTHub,0.9436708860759493
FIMO 4 1kb,TDTHub,0.2720910125780618
FIMO 4 3kb,ChlP,0.9970253164556961
FIMO 4 3kb,ChlP,0.9949367088607595
FIMO 4 3kb,ChlP,0.9884177215189874
FIMO 4 3kb,ChlP,0.9987341772151901
FIMO 4 3kb,ChlP,1.0
FIMO 4 3kb,ChlP,0.8981645569620254
FIMO 4 3kb,ChlP,0.46658227848101264
FIMO 4 3kb,ChlP,0.0
FIMO 4 3kb,ChlP,0.0
FIMO 4 3kb,ChlP,0.9995569620253164
FIMO 4 3kb,ChlP,0.9993037974683545
FIMO 4 3kb,ChlP,0.9996202531645568
FIMO 4 3kb,ChlP,0.931012658227848
FIMO 4 3kb,ChlP,0.9913291139240507
FIMO 4 3kb,ChlP,0.9512658227848101
FIMO 4 3kb,ChlP,0.0
FIMO 4 3kb,ChlP,0.9941139240506329
FIMO 4 3kb,ChlP,0.9917088607594936
FIMO 4 3kb,ChlP,0.9769620253164556
FIMO 4 3kb,ChlP,0.979240506329114
FIMO 4 3kb,ChlP,0.9984177215189873
FIMO 4 3kb,ChlP,0.9175316455696203
FIMO 4 3kb,ChlP,0.9412658227848102
FIMO 4 3kb,ChlP,0.9549999999999998
FIMO 4 3kb,ChlP,0.9126582278481014
FIMO 4 3kb,ChlP,0.0
FIMO 4 3kb,ChlP,0.9691772151898735
FIMO 4 3kb,ChlP,0.9590506329113924
FIMO 4 3kb,ChlP,0.9777215189873418
FIMO 4 3kb,ChlP,0.9770253164556962
FIMO 4 3kb,ChlP,0.9909493670886075
FIMO 4 3kb,ChlP,0.419873417721519
FIMO 4 3kb,ChlP,0.0
FIMO 4 3kb,ChlP,0.9755063291139241
FIMO 4 3kb,ChlP,0.7784810126582278
FIMO 4 3kb,ChlP,0.0
FIMO 4 3kb,TDTHub,0.9851898734177216
FIMO 4 3kb,TDTHub,0.945506329113924
FIMO 4 3kb,TDTHub,0.9981012658227847
FIMO 4 3kb,TDTHub,0.999367088607595
FIMO 4 3kb,TDTHub,0.9981012658227847
FIMO 4 3kb,TDTHub,0.8267088607594937
FIMO 4 3kb,TDTHub,0.395126582278481
FIMO 4 3kb,TDTHub,0.8815189873417723
